road_address,x,y
서울특별시 도봉구 노해로 147,37.6479992,127.0260364
서울특별시 도봉구 우이천로30길 28,37.6484196,127.0263108
서울특별시 도봉구 삼양로 556,37.6525664,127.0128990
서울특별시 도봉구 우이천로32길 67,37.6507974766,127.0251339095
서울특별시 도봉구 우이천로34길 9-14,37.6499246,127.0227487
서울특별시 도봉구 우이천로38가길 32,37.6518064,127.0216044
서울특별시 도봉구 노해로45길 26,37.6512992,127.0272796
서울특별시 도봉구 우이천로45길 22-4,37.6544825,127.0149044
서울특별시 도봉구 노해로41가길 16,37.6496953,127.0272710
서울특별시 도봉구 삼양로 566,37.6537818,127.0136444
서울특별시 도봉구 우이천로 367,37.6478857202,127.024072314
서울특별시 도봉구 우이천로48길 21,37.6561789,127.0173606
서울특별시 도봉구 해등로 337-20,37.6562770,127.0186501
서울특별시 도봉구 삼양로 580-11,37.6552283,127.0138531
서울특별시 도봉구 방학로3길 117,37.6580211,127.0387508
서울특별시 도봉구 도당로 18,37.6598202,127.0356267
서울특별시 도봉구 도당로 13,37.6599599891,127.0341990104
서울특별시 도봉구 해등로 195,37.6578373952,127.0337855207
서울특별시 도봉구 해등로 190,37.6583229,127.0358637
서울특별시 도봉구 도봉로129길 45-12,37.6551809083,127.0351260797
서울특별시 도봉구 도당로2길 12-13,37.6588797,127.0359721
서울특별시 도봉구 도봉로 575,37.6563598,127.0387723
서울특별시 도봉구 노해로57길 85,37.6545947,127.0344738
서울특별시 도봉구 도봉로123길 33,37.6529687,127.0351703
서울특별시 도봉구 노해로44길 9,37.6489437,127.0279086
서울특별시 도봉구 노해로48길 71,37.6505038385,127.0322093520
서울특별시 도봉구 우이천로328,37.6467678,127.0279290
서울특별시 도봉구 노해로42길 60-3,37.6486427,127.0298752
서울특별시 도봉구 노해로38길 15,37.6460275,127.0262163
서울특별시 도봉구 노해로40길 72,37.6467418937,127.0300819993
서울특별시 도봉구 우이천로 308,37.6458568,127.0285789
서울특별시 도봉구 노해로40길 71,37.6472104741,127.0298102385
서울특별시 도봉구 노해로 170,37.6493588916,127.0278756649
서울특별시 도봉구 시루봉로 62-7,37.6564188,127.0283688
서울특별시 도봉구 해등로26길 20,37.6586809094,127.0330968573
서울특별시 도봉구 해등로25길 41,37.6560041,127.0338322
서울특별시 도봉구 시루봉로6길 53,37.6591984,127.0306616
서울특별시 도봉구 해등로 242-11,37.6589666130,127.0293434843
서울특별시 도봉구 해등로 242-12,37.6586671351,127.0307259907
서울특별시 도봉구 해등로 231,37.6577225564,127.0320402110
서울특별시 도봉구 시루봉로 58,37.6558167633,127.0294102400
서울특별시 도봉구 해등로25길 36,37.6559354,127.0319325
서울특별시 도봉구 해등로 241-14,37.6566690,127.0295385
서울특별시 도봉구 시루봉로2길 62,37.6550990649,127.0314135329
서울특별시 도봉구 시루봉로 8,37.6515540,127.0291200
서울특별시 도봉구 해등로 255,37.6573275,127.0282084
서울특별시 도봉구 시루봉로 57,37.6558434,127.0276577
서울특별시 도봉구 방학로2길 27,37.6641869,127.0406367
서울특별시 도봉구 도당로 116,37.6666182656,127.0398555612
서울특별시 도봉구 마들로 616,37.6651092318,127.0469090137
서울특별시 도봉구 도당로6길 14-5,37.6611596352,127.0357544983
서울특별시 도봉구 마들로 646,37.6668979,127.0473902
서울특별시 도봉구 도봉로150길 42,37.6648071,127.0460603
서울특별시 도봉구 도봉로146길 40,37.6640831,127.0451695
서울특별시 도봉구 도봉로146길 48,37.6637245,127.0456082
서울특별시 도봉구 도봉로145길 65,37.6645355164,127.0389024019
서울특별시 도봉구 마들로 657,37.6685620,127.0454839
서울특별시 도봉구 도봉로150길 43,37.6663859,127.0455878
서울특별시 도봉구 도봉로150길 31,37.6664804,127.0448997
서울특별시 도봉구 도봉로152길 16,37.6690533,127.0447352
서울특별시 도봉구 도봉로146길36,37.6634767,127.0450526
서울특별시 도봉구 도봉로150다길 28,37.6674362,127.0448193
서울특별시 도봉구 도봉로150바길 26,37.6645833,127.0450668
서울특별시 도봉구 시루봉로 226,37.6681770,127.0350425
서울특별시 도봉구 시루봉로17길 42,37.6692804,127.0325810
서울특별시 도봉구 도당로13다길 45,37.6647649,127.0327450
서울특별시 도봉구 도당로 9길 44-17,37.6633182,127.0313572
서울특별시 도봉구 도봉로155길 50,37.6730060,127.0411761
서울특별시 도봉구 시루봉로 94,37.6591413,127.0279921
서울특별시 도봉구 시루봉로 128,37.6621078,127.0278197
서울특별시 도봉구 방학로 193,37.6609311047,127.0278935913
서울특별시 도봉구 방학로 193,37.6609311047,127.0278935913
서울특별시 도봉구 도당로 37,37.6615025958,127.0337599815
서울특별시 도봉구 방학로11길 30,37.6609443063,127.0326263955
서울특별시 도봉구 방학로 210,37.6621699,127.0287936
서울특별시 도봉구 방학로 212-11,37.6625563516,127.0284110106
서울특별시 도봉구 시루봉로11길 25-8,37.6642794675,127.0265211830
서울특별시 도봉구 방학로11길 10,37.6612185127,127.0314931782
서울특별시 도봉구 방학로 200,37.6628263698,127.0295354084
서울특별시 도봉구 방학로12길 53,37.6633419743,127.0285473143
서울특별시 도봉구 시루봉로5길 38,37.6585350139,127.025598903
서울특별시 도봉구 해등로 286-5,37.6577280372,127.0241616212
서울특별시 도봉구 해등로 305,37.6572634231,127.0226882102
서울특별시 도봉구 방학로15길 26,37.6602183821,127.0240082964
서울특별시 도봉구 방학로15길 40,37.6591068,127.0234943
서울특별시 도봉구 시루봉로 67,37.6568371174,127.0275792770
서울특별시 도봉구 시루봉로 166,37.6644054,127.0302278
서울특별시 도봉구 방학로11길 33,37.6613225,127.0329087
서울특별시 도봉구 해등로 46,37.6483328,127.0437847
서울특별시 도봉구 해등로 32,37.6478368,127.0445084
서울특별시 도봉구 해등로 50,37.6500415,127.0436076
서울특별시 도봉구 덕릉로315 ,37.6445808,127.0438827
서울특별시 도봉구 덕릉로 349,37.6450464645,127.0461304242
서울특별시 도봉구 덕릉로 329,37.6448368,127.0454579
서울특별시 도봉구 노해로66길 21,37.6503906230,127.0473303600
서울특별시 도봉구 도봉로116길 41,37.6483627,127.0377183
서울특별시 도봉구 도봉로114길 22-8,37.6470982,127.0352394
서울특별시 도봉구 덕릉로 371,37.6461118051,127.0496391845
서울특별시 도봉구 해등로 81,37.6508327752,127.0407038073
서울특별시 도봉구 덕릉로59길 73-3,37.6413898,127.0356396
서울특별시 도봉구 우이천로20길 7,37.6412989,127.0339955
서울특별시 도봉구 도봉로110다길 5,37.6456910,127.0348236
서울특별시 도봉구 도봉로110다길 51,37.6428627,127.0333996
서울특별시 도봉구 덕릉로63가길 43,37.6429227880,127.0387778224
서울특별시 도봉구 우이천로 200,37.6375646376,127.0359154012
서울특별시 도봉구 덕릉로 283,37.6423454,127.0412270
서울특별시 도봉구 도봉로106길 22,37.6443448,127.0337226
서울특별시 도봉구 우이천로20길 6 ,37.6404159120,127.0340314265
서울특별시 도봉구 덕릉로59차길 37,37.6402476,127.0353461
서울특별시 도봉구 덕릉로62길 89,37.6381103,127.0428666
서울특별시 도봉구 덕릉로60바길 21,37.6389973416,127.0410191214
서울특별시 도봉구 덕릉로62길 13,37.6408568,127.0418875
서울특별시 도봉구 덕릉로60카길 12,37.6372226,127.0418401
서울특별시 도봉구 우이천로4라길 11-4,37.6334361401,127.0419314598
서울특별시 도봉구 덕릉로60길 164-13,37.6330531,127.0430073
서울특별시 도봉구 노해로 390,37.6522376768,127.051537973
서울특별시 도봉구 노해로70길 46,37.6501755,127.0513911
서울특별시 도봉구 노해로70길 12,37.6507501155,127.0495244210
서울특별시 도봉구 노해로70길 19,37.6507919313,127.0528242654
서울특별시 도봉구 덕릉로66길17,37.6439505,127.0533207
서울특별시 도봉구 노해로70길126,37.6472711141,127.0523186642
서울특별시 도봉구 마들로16길56,37.6607446,127.0496053
서울특별시 도봉구 마들로 551,37.6594614287,127.0480342372
서울특별시 도봉구 마들로 551,37.6594614287,127.0480342372
서울특별시 도봉구 노해로69길 103,37.6577850907,127.0492752377
서울특별시 도봉구 도봉로136길 111,37.6616424655,127.0463809607
서울특별시 도봉구 도봉로136길 111,37.6616424655,127.0463809607
서울특별시 도봉구 노해로69가길 54,37.6588125,127.0462219
서울특별시 도봉구 노해로69길 132,37.6582713,127.0506149
서울특별시 도봉구 마들로 579-19,37.6615891,127.0452774
서울특별시 도봉구 노해로 403,37.6537018,127.0528025
서울특별시 도봉구 도봉로136나길 20,37.6562098,127.0434809
서울특별시 도봉구 노해로63다길 34,37.6552636260,127.0460959475
서울특별시 도봉구 도봉로136가길 73,37.6554883,127.0427387
서울특별시 도봉구 해등로 118,37.6540362,127.0424480
서울특별시 도봉구 노해로63가길 7,37.6532577,127.0441024
서울특별시 도봉구 해등로 113,37.6536270,127.0394399
서울특별시 도봉구 해등로12길 44,37.6527374,127.0420601
서울특별시 도봉구 도봉로 642-30,37.6616531,127.0441715
서울특별시 도봉구 해등로16길 12,37.6558439,127.0406987
서울특별시 도봉구 도봉로136나길 40,37.6563166642,127.0442924442
서울특별시 도봉구 도봉로136길 28,37.6578429,127.0435358
서울특별시 도봉구 노해로63길 67,37.6529104577,127.0455868143
서울특별시 도봉구 도봉로136가길 73,37.6554883,127.0427387
서울특별시 도봉구 해등로 139,37.6558021,127.0402108
서울특별시 도봉구 도봉로169나길 22,37.6786704,127.0433569
서울특별시 도봉구 도봉산길 35,37.6864633,127.0414541
서울특별시 도봉구 도봉로 851,37.6803977957,127.0450050731
서울특별시 도봉구 도봉산길 27,37.6867707,127.0428051
서울특별시 도봉구 도봉로165길 28-8,37.6774697,127.0433950
서울특별시 도봉구 마들로 668,37.6696229,127.0465415
서울특별시 도봉구 마들로 859,37.6862598,127.0480152
서울특별시 도봉구 마들로 684-20,37.6698591614,127.0470072147
서울특별시 도봉구 도봉로162길 12-9,37.6745036,127.0456255
서울특별시 도봉구 마들로 835,37.6841853,127.0506781
서울특별시 도봉구 마들로 735-8,37.6763021,127.0476373
서울특별시 도봉구 도봉로180길 6-23,37.6819250727,127.0470102929
서울특별시 도봉구 도봉로180길 77,37.6826232928,127.0493098018
서울특별시 도봉구 도봉로180길 50,37.6817702,127.0502996
서울특별시 도봉구 도봉로180길 6-83,37.6812394077,127.0492680746
서울특별시 도봉구 마들로 770,37.6790154304,127.0501281459
서울특별시 도봉구 도봉로180길 83-14,37.6829494,127.0507188
서울특별시 도봉구 마들로 835,37.6841853,127.0506781
서울특별시 도봉구 도봉로180가길 32,37.6848884,127.0471375
서울특별시 도봉구  도봉로170길40,37.6795941,127.0464865
서울특별시 도봉구 노해로 179,37.6508453,127.0279643
