road_address,x,y,detail
서울 종로구 자하문로 92,126.970620717201,37.5840921101084,동주민센터
서울 종로구 자하문로36길 16-14,126.968017264207,37.5915828269406,벽산빌리지 5동
서울 종로구 자하문로36길 16-14,126.968017264207,37.5915828269406,벽산빌리지 10동
서울 종로구 자하문로33길 43,126.966930414705,37.5861486417138,청운현대(아)
서울 종로구 자하문로19길 36,126.969225799403,37.5818305315454,자치회관
서울 종로구 필운대로 68,126.968307188572,37.5823606132815,군인(아)
서울 종로구 자하문로24길 51,126.971968073857,37.5817708480363,성주빌라
서울 종로구 사직로9길 1,126.968853916488,37.5760686673829,동주민센터
서울 종로구 경희궁1길 15,126.970600249265,37.5713614172814,세종로자치회관
서울 종로구 사직로8길 34,126.972154874023,37.5735669794965,경희궁의 아침 3단지
서울 종로구 삼청로 107,126.981856687592,37.5850053660693,동주민센터
서울 종로구 창의문로 145,126.964064980438,37.5924113232874,동주민센터
서울 종로구 백석동길 266,126.96596696309,37.5974788833598,승림힐스빌리지
서울 종로구 세검정로 259,126.960578380982,37.6017216842786,진안빌라
서울 종로구 자하문로42길 21,126.962585984136,37.5989602606081,스카이빌라
서울 종로구 세검정로6길 76-24,126.963872597446,37.6010903333524,힐탑빌라
서울 종로구 자하문로42길 50,126.963153478481,37.5993129067838,삼성중앙빌라
서울 종로구 홍지문길 56,126.957812567039,37.6036506493785,완성빌라 1차
서울 종로구 홍지문길 56,126.957812567039,37.6036506493785,완성빌라 2차
서울 종로구 세검정로6길 104,126.961802588275,37.6016317174871,CU편의점 앞
서울 종로구 자하문로 312-11,126.958913713557,37.6002607008203,세검정교회 담장
서울 종로구 진흥로 480,126.960276095854,37.6058404595924,대아파크빌
서울 종로구 평창24길 18,126.976719284076,37.6086920662728,금강하이츠
서울 종로구 평창11길 9-1,126.966218199394,37.6063252406268,럭키평창빌라
서울 종로구 평창11길 21-28,126.962968792223,37.607978572932,현대 단독
서울 종로구 평창14길 2,126.966240760294,37.6082766105104,신한빌라
서울 종로구 평창문화로 102-19,126.973008108783,37.6073152845389,귀빈빌라
서울 종로구 평창14길 6,126.966764831154,37.6084241611452,현대평창빌라
서울 종로구 평창14길 16,126.967302286636,37.6090466246934,현대하이츠빌라
서울 종로구 평창문화로 119,126.972989610506,37.6089868862274,일성빌라트
서울 종로구 평창문화로 42,126.96662714948,37.6050512671346,평창아파트
서울 종로구 평창12길 8-22,126.968700305404,37.6076834462254,금강파크
서울 종로구 비봉1길 22-4,126.955161520605,37.6103588015541,삼진파크1차
서울 종로구 비봉5길 39,126.953229843132,37.6132117541068,건덕빌라 5동
서울 종로구 비봉2길 32,126.958592446747,37.6117043309478,동성빌라
서울 종로구 비봉길 15,126.956064543108,37.6099254950919,구기현대빌라
서울 종로구 진흥로 438-5,126.956665445497,37.6076401774177,동진빌라
서울 종로구 진흥로22가길 34,126.958324630236,37.6051374649641,삼성운정빌라
서울 종로구 평창문화로 172,126.978411482369,37.6107990811866,삼성아파트
서울 종로구 평창문화로 140,126.975418497064,37.6088895696859,롯데아파트
서울 종로구 홍지문길 64,126.958464875486,37.6046518807852,동익빌라1동
서울 종로구 홍지문길 64,126.958464875486,37.6046518807852,동익빌라9동
