road_address,x,y
서울 중랑구 망우로 203,127.075008982696,37.5939956436071,"동양엔파트 1차  지하1층, 지하2층2 재활용장 앞"
서울 중랑구 중랑천로14길 34,127.07438062887,37.5941918267161,동양엔파트 2차 201동 지하 주창장 입구 왼쪽
서울 중랑구 망우로 223-8,127.077642424039,37.594988094643,"미영리치타운 경비실 앞, 지상주차장 자전거 거치대 옆"
서울 중랑구 동일로121길 20,127.079031596484,37.5964061437854,세광 하니타운 다동 후문 (로열스포츠 뒤)
서울 중랑구 중랑역로 72,127.078438923414,37.599858595669,동구 햇살 쓰레기 선별장 (태능시장 오거리)
서울 중랑구 동일로129길 35,127.077505274598,37.5992225724592,태능에셈빌 1층 로비 안 지하 계단 앞 (태능시장 오거리)
서울 중랑구 동일로149길 15,127.07718722216,37.6063834004102,우성 아파트 정문 입구 (옛 중랑경찰서)
서울 중랑구 중랑역로 124,127.077632996801,37.604550945304,중화 삼익 103동 (우성아파트 아랫쪽)
서울 중랑구 동일로 752,127.082070702444,37.5970090851956,"중화 한신 관리실, 103동, 104동 현관 입구, 6동 앞(초소 뒤)"
서울 중랑구 동일로 754,127.080888126972,37.5981141561091,우성타운 정문 입구 (중화 한신 옆)
서울 중랑구 봉화산로27길 32,127.083719618544,37.6035511005784,중화 극동 정문 입구 (중화역)
서울 중랑구 동일로136길 15,127.080193443684,37.6025745333685,청광플러스원 쓰레기 선별장 (중화역 2번출구)
서울 중랑구 동일로140길 88,127.083510702772,37.6056993886468,중화 건영 쓰레기 선별장
서울 중랑구 동일로144길 3,127.07991029965,37.6061438168485,장미 아파트 재활용장 옆 (농협 뒤)
서울 중랑구 봉화산로27길 37,127.082852145124,37.6032377177076,장미 빌라 경비실 (중화역 휴게실 옆)
서울 중랑구 숙선옹주로 85,127.085516143782,37.6160040943693,"신내 4단지 401동, 404동~405동 사이(2), 409동"
서울 중랑구 신내로21길 16,127.086884860446,37.6168016402746,"신내 5단지(두산, 대림) 3호 경비실, 10호 경비실, 12호 경비실"
서울 중랑구 신내로17길 83,127.091639657907,37.6161503233743,"신내 6단지(시영) 1동, 4~5동, 7동, 8~9동, 12동, 15동"
서울 중랑구 신내로17길 39,127.093770032768,37.6151331460647,"신내 7단지 (진로) 701동, 704동, 706동, 713동, 716동 분리수거장 옆"
서울 중랑구 신내로 155,127.094322735523,37.6138586180414,"신내 8단지(두성, 화성) 801동 경비실 옆, 803동, 806동 쓰레기 분리장"
서울 중랑구 신내로 135,127.095849500583,37.6113848049141,"신내 9단지 관리실(2), 8동 1층 현관(종이 BOX)"
서울 중랑구 신내로 115,127.094904201668,37.6092975270629,"신내 10단지 1002동, 1003동, 1004동, 1005동, 1006동, 1007동 쓰레기 선별장"
서울 중랑구 봉화산로 189,127.093989362409,37.606714131825,"신내 11단지(신내 대명) 1101동, 1102동, 1103동, 1105동, 1106동 쓰레기 선별장"
서울 중랑구 봉화산로 153,127.091609767692,37.6058186173408,"신내 12단지 1동, 5동, 7동 쓰레기 선별장"
서울 중랑구 봉화산로 194,127.094707041869,37.6064526315197,신아타운 건물 뒤쪽 주차장 옆
