행정동,위치,비고
구로2동,가마산로20다길 3,
구로2동,구로동로28길 58,
구로2동,가마산로20다길 28-14,
구로2동,가마산로20다길 22-10,
구로2동,가마산로20나길 22-2,
구로2동,구로동로 221-1,
구로2동,구로동로 205,
구로2동,구로동로43길 24,
구로2동,구로동로43길 40,
구로2동,가마산로 134,
구로2동,가마산로 174-9,
구로2동,구로동로35길 22,
구로2동,구로동로35길 16,
구로2동,구로동로35길 13,
구로2동,벚꽃로74길 20,
구로2동,구로동로41길 58,
구로2동,구로동로41길 65,
구로2동,가마산로11길 10,
구로2동,가마산로9길 8-21,
구로2동,가마산로 175,
구로2동,가마산로7길 13,
구로2동,가마산로5길 13,
구로2동,가마산로 153-7,
구로2동,구로동로17길 57-8,
구로2동,구로동로17길 56-5,
구로2동,구로동로17길 46,
구로2동,구로동로17길 40,
구로2동,구로동로17길 37-54,
구로2동,벚꽃로 39,
구로2동,벚꽃로 398,
구로2동,가마산로 159-14,
구로2동,벚꽃로 414-1,
구로2동,벚꽃로68길 5,
구로2동,벚꽃로 446,
구로2동,구로동로48길 18,
구로2동,벚꽃로74길 1,
구로2동,구로동로43길 41,
구로2동,구로동로43길 31,
구로2동,구로동로43길 17,
구로2동,구로동로43길 13,
구로2동,구로동로42길 15,
구로2동,구로동로 210-10,
구로2동,구로중앙로27다길 1,
구로2동,구로중앙로27길 66,
구로2동,벚꽃로 466,
구로2동,벚꽃로 468,
구로2동,벚꽃로76길 4,
구로2동,벚꽃로78길 2,
구로2동,벚꽃로 484,
구로2동,구로동로45길 26,
구로2동,구로동로45길 14,
구로2동,구로동로47길 10-5,
구로2동,구로동로 224,
구로2동,구로동로 230-1,
구로2동,구로동로50길 9,
구로2동,구로중앙로27길 18,
구로2동,구로중앙로27길 21,
구로2동,구로중앙로 103,
구로2동,구로중앙로27가길 23,
구로2동,구로중앙로27가길 13,
구로2동,구로중앙로27나길 16,
구로2동,구로동로40길 4,
구로2동,구로동로40나길 9,
구로2동,구로중앙로27나길 32,
구로2동,구로중앙로21길 10-15,
구로2동,구로중앙로21길 10,
구로2동,구로중앙로21길 40,
구로2동,구로중앙로21길 58,
구로2동,구로중앙로21길 72,
구로2동,가마산로19길 25,
구로2동,구로동로38길 46,
구로2동,가마산로22길 48,
구로2동,가마산로20라길 20-7,
구로2동,가마산로20다길 14-14,
구로2동,가마산로20길 43,
구로2동,구로동로28길 33-41,
구로2동,가마산로15길 6-2,
구로2동,가마산로20나길 22-2,
구로2동,가마산로20다길 28-13,
구로2동,가마산로20다길 22-10,
구로2동,가마산로20다길 3,
구로2동,가마산로20길 19,
구로2동,구로동로7다길 11,
구로3동,디지털로26길 29,
구로3동,디지털로26길 61,
구로3동,디지털로 242,
구로3동,구로동로 79,
구로3동,도림로12길 15-3,
구로3동,디지털로27나길 10-6,
구로3동,디지털로27길 58,
구로3동,디지털로27길 120-3,
구로3동,디지털로27길 124-12,
구로3동,도림로10길 5-4,
구로3동,도림로12길 9,
구로3동,도림로 40-1,
구로3동,도림로 46,
구로3동,디지털로27라길 67,
구로3동,도림로 44-9,
구로3동,도림로 53,
구로3동,도림로 98,
구로3동,도림천로 376,
구로3동,도림로20가길 30,
구로3동,도림로20길 18,
구로3동,도림로20길 68,
구로3동,디지털로35길 34,
구로3동,디지털로35길 10,
구로3동,디지털로32길 82,
구로3동,디지털로32길 96,
구로3동,디지털로32다길 13,
구로3동,시흥대로163길 13,
구로3동,디지털로32다길 46,
구로3동,디지털로32다길 58,
구로3동,디지털로32다길 60,
구로3동,디지털로32다길 64,
구로3동,디지털로32다길 65,
구로3동,시흥대로161가길 4,
구로3동,시흥대로161가길 16-6,
구로3동,시흥대로161가길 26,
구로3동,디지털로32가길 76-17,
구로3동,디지털로32가길 82,
구로3동,디지털로32가길 46-5,
구로3동,시흥대로163길 17,
구로3동,시흥대로161길 18,
구로3동,시흥대로161길 20,
구로3동,시흥대로161길 24,
구로3동,시흥대로161길 36-6,
구로3동,시흥대로 38,
구로3동,도림천로 379,
구로3동,디지털로432가길 72,
구로3동,디지털로432가길 66,
구로3동,디지털로432가길 65,
구로3동,디지털로432가길 54,
구로3동,디지털로432가길 56,
구로4동,구로중앙로18길 71,
구로4동,구로중앙로18길 53,
구로4동,구로중앙로18길 11,
구로4동,구로중앙로18길 5,
구로4동,구로중앙로14길 42 ,
구로4동,구로중앙로14길 46,
구로4동,구로중앙로8길 41,
구로4동,구로중앙로 14,
구로4동,구로중앙로19길 11,
구로4동,구로중앙로11길 14,
구로4동,구로중앙로7길 6,
구로4동,구로중앙로7길 28,
구로4동,도림로 37,
구로4동,도림로23길 14,
구로4동,구로동로18길 44,
구로4동,구로동로12길 16-9,
구로4동,구로동로8길 17,
구로4동,구로동로 86,
구로4동,구로동로12길 4,
구로4동,구로동로8길 70-3,
구로4동,구로동로22길 51,
구로4동,구로동로12길 60,
구로4동,구로동로12길 59-10,
구로4동,구로동로22길 36,
구로4동,구로동로12길 70,
구로4동,구로동로8길 62-8,
구로4동,구로동로22길 82,
구로4동,구로동로22길 87,
구로4동,구로동로18길 56-16,
구로4동,도림로 11,
구로4동,구로동로18길 44-30,
구로4동,도림로3길 19,
구로4동,구로동로18길 44-12,
구로4동,구로중앙로15길 21,
구로4동,구로중앙로19길 25-25,
구로4동,가마산로20다길 45,
구로4동,구로동로28길 78-2,
