관리번호,주소,상세주소
2001-01-01,손기정로 2,주소없음!
2001-01-02,마포대로 270,주소없음!
2001-01-03,환일길 13,주소없음!
2001-01-04,환일길 43,주소없음!
2001-01-05,환일7길 18,주소없음!
2001-01-06,손기정로12길 4,주소없음!
2001-01-07,마포대로24길 31-8,주소없음!
2001-01-08,마포대로26길 39,주소없음!
2001-01-09,마포대로 236,주소없음!
2001-01-10,환일길 58-1,주소없음!
2001-01-11,환일길 66,주소없음!
2001-01-15,만리재로20길 24,소화전 옆
2001-01-16,만리재로20길 8,막다른 골목안
2001-01-17,효창원로95길 14,주소없음!
2001-01-18,만리재로 10안길 26,건물 뒤
2001-01-19,만리재로12길 25,K1마트 앞
2001-01-20,만리재로12길 36,주소없음!
2001-01-21,효창목5길 24,이동식 무단투기 CCTV
2001-01-22,임정로25길 8,주소없음!
2001-01-23,효창목길 31,주소없음!
2001-01-24,효창목5길 1,세일냉동 에어컨
2001-01-25,효창목길 11,주소없음!
2001-01-26,마포대로14라길 3,대연하이빌 앞
2001-01-27,마포대로 14가길 21,주소없음!
2001-01-28,만리재옛길 65-10,주소없음!
2001-01-29,마포대로16나길 13,주소없음!
2001-01-30,만리재로10길 4,주소없음!
2001-01-31,만리재로10길 1-8,주소없음!
01-01-32,만리재로12가길 7,주소없음!
01-01-33,만리재로16길 20-5,주소없음!
01-01-34,만리재로14길 34,주소없음!
01-01-35,만리재로14길 15,주소없음!
01-01-36,만리재로 83-1,주소없음!
01-01-37,만리재옛길 56,주소없음!
2001-03-01,마포대로4길 18,주소없음!
2001-03-02,마포대로4나길 64,주소없음!
2001-03-03,마포대로4나길 54,주소없음!
2001-03-04,마포대로4나길 23,주소없음!
2001-01-05,마포대로4라길 13,주소없음!
2001-03-06,마포대로4길 62,주소없음!
2001-03-07,삼개로5길 29,주소없음!
2001-03-08,도화2안길 29,주소없음!
2001-03-09,도화2안길 11,주소없음!
2001-03-10,도화2길 6,주소없음!
2001-03-11,도화2길 49,주소없음!
2001-03-12,도화4길 94,주소없음!
2001-03-13,도화4길 39,주소없음!
2001-03-14,새창로4길 12,주소없음!
2001-03-15,새창로6나길 30,주소없음!
2001-03-16,도화4길 13-1,주소없음!
2001-03-17,대흥로4길 49,주소없음!
2001-04-02,대흥로2길 21,주소없음!
2001-04-03,대흥로2길 75,주소없음!
2001-05-01,서강로16길 51,주소없음!
2001-05-02,서강로16길 21,주소없음!
2001-05-03,신촌로 170,주소없음!
2001-05-04,신촌로26길 10,대흥동주민센터
2001-05-05,고산3길 19,주소없음!
2001-05-06,신촌로20길 44,주소없음!
2001-05-07,고산2길 50,주소없음!
2001-05-08,고산2길 54,주소없음!
2001-05-09,신촌로24안길 24,주소없음!
2001-05-10,고산18길 44,주소없음!
2001-05-11,서강대길 18,주소없음!
2001-05-12,백범로10길 30,주소없음!
2001-05-13,백범로15길 21,주소없음!
2001-06-01,마포대로11길 102,주소없음!
2001-06-02,백범로25길 82,주소없음!
2001-06-03,숭문길 32,주소없음!
2001-06-04,백범로17길 56,주소없음!
2001-06-05,백범로17길 18,주소없음!
2001-01-06,손기정로12길 4,주소없음!
2001-07-01,독막로 211-19,주소없음!
2001-07-02,독막로 29길 15,주소없음!
2001-07-03,독막로29길 28,주소없음!
2001-07-04,광성로4길 10-9,주소없음!
2001-07-05,독막로29길 29-4,주소없음!
2001-07-06,광성로42-1,주소없음!
2001-07-07,신수로 102,주소없음!
2001-07-08,신수로6길 21,주소없음!
2001-07-09,신수로 80,주소없음!
2001-07-10,신수로 90,주소없음!
2001-07-11,창천로2길 41,주소없음!
2001-07-12,독막로 174,주소없음!
2001-07-13,독막로24길 9,주소없음!
2001-07-14,독막로24길 25,주소없음!
2001-07-15,독막로 188,주소없음!
2001-07-16,독막로26길 22,주소없음!
2001-07-17,토정로15길 26,주소없음!
2001-07-18,토정로15안길 5,주소없음!
2001-07-19,토정로 221,주소없음!
2001-07-20,독막로26길 42,주소없음!
2001-07-21,독막로28길 34,주소없음!
