연번,유형,주           소,위                    치 ,보유 수량
1,폐형광등·폐전지통합형,봉천로 279-8,보라매동주민센터,1
2,폐형광등·폐전지통합형,봉천로13길 101,연희빌라 정문앞 ,1
3,폐형광등·폐전지통합형,봉천로13나길 15,성도연립 입구 옆,1
4,폐형광등·폐전지통합형,봉천로 13다길 8,적성빌라,1
5,폐형광등·폐전지통합형,보라매로3길 29,해태보라매타워 주차장 입구,1
6,폐형광등·폐전지통합형,보라매로 62,보라매삼성아파트 105동 앞,1
7,폐형광등·폐전지통합형,보라매로 62,보라매삼성아파트 103동 앞,1
8,폐형광등·폐전지통합형,보라매로 62,보라매삼성아파트 101동 앞,1
9,폐형광등·폐전지통합형,보라매로 62,보라매삼성아파트 107동 앞,1
10,폐형광등·폐전지통합형,보라매로6길 33,해바라기아파트,1
11,폐형광등·폐전지통합형,봉천로23다길 33,그린아파트,1
12,폐형광등·폐전지통합형,은천로5길 39,복권아파트,1
13,폐건전지함,봉천로 279-8,보라매동주민센터,1
14,폐형광등·폐전지통합형,양녕로 31,두산아파트 301동,1
15,폐형광등·폐전지통합형,봉천로33나길 30,은천동주민센터 주차장,4
16,폐형광등·폐전지통합형,국회단지4길 4,은천동자치회관헬스장,1
17,폐형광등·폐전지통합형,국회단지21길 14,국지경로당,1
18,폐형광등·폐전지통합형,은천로15길 24,벽산블루밍 3차 605동,1
19,폐형광등·폐전지통합형,은천로15길 24,벽산블루밍 3차 604동,1
20,폐형광등·폐전지통합형,은천로15길 24,벽산블루밍 3차 601동,1
21,폐건전지함,국회단지4길 4,은천동자치회관헬스장,1
22,폐건전지함,봉천로33나길 30,은천동주민센터 주차장,1
23,폐형광등·폐전지통합형,관악로 285,성현동아아파트 관리사무소,1
24,폐형광등·폐전지통합형,관악로 285,성현동아아파트 110동,1
25,폐형광등·폐전지통합형,성현로 80,관악드림타운 115동,1
26,폐형광등·폐전지통합형,은천로33길 5,동부센트레빌아파트 106동 지하입구,1
27,폐형광등·폐전지통합형,구암5가길 32,덕산빌라 옆,1
28,폐형광등·폐전지통합형,은천로35길 40,전주 옆,1
29,폐형광등·폐전지통합형,구암길 38,성현동 주민센터,1
30,폐형광등·폐전지통합형,관악로 255-7,자치회관 후문,1
31,폐형광등·폐전지통합형,은천로33길 5,관악동부센트레빌아파트 103동 뒤 분리수거장,1
32,폐형광등·폐전지통합형,관악로 285,성현동아아파트 103동,1
33,폐형광등·폐전지통합형,구암길 106,관악드림타운 145동,1
34,폐형광등·폐전지통합형,성현로 80,관악드림타운 144동,1
35,폐형광등·폐전지통합형,성현로 80,관악드림타운 121동,1
36,폐형광등·폐전지통합형,성현로 80,관악드림타운 105동,1
37,폐형광등·폐전지통합형,성현로 80,관악드림타운 102동,1
38,폐형광등·폐전지통합형,관악로 285,성현동아아파트 105동,1
39,폐형광등·폐전지통합형,관악로37길 15,동아타운 21,1
40,폐건전지함,성현로 80,관악드림타운 123동,1
41,폐건전지함,양녕로16길 53,,1
42,폐건전지함,구암길 106,관악드림타운 149동,1
43,폐건전지함,성현로 80,관악드림타운 140동,1
44,폐건전지함,성현로 80,관악드림타운 127동,1
45,폐건전지함,성현로 80,관악드림타운 126동,1
46,폐건전지함,성현로 80,관악드림타운경로당 뒤쪽,1
47,폐건전지함,성현로 80,관악드림타운 106동,1
48,폐건전지함,성현로 80,관악드림타운 101동,1
49,폐건전지함,은천로33길 5,관악 동부 센트레빌 102동,1
50,폐건전지함,관악로 285,성현동아아파트 관리사무소,1
51,폐건전지함,관악로37길 20,봉천동아아파트 201동 앞,1
52,폐건전지함,관악로37길 20,봉천동아아파트 202동 앞,1
53,폐건전지함,은천로 137,관악 한일유액아이아파트 청소장,1
54,폐건전지함,구암길 106,관악드림타운 148동,1
55,폐건전지함,성현로 80,관악드림타운 113동,1
56,폐건전지함,성현로 80,관악드림타운 136동,1
57,폐건전지함,성현로 80,관악드림타운 142동,1
58,폐건전지함,성현로 80,관악드림타운 117동,1
59,폐건전지함,성현로 80,관악드림타운 107동,1
60,폐건전지함,관악로 285,성현동아아파트 108동 지하계단 내려가는 길,1
61,폐건전지함,관악로 285,봉천동아아파트 109동,1
62,폐건전지함,관악로 263,관악브라운스톤 지하주차장 입구,1
63,폐건전지함,관악로 255-7,자치회관 입구,1
64,폐형광등·폐전지통합형,양녕로6나길 18,신봉아파트 정문 왼쪽,1
65,폐형광등·폐전지통합형,은천로 34길 24,에메랄드아파트 주변,1
66,폐형광등·폐전지통합형,양녕로 6다길 7,중앙동주민센터,1
67,폐형광등·폐전지통합형,은천로 174,중앙동성당 주차장 오른쪽,1
68,폐건전지함,양녕로6나길 18,신봉아파트 정문 왼쪽,1
69,폐형광등·폐전지통합형,관악로30길 27,관악푸르지오아파트 119동,1
70,폐형광등·폐전지통합형,관악로30길 27,관악푸르지오아파트 107동,1
71,폐형광등·폐전지통합형,관악로 304,관악현대아파트 113동,1
72,폐형광등·폐전지통합형,관악로40길 39,청림동 주민센터,1
73,폐형광등·폐전지통합형,관악로 304,관악현대아파트 109동,1
74,폐형광등·폐전지통합형,관악로 304,관악현대아파트 116동,1
75,폐건전지함,관악로40길 39 ,청림동 주민센터,1
76,폐형광등·폐전지통합형,관악로30길 12,봉천우성아파트 104동,1
77,폐형광등·폐전지통합형,행운1길 43,행운동주민센터,2
78,폐형광등·폐전지통합형,관악로30길 12,봉천우성아파트 109동 임대,1
79,폐형광등·폐전지통합형,관악로30길 12,봉천우성아파트 106동,1
80,폐형광등·폐전지통합형,행운9길 34,행운동 경로당,1
81,폐형광등·폐전지통합형,청룡15길 30,관악그린빌라,1
82,폐형광등·폐전지통합형,관악로5길 42,갑을아파트 지하 주차장 입구,1
83,폐형광등·폐전지통합형,장군봉7길 12,비안 어린이공원,1
84,폐형광등·폐전지통합형,쑥고개로 44,청룡동주민센터 입구,1
