행정동,지번주소,새주소,위치,구분,비고/상세위치
광장동,광장동 57,서울특별시 광진구 아차산로 549 ,광장현대파크빌,아파트,
광장동,광장동 102,서울특별시 광진구 아차산로78길 75,골든텔오피스텔,"빌라(연립,오피스텔)",
광장동,광장동 145-8,서울특별시 광진구 아차산로 637,워커힐,아파트,전기실
광장동,광장동 184-8,서울특별시 광진구 아차산로78가길 31 ,연세리버빌,"빌라(연립,오피스텔)",
광장동,광장동 218-1,서울특별시 광진구 아차산로 552,극동1차,아파트,
광장동,광장동 218-1,서울특별시 광진구 아차산로 552,극동2차,아파트,
광장동,광장동 244-27,광진구 천호대로143길 8-8,오일뱅크 뒤,주택가,
광장동,광장동 248-24,서울특별시 광진구 아차산로53길 82,동주민센터,동주민센터,
광장동,광장동 250,서울특별시 광진구 아차산로 599,신동아파밀리에,아파트,
광장동,광장동 264-1,서울특별시 광진구 광장로3길 18-13,유천빌라,"빌라(연립,오피스텔)",
광장동,광장동 266,서울특별시 광진구 광장로3길 22,미도빌라,"빌라(연립,오피스텔)",
광장동,광장동 332-9,서울특별시 광진구 광장로9길 6,극동빌라,"빌라(연립,오피스텔)",
광장동,광장동 339-1 ,서울특별시 광진구 아차산로 628,,주택가,
광장동,광장동 350-1,서울특별시 광진구 광장로7길 31,현대빌라트,"빌라(연립,오피스텔)",
광장동,광장동 355-2,서울특별시 광진구 광장로1다길 2,현대빌라,"빌라(연립,오피스텔)",
광장동,광장동 356,서울특별시 광진구 광장로1다길 12-3 ,경동빌라,"빌라(연립,오피스텔)",
광장동,광장동 453-1,서울특별시 광진구 아차산로 546,삼성2차,아파트,
광장동,광장동 414-1,서울특별시 광진구 워커힐길32,양진초등학교,학교,
광장동,광장동 484,서울특별시 광진구 아차산로70길 62,광장현대3단지(1),아파트,
광장동,광장동 484,서울특별시 광진구 아차산로70길 62,광장현대3단지(2),아파트,경로당 앞
광장동,광장동 530-7,서울특별시 광진구 광나루로 585,이노빌,아파트,
