연번,장소,설치수량,행정동,종류,주소,위도,경도
1,동사무소,1,쌍문1동,수거함,서울특별시 도봉구 노해로 147,37.6479992,127.0260364
2,염광아파트,1,쌍문1동,수거함,서울특별시 도봉구 우이천로30길 28,37.6484196,127.0263108
3,도봉도서관,1,쌍문1동,수거함,서울특별시 도봉구 삼양로 556,37.6525664,127.0128990
4,동익파크아파트,1,쌍문1동,수거함,서울특별시 도봉구 우이천로32길 67,37.6507974766,127.0251339095
5,쌍문1동 경로당,1,쌍문1동,수거함,서울특별시 도봉구 우이천로34길 9-14,37.6499246,127.0227487
6,현대3차 아파트,1,쌍문1동,수거함,서울특별시 도봉구 우이천로38가길 32,37.6518064,127.0216044
7,극동아파트,1,쌍문1동,수거함,서울특별시 도봉구 노해로45길 26,37.6512992,127.0272796
8,쌍우경로당,1,쌍문1동,수거함,서울특별시 도봉구 우이천로45길 22-4,37.6544825,127.0149044
9,e편한세상아파트,1,쌍문1동,수거함,서울특별시 도봉구 노해로41가길 16,37.6496953,127.0272710
10,월드메르디앙아파트,1,쌍문1동,수거함,서울특별시 도봉구 삼양로 566,37.6537818,127.0136444
11,코오롱하늘채아파트,1,쌍문1동,수거함,서울특별시 도봉구 우이천로 367,37.6478857202,127.024072314
12,우이빌라,1,쌍문1동,수거함,서울특별시 도봉구 우이천로48길 21,37.6561789,127.0173606
13,우이그린빌라,1,쌍문1동,수거함,서울특별시 도봉구 해등로 337-20,37.6562770,127.0186501
14,노불리안 아파트,1,쌍문1동,수거함,서울특별시 도봉구 삼양로 580-11,37.6552283,127.0138531
15,동사무소,1,쌍문2동,수거함,서울특별시 도봉구 방학로3길 117,37.6580211,127.0387508
16,대웅아파트,1,쌍문2동,수거함,서울특별시 도봉구 도당로 18,37.6598202,127.0356267
17,청구아파트,1,쌍문2동,수거함,서울특별시 도봉구 도당로 13,37.6599599891,127.0341990104
18,삼익쎄라믹아파트,1,쌍문2동,수거함,서울특별시 도봉구 해등로 195,37.6578373952,127.0337855207
19,신원2차아파트,1,쌍문2동,수거함,서울특별시 도봉구 해등로 190,37.6583229,127.0358637
20,경남아파트,1,쌍문2동,수거함,서울특별시 도봉구 도봉로129길 45-12,37.6551809083,127.0351260797
21,도봉노인종합복지관,1,쌍문2동,수거함,서울특별시 도봉구 도당로2길 12-13,37.6588797,127.0359721
22,동궁사우나주차장,1,쌍문2동,수거함,서울특별시 도봉구 도봉로 575,37.6563598,127.0387723
23,기용아파트,1,쌍문2동,수거함,서울특별시 도봉구 노해로57길 85,37.6545947,127.0344738
24,사랑슈퍼 앞,1,쌍문2동,수거함,서울특별시 도봉구 도봉로123길 33,37.6529687,127.0351703
25,동사무소,1,쌍문3동,수거함,서울특별시 도봉구 노해로44길 9,37.6489437,127.0279086
26,쌍문3동경로당,1,쌍문3동,수거함,서울특별시 도봉구 노해로48길 71,37.6505038385,127.0322093520
