연번,구분,지번주소,도로명주소,건 물 명,개수
1,공공기관,노량진1동72-35,노량진로 148,동작경찰서,1
2,공동주택,노량진1동148-2,매봉로 158,극동강변(아) 지하주차장,1
3,공동주택,노량진1동205-32,만양로 14바길 24,한강하이츠빌라 1동 앞,1
4,공동주택,노량진1동323,만양로8길 50,우성(아) 관리실,1
5,공동주택,노량진1동323,만양로8길 50,우성(아) 102동,1
6,공동주택,노량진1동323,만양로8길 50,우성(아) 106동,1
7,공동주택,노량진1동323,만양로8길 50,우성(아) 107동,1
8,공동주택,노량진1동325,만양로 19,신동아(아) 101동,1
9,공동주택,노량진1동325,만양로 19,신동아(아) 103동,1
10,공동주택,노량진1동325,만양로 19,신동아(아) 703동,1
11,공동주택,노량진1동325,만양로 19,신동아(아) 706동,1
12,공동주택,노량진1동326,만양로 19,신동아리버파크 임대 관리사무소 앞,1
13,공동주택,노량진1동331,만양로 36,형인한강아파트,1
14,공동주택,노량진1동330-0,만양로 84,"삼익(아) 쓰레기장 1,삼익프라자 1",2
15,공동주택,노량진1동332,장승배기로16길 134,쌍용예가아파트,1
16,학교,노량진1동441-11,만양로12가길 69,영본초등학교 재활용분리수거장 옆,1
17,공동주택,노량진1동480,노량진로 24길 2,한강쌍용(아) 관리실 뒤,1
18,공동주택,노량진1동481,매봉로134,신동아(아) 본동 2동,1
19,공동주택,노량진1동481,매봉로134,신동아(아) 본동 7동,1
20,공동주택,노량진1동481,매봉로134,신동아(아) 본동 8동(상가 앞),1
21,공동주택,노량진1동482,노량진로23가길 16,유원(아) 정문 앞,1
22,공동주택,노량진1동482,노량진로23가길 16,유원(아) 후문 앞,1
23,공동주택,노량진1동487,매봉로 99,한신휴플러스(아) 101동앞,1
24,공동주택,노량진1동487,매봉로 99,한신휴플러스(아) 105동,1
25,공동주택,노량진1동490,노량진로22길 60,본동SH빌 쓰레기장,1
26,학교,노량진1동49-12,장승배기로 160,노량진초등학교,1
27,공동주택,노량진1동492,매봉로 123,본동 삼성래미안 103동,1
28,공동주택,노량진1동492,매봉로 123,본동 삼성래미안 104동,1
29,공동주택,노량진1동492,매봉로 123,본동 삼성래미안 106동,1
30,공동주택,노량진1동494,노량진로23가길 23,"래미안트윈파크아파트102, 104동",2
31,학교,노량진1동50-8,노량진로26길 16-40,본동초등학교,1
32,주민센터,노량진1동84-100,장승배기로 28길 30,노량진1동주민센터,2
33,공동주택,노량진1동소관,만양로 26,건영아파트 101~103동,1
34,공동주택,노량진1동소관,만양로 26,건영아파트 104동 1~2라인,1
35,공동주택,노량진1동소관,만양로 26,건영아파트 105동,1
36,공동주택,노량진2동 227-5,장승배기로18길 27,노량진맨션아파트,1
37,주민센터,노량진2동 302-97,장승배기로19길 48 ,노량진2동 주민센터,2
38,공공기관,노량진2동 47-2,장승배기로 161,동작구청,1
39,일반,노량진2동 294-163,등용로4길 76,노량진2동 재활용정거장,1
40,일반,상도1동,상도로 68길 32,명아아트빌라 앞,1
41,학교,상도1동111-52,사당로2길 2-19,상현중학교,1
42,공동주택,상도1동408,상도로 407,삼호(아) 101동,1
43,공동주택,상도1동408,상도로 407,삼호(아) 102동,1
44,공동주택,상도1동408,상도로 407,삼호(아) 104동,1
45,공동주택,상도1동408,상도로 407,삼호(아) 105동,1
46,공동주택,상도1동410,상도로 421,관악현대(아) 201동 앞,1
47,공동주택,상도1동411,상도로60길 20,대림아파트 102동 ,1
48,공동주택,상도1동412,사당로2길 2-32,상도현대(아) 102동 ,1
49,공동주택,상도1동415,상도로 320,중앙하이츠빌 103동,1
50,공동주택,상도1동415,상도로 320,중앙하이츠빌 105동,1
51,공동주택,상도1동415,상도로 320,중앙하이츠빌 107동,1
52,공동주택,상도1동415,상도로 320,중앙하이츠빌 109동,1
53,공동주택,상도1동420,양녕로 287,대우유로카우티 101동 ,1
54,공동주택,상도1동421,상도로55길 47,삼성래미안2차(아) 202동,1
55,공동주택,상도1동421,상도로55길 47,삼성래미안2차(아) 206동,1
56,공동주택,상도1동430,상도로53길 70,상도sh빌(아) 201동,1
57,공동주택,상도1동430,상도로53길 70,상도sh빌(아) 202동,1
58,공동주택,상도1동430,상도로53길 70,상도sh빌(아) 203동,1
