관할주민센터,관리번호,설치위치,개수,비고,데이터기준일자
왕십리도선동,왕십리도선동-1,도선동 173(무학로6길 21),1,대한불교진각종,2019-08-29
왕십리도선동,왕십리도선동-2,홍익동 369(무학로8길 8),1,도선동공영주차장 ,2019-08-29
행당1동,행당1-1,행당한신휴플러스 아파트 경비실 옆(성동구 고산자로 164),11,아파트,2019-08-29
행당1동,행당1-2,서울숲 리버뷰자이 아파트 동별(성동구 고산자로2길 65),7,아파트,2019-08-29
행당1동,행당1-3,행당삼부 아파트 102동 앞(성동구 왕십리로 280),1,아파트,2019-08-29
행당1동,행당1-4,행당두산아파트 경비실 옆(성동구 고산자로 14길 40),1,아파트,2019-08-29
행당1동,행당1-5,행당제1동주민센터 주차장 앞(성동구 고산자로 10길 18),1,주민센터,2019-08-29
행당1동,행당1-6,행당어린이공원 공중화장실 맞은편(성동구 고산자로 8다길 30),1,공원,2019-08-29
행당1동,행당1-7,성동경찰서 주차장 좌측(성동구 왕십리광장로 9),1,경찰서 옆,2019-08-29
행당2동,행당제2동-1,성동구 행당로9길 9 (행당제2동 주민센터),1,동주민센터,2019-08-29
행당2동,행당제2동-2,성동구 고산자로 177 (서울숲행당푸르지오아파트),10,공동주택,2019-08-29
행당2동,행당제2동-3,성동구 행당로 79 (행당대림아파트),13,공동주택,2019-08-29
행당2동,행당제2동-4,성동구 행당로8길 8 (행당두산위브아파트),2,공동주택,2019-08-29
행당2동,행당제2동-5,성동구 행당로 99 (행당브라운스톤아파트),1,공동주택,2019-08-29
행당2동,행당제2동-6,성동구 독서당로 441 (행당신동아아파트),2,공동주택,2019-08-29
행당2동,행당제2동-7,성동구 행당로82 (행당한진타운아파트),5,공동주택,2019-08-29
행당2동,행당제2동-8,성동구 고산자로 177 (서울숲행당푸르지오아파트(임대),1,공동주택(임대),2019-08-29
행당2동,행당제2동-9,성동구 행당로8길 8 (행당두산위브아파트(임대),1,공동주택(임대),2019-08-29
행당2동,행당제2동-10,성동구 행당로 79 (행당대림아파트(임대),2,공동주택(임대),2019-08-29
행당2동,행당제2동-11,성동구 행당로 82 (행당한진타운아파트(임대),2,공동주택(임대),2019-08-29
응봉동,응봉-1,"서울특별시 성동구 독서당로 424, 응봉동주민센터(폐형광등)",1,주민센터,2019-08-29
응봉동,응봉-2,"서울특별시 성동구 독서당로 424, 응봉동주민센터(폐건전지)",1,주민센터,2019-08-29
금호1가동,금호1가동-1,행당로15 금호1가동 주민센터,1,주민센터,2019-08-29
금호1가동,금호1가동-2,행당로5길 8,1,주택가,2019-08-29
금호1가동,금호1가동-3,독서당로55길 86,1,주택가,2019-08-29
금호1가동,금호1가동-4,금호로100 벽산아파트,21,공동주택,2019-08-29
금호1가동,금호1가동-5,금호로140 이편한 파크자이 아파트,10,공동주택,2019-08-29
금호1가동,금호1가동-6,독서당로343 금호삼성레미안아파트,3,공동주택,2019-08-29
금호1가동,금호1가동-7,행당로31 금호두산위브아파트,2,공동주택,2019-08-29
금호2-3가동,금호2-3가-1,무수막18길 1,1,금호2-3가동 주민센터 앞,2019-08-29
금호2-3가동,금호2-3가-2,금호로13길 28,1,금호빌라 앞,2019-08-29
금호2-3가동,금호2-3가-3,금호산길 16,1,태광크리닝 건너편 버스정류장 앞,2019-08-29
금호2-3가동,금호2-3가-4,금호산2길 53,1,두모갓교회 앞,2019-08-29
금호2-3가동,금호2-3가-5,금호산2길 16,1,구립금호3동 경로당 앞,2019-08-29
금호4가동,금호4-1,독서당로46길 26 주민센터,1,공공기관,2019-08-29
금호4가동,금호4-2,동호로2길 18-1,1,주택가,2019-08-29
금호4가동,금호4-3,매봉길 24 브라운스톤1차 적치장,1,공동주택,2019-08-29
금호4가동,금호4-4,동호로 93 브라운스톤2차 적치장,1,공동주택,2019-08-29
금호4가동,금호4-5,동호로 84 롯데 아파트 관리사무소 ,1,공동주택,2019-08-29
