구분,연번,동별,장소
폐건전지 수거함,영등포본동,1,서울특별시 영등포구 신길로61길 17(영등포본동 주민센터앞)
폐건전지 수거함,영등포본동,2,서울특별시 영등포구 영등포동647-3(상상어린이공원앞)
폐건전지 수거함,영등포본동,3,서울특별시 영등포구 신길로62길 35(장훈고 담장측면)
폐건전지 수거함,영등포본동,4,서울특별시 영등포구 영등포로62가길6-16(옹벽)
폐건전지 수거함,영등포본동,5,서울특별시 영등포구 신길로60길34(제2공영주차장담벽)
폐건전지 수거함,영등포본동,6,서울특별시 영등포구 도신로65길 3-2(장훈고등학교앞)
폐건전지 수거함,영등포본동,7,서울특별시 영등포구 영신로9나길16(구 영등포1동사무소앞
폐건전지 수거함,영등포본동,8,서울특별시 영등포구 영등포로62길34앞(비녀미용실 방향 전주)
폐건전지 수거함,영등포본동,9,서울특별시 영등포구 영등포로 60길 앞(순영빌라)
폐건전지 수거함,영등포본동,10,서울특별시 영등포구 영등포로 60길 17
폐건전지 수거함,영등포동,11,서울특별시 영등포구 국회대로44길 7
폐건전지 수거함,영등포동,12,서울특별시 영등포구 영등포로33길9-1(동방주차장)
폐건전지 수거함,영등포동,13,서울특별시 영등포구 영등포로34길12(영남주차장)
폐건전지 수거함,영등포동,14,서울특별시 영등포구 영등포로 35길 15옆(중앙어린이공원)
폐건전지 수거함,영등포동,15,서울특별시 영등포구 영중로27길 3(영중경로당)
폐건전지 수거함,당산동,16,서울특별시 영등포구 국회대로 53길 28-7
폐건전지 수거함,도림동,17,서울특별시 영등포구 도신로15다길 33(도림빗물펌프장정문앞)
폐건전지 수거함,도림동,18,서울특별시 영등포구 도림로113길앞(동아에코빌)
폐건전지 수거함,도림동,19,서울특별시 영등포구 도신로 165
폐건전지 수거함,도림동,20,서울특별시 영등포구 도신로15다길10앞(도림유수지 앞)
폐건전지 수거함,도림동,21,서울특별시 영등포구 도신로 25길 4앞(진풍주차장 앞)
폐건전지 수거함,문래동,22,서울특별시 영등포구 영등포로 20길 20
폐건전지 수거함,양평1동,23,서울특별시 영등포구 양산로3길 9
폐건전지 수거함,양평2동,24,서울특별시 영등포구 양평로 30가길 28 건너편
폐건전지 수거함,양평2동,25,서울특별시 영등포구 양평로 20길 8-1
폐건전지 수거함,양평2동,26,서울특별시 영등포구 양평로28라길2
폐건전지 수거함,신길1동,27,서울특별시 영등포구 영등포로84길36(어린이놀이터)
폐건전지 수거함,신길1동,28,서울특별시 영등포구 도신로 56나길 2(메낙골공원 사잇길)
폐건전지 수거함,신길1동,29,서울특별시 영등포구 여의대방로55길22-1 건너편
폐건전지 수거함,신길1동,30,서울특별시 영등포구 여의대방로47다길16-9
폐건전지 수거함,신길3동,31,서울특별시 영등포구 신길로41다길 4(쌈지공원)
폐건전지 수거함,신길3동,32,서울특별시 영등포구 신길로41길 28-5
폐건전지 수거함,신길3동,33,서울특별시 영등포구 가마산로51길6(성락유치원뒤)
폐건전지 수거함,신길3동,34,서울특별시 영등포구 가마산로49길2앞(신3 우편취급소 옆)
폐건전지 수거함,신길3동,35,서울특별시 영등포구 가마산로 61다길 9(신길우성 5차)
폐건전지 수거함,신길3동,36,서울특별시 영등포구 가마산로63길25 공원인근
폐건전지 수거함,신길3동,37,서울특별시 영등포구 가마산로69가길 17(사러가시장 옆)
폐건전지 수거함,신길3동,38,서울특별시 영등포구 신길로39길 28(썬마트 맞은편)
폐건전지 수거함,신길5동,39,서울특별시 영등포구 가마산로48길 26
폐건전지 수거함,신길5동,40,서울특별시 영등포구 도림로63길1앞(대림소방파출소 앞)
폐건전지 수거함,신길5동,41,서울특별시 영등포구 신길로15길9앞(영등포종합사회복지관뒤)
폐건전지 수거함,신길5동,42,서울특별시 영등포구 가마산로 50길(뚝방길)
폐건전지 수거함,신길6동,43,서울특별시 영등포구 신길로8길7건너편(KT대방지사옆)
폐건전지 수거함,신길6동,44,서울특별시 영등포구 신길로 16길 9-1(영신고등학교 담)
폐건전지 수거함,신길6동,45,서울특별시 영등포구 대방천로12길9 건너편
폐건전지 수거함,신길6동,46,서울특별시 영등포구 신길로8길9-15 건너편(신길3차우성아파트)
