설치주소,설치건물,보유수량,데이터기준일자
서울특별시 동대문구 천호대로133,홈플러스 동대문점,1,2020-08-11
서울특별시 동대문구 무학로133,용두어린이영어도서관,1,2020-08-11
서울특별시 동대문구 천호대로2길23-9 ,신설동 복지지원센터,1,2020-08-11
서울특별시 동대문구 무학로26길16 ,신동아아파트,1,2020-08-11
서울특별시 동대문구 왕산로81 ,두산베어스타워,1,2020-08-11
서울특별시 동대문구 천호대로25길81 ,랜드마크타워,1,2020-08-11
서울특별시 동대문구 왕산로60-1,,1,2020-08-11
서울특별시 동대문구 왕산로16길47 ,청재제일타운아파트,1,2020-08-11
서울특별시 동대문구 정릉천동로58 ,롯데캐슬피렌체,1,2020-08-11
서울특별시 동대문구 정릉천동로16 ,용두두산위브,1,2020-08-11
서울특별시 동대문구 약령시로71 ,제기동 주민센터,1,2020-08-11
서울특별시 동대문구 약령시로154 ,미주아파트,1,2020-08-11
서울특별시 동대문구 정릉천동로90 ,현대아파트,1,2020-08-11
서울특별시 동대문구 정릉천동로100 ,공성아파트,1,2020-08-11
서울특별시 동대문구 홍릉로15길50 ,정화여자상업고등학교,1,2020-08-11
서울특별시 동대문구 고산자로518 ,홍파초등학교,1,2020-08-11
서울특별시 동대문구 전농로21길52 ,전농동 공용주차장,1,2020-08-11
서울특별시 동대문구 전농로25길17-8 ,전곡마을마당,1,2020-08-11
서울특별시 동대문구 서울시립대로75 ,신성미소지움아파트,1,2020-08-11
서울특별시 동대문구 서울시립대로31 ,동아아파트,1,2020-08-11
서울특별시 동대문구 사가정로98 ,대한노인회 동대문지회,1,2020-08-11
서울특별시 동대문구 전농로31길33 ,화목경로당,1,2020-08-11
서울특별시 동대문구 서울시립대로9길21 ,전농1동 주민센터,1,2020-08-11
서울특별시 동대문구 사가정로193 ,배봉초등학교,1,2020-08-11
서울특별시 동대문구 전농로16길61 ,전동초등학교,1,2020-08-11
서울특별시 동대문구 사가정로13길71 ,전농중학교,1,2020-08-11
서울특별시 동대문구 사가정로13길67 ,전일중학교,1,2020-08-11
서울특별시 동대문구 전농로20길31 ,해성여고,1,2020-08-11
서울특별시 동대문구 전농로20길31 ,해성국제컨벤션고등학교,1,2020-08-11
서울특별시 동대문구 전농로172 ,서울전곡초등학교,1,2020-08-11
서울특별시 동대문구 서울시립대로163 ,서울시립대학교,1,2020-08-11
서울특별시 동대문구 사가정로137 ,전농2동주민센터,1,2020-08-11
서울특별시 동대문구 답십리로130 ,래미안위브아파트,1,2020-08-11
서울특별시 동대문구 전농로3길23 ,답십리초등학교,1,2020-08-11
서울특별시 동대문구 전농로3길62,,1,2020-08-11
서울특별시 동대문구 전농로53,,1,2020-08-11
서울특별시 동대문구 전농로3길78-18,,1,2020-08-11
서울특별시 동대문구 전농로79-20,,1,2020-08-11
서울특별시 동대문구 답십리로141,,1,2020-08-11
서울특별시 동대문구 전농로3길62,,1,2020-08-11
서울특별시 동대문구 답십리로130 ,답십리래미안위브,1,2020-08-11
서울특별시 동대문구 사가정로 30 ,답십리1동 주민센터,1,2020-08-11
서울특별시 동대문구 답십리로130 ,답십리래미안위브,1,2020-08-11
서울특별시 동대문구 답십리로41길33 ,답십리대우푸르지오,1,2020-08-11
서울특별시 동대문구 전농로9길7-1,전농로9길7-1,1,2020-08-11
서울특별시 동대문구 황물로15길25 ,답십리두산위브아파트,1,2020-08-11
서울특별시 동대문구 천호대로177 ,신답초등학교,1,2020-08-11
서울특별시 동대문구 답십리동 463-1 숭인중학교,숭인중학교,1,2020-08-11
서울특별시 동대문구 답십리로 130 ,답십리래미안위브,3,2020-08-11
서울특별시 동대문구 답십리로141,,1,2020-08-11
서울특별시 동대문구 한천로11길18 ,답십리2동 주민센터,1,2020-08-11
서울특별시 동대문구 전농로10길20 ,청솔우성아파트,4,2020-08-11
서울특별시 동대문구 답십리로184 동서울한양아파트,답십리로184 동서울한양아파트,1,2020-08-11
서울특별시 동대문구 답십리로56길21 ,두산아파트,3,2020-08-11
서울특별시 동대문구 답십리로56길21,,1,2020-08-11
서울특별시 동대문구 한천로11길 10-1 ,답십리 동아아파트,1,2020-08-11
서울특별시 동대문구 답십리로210-30 ,동답한신아파트,1,2020-08-11
서울특별시 동대문구 답십리로60길38 ,답십리대림e편한세상아파트,1,2020-08-11
서울특별시 동대문구 답십리로59길33 ,우성그린아파트,1,2020-08-11
서울특별시 동대문구 답십리로59길7 ,답십리세양청마루아파트,1,2020-08-11
서울특별시 동대문구 황물로15길25 ,답십리두산위브아파트,1,2020-08-11
서울특별시 동대문구 한천로11길 10-1 ,답십리 동아아파트,1,2020-08-11
서울특별시 동대문구 한천로37길33 ,래미안엘파인아파트,1,2020-08-11
서울특별시 동대문구 장안벚꽃로107 ,장안현대홈타운1차아파트,1,2020-08-11
서울특별시 동대문구 장한로14길81 ,장안삼성래미안아파트,1,2020-08-11
서울특별시 동대문구 한천로6길21 ,군자초등학교,1,2020-08-11
서울특별시 동대문구 장한로14길61 ,안평초등학교,1,2020-08-11
서울특별시 동대문구 답십리로72길158 ,장평중학교,1,2020-08-11
서울특별시 동대문구 천호대로77길79 ,신일해피트리1차아파트,1,2020-08-11
서울특별시 동대문구 천호대로77가길27 ,신일해피트리2차아파트,1,2020-08-11
서울특별시 동대문구 천호대로79길70 ,신일해피트리3차아파트,1,2020-08-11
서울특별시 동대문구 천호대로77다길11-6 ,해오름아파트,1,2020-08-11
서울특별시 동대문구 한천로18길52 ,장안1동주민센터,1,2020-08-11
서울특별시 동대문구 사가정로230-1 ,장안2동주민센터,1,2020-08-11
서울특별시 동대문구 장한로26다길84 ,장안2차현대홈타운아파트,1,2020-08-11
서울특별시 동대문구 답십리로69길27 ,장평초등학교,1,2020-08-11
서울특별시 동대문구 장한로26다길12 ,광남캐스빌아파트,1,2020-08-11
서울특별시 동대문구 장안벚꽃로167 ,장안래미안2차아파트,1,2020-08-11
서울특별시 동대문구 장안벚꽃로1길7 ,장안힐스테이트,1,2020-08-11
서울특별시 동대문구 장안벚꽃로201 ,동대부속고등학교,1,2020-08-11
서울특별시 동대문구 장한로28가길44,장안3차현대홈타운아파트,1,2020-08-11
서울특별시 동대문구 홍릉로10길48 ,홍릉동부아파트,1,2020-08-11
서울특별시 동대문구 약령시로154 ,미주아파트,2,2020-08-11
서울특별시 동대문구 회기로25길12-1 ,회기동주민센터,1,2020-08-11
서울특별시 동대문구 이문로1길21 ,청량리신현대아파트,1,2020-08-11
서울특별시 동대문구 외대역동로6길3 ,휘경1동주민센터,1,2020-08-11
서울특별시 동대문구 한천로248 ,주공아파트1단지,1,2020-08-11
서울특별시 동대문구 한천로300 ,휘경 동일스위트리버아파트,1,2020-08-11
서울특별시 동대문구 망우로28 ,회기휘경새마을금고,1,2020-08-11
서울특별시 동대문구 외대역동로114-1 ,이문1동주민센터,1,2020-08-11
서울특별시 동대문구 이문로9길52 ,이문청소년독서실,1,2020-08-11
서울특별시 동대문구 이문로114,,1,2020-08-11
서울특별시 동대문구 휘경로17길13-5,,1,2020-08-11
서울특별시 동대문구 회기로25길67 ,동안교회,1,2020-08-11
서울특별시 동대문구 휘경로2길25,,1,2020-08-11
서울특별시 동대문구 한천로58길107 ,이문현대아파트,1,2020-08-11
서울특별시 동대문구 한천로58길47 ,이문쌍용아파트,1,2020-08-11
