 폐형광등.폐건전지 분리수거함 설치장소현황,,,,
연번,동명,주    소,건물명,비고
1,충현동,충정로6길 27,미동초교 뒤,주택가
2,충현동,통일로 97,서대문경찰서,공공시설
3,충현동,충정로7길 9,미동@ 입구,공동주택
4,충현동,경기대로 26-7,유앤미@ 입구,공동주택
5,충현동,충정로 53,유원골드타워 뒤, 주택가
6,충현동,경기대로 40,충현동 자치회관,공공시설
7,충현동,충정로7길 30,충정로현대@,공동주택
8,충현동,북아현로22길 38,충현동주민센터,공공시설
9,천연동,독립문로14길 64-6,동부센트레빌@(204동),공동주택
10,천연동,독립문로14길 74,동부센트레빌@(103동),공동주택
11,천연동,독립문공원길 13,극동@ 상가 앞,공동주택
12,천연동,통일로 279-75,독립문파크빌@(101동),공동주택
13,천연동,독립문공원길 17,독립문극동@(총8개),공동주택
14,천연동,독립문로 10,독립문삼호@((총4개),공동주택
15,천연동,통일로 251,독립공원 내,공원
16,천연동,독립문로8길 107,신일교회 옆,주택가
17,천연동,성산로 694,천연동주민센터,공공시설
18,천연동,독립문로12나길 2,형제슈퍼 옆,주택가
19,천연동,독립문로8길 27,광하빌라 앞,주택가
20,북아현동,이화여대8길 62,두산@,공동주택
21,북아현동,북아현로3길 24,한성중.고등학교,학교
22,북아현동,북아현로4길 8,장애인복지관 앞,주택가
23,북아현동,신촌로37길 58,우아미가구 앞,주택가
24,북아현동,북아현로4자길 15,그린빌라 앞,공동주택
25,북아현동,북아현로6길 78,북아현빌라 가동,공동주택
26,북아현동,신촌로35길 10,e편한세상신촌@(총15개),공동주택
27,북아현동,북아현로 40,경남@ (2개),공동주택
28,북아현동,북아현로 24,북아현동주민센터,공공시설
29,신촌동,신촌로3나길 7-11,율도국인@,공동주택
30,신촌동,성산로 570,대신교회,주택가
31,신촌동,성산로 560,이대금란고교,학교
32,신촌동,성산로 520,이대부속중고,학교
33,신촌동,신촌로 189,이화인비따레,주택가
34,신촌동,연대동문길 29,,주택가
35,신촌동,이화여대길 50-12,럭키현대@ (총10개),공동주택
36,신촌동,이화여대길 92-8,신촌동주민센터,공공시설
37,신촌동,봉원사길 13,,주택가
38,연희동,연희로28길 35-7,오성빌라,공동주택
39,연희동,성산로7길 11,,주택가
40,연희동,연희동 82,브라운스톤,공동주택
41,연희동,증가로 61,연희상가@,공동주택
42,연희동,연희로25길 101,연희@,공동주택
43,연희동,홍연길 70,홍연노인정,주택가
44,연희동,연희로33길 36-1,우량슈퍼 건너,주택가
45,연희동,증가로 13-10,연희동자치회관,공공시설
46,연희동,증가로2길 40-16,연희궁@,공동주택
47,연희동,연희로 189,연희동주민센터,공공시설
48,연희동,홍제천로 54-19,공영주차장 내,공영주차장
49,연희동 ,홍제천로4길 32,연희궁빌라,공동주택
50,연희동,홍제천로2길 83,구)연희1동 제3공영주차장 내,공영주차장
51,연희동,홍제천로2길 140,SK부동산 앞,주택가
52,연희동,동교로 291,임광@,공동주택
53,연희동,증가로 61,연희상가@,공동주택
54,연희동,연희로 64-14,연희성당 안,주택가
55,연희동,연희로10길 48,연희교회 안,주택가
56,연희동,연희로 158,파라다이스@,공동주택
57,연희동,연희로24길 9-72,화교학교 담장,주택가
58,연희동,연희로20길 13,연희초교 안,학교
59,연희동,연희로26가길 33,동도아카데이2차,공동주택
60,연희동,연희로36길 26,동진빌라,공동주택
61,연희동,연희로36길 27,삼성빌라,공동주택
62,연희동,모래내로20길 39,미건빌라앞 아래벽길가,공동주택
63,연희동,연희로14길 57,제3공영주차장 안쪽,공영주차장
64,연희동,연희로32길 129,서대문청소년수련관,공공시설
65,연희동,연희로32길 51,자연사박물관,공공시설
66,연희동,연희로 242,서대문보건소,공공시설
67,연희동,연희로 182,서대문소방서,공공시설
68,연희동,연희로 248,서대문구청,공공시설
69,연희동,모래내로 412,서대문도서관,공공시설
70,연희동,연희로 38-20,대우푸르지오@,공동주택
71,연희동,성산로 371,현대싱그런@,공동주택
72,연희동,연희로28길 35-28,성원상떼빌@ (2개),공동주택
73,연희동,연희로32길 48,연희성원@ (2개),공동주택
74,연희동,연희로32길 20,대림@,공동주택
75,홍제1동,통일로39길 38-17,홍제@ 입구,공동주택
76,홍제1동,모래내로 430,홍제성원@ 어린이집주차장,공동주택
77,홍제1동,통일로 397,인왕산 한신휴플러스@,공동주택
78,홍제1동,통일로25길 30,홍제한양@ (총5개),공동주택
79,홍제1동,통일로27길 19,홍제1동주민센터,공공시설
80,홍제1동,통일로 319,홍제삼성래미안@(2개),공동주택
81,홍제1동,통일로 357,무악재한화@,공동주택
82,홍제1동,통일로 357,무악재한화@,공동주택
83,홍제1동,통일로27길 15-1,서강빌라,공동주택
84,홍제1동,통일로37길 60,한국디지털대학교(2개),학교
85,홍제1동,통일로37다길 18-5,에이스빌라,공동주택
86,홍제1동,통일로37나길 12-6,제일연립 내,공동주택
87,홍제1동,통일로37길 30,서울맨숀,공동주택
88,홍제1동,모래내로 453,고은맨숀,공동주택
89,홍제1동,모래내로 455,광산맨숀,공동주택
90,홍제1동,통일로35길 31,장성빌라,공동주택
91,홍제1동,통일로37나길 12-6,해성@,공동주택
92,홍제1동,통일로39길 25,홍제맨숀,공동주택
93,홍제1동,통일로39길 114,고은경로당 앞,주택가
94,홍제1동,통일로39다길 23-4,"동일@옆, 어린이집위",주택가
95,홍제1동,통일로39가길 57,홍제현대@ (2개),공동주택
96,홍제1동,홍제내길 174,조한@,공동주택
97,홍제1동,홍제내길 168,남양@,공동주택
98,홍제1동,홍제내2길 67,중앙하이츠@,공동주택
99,홍제1동,홍제내2마길 6,가산빌라,공동주택
100,홍제1동,송죽길 49,서강@,공동주택
101,홍제1동,모래내로 441,홍제금호어울림@(3개),공동주택
102,홍제2동,통일로34길 27,홍제2동주민센터,공공시설
103,홍제2동,통일로34길 43,홍제원현대@관리사무소,공동주택
104,홍제2동,통일로34길 46,인왕산현대@(총10개),공동주택
105,홍제2동,통일로32길 14,인왕궁@ 쓰레기집하장,공동주택
106,홍제2동,통일로32길 3,인왕@ 관리사무소옆,공동주택
107,홍제2동,통일로26길 17,인왕산어울림@,공동주택
108,홍제2동,통일로 332,무악청구3차@헬스장옆,공동주택
109,홍제2동,통일로 332,무악청구3차@주차장입구,공동주택
110,홍제2동,통일로 344,아파트 관리사무소옆,공동주택
111,홍제2동,홍제원6안길 7,그레이스@,공동주택
112,홍제2동,통일로 348,후문경비초소,공동주택
113,홍제2동,통일로 348,상가주차장,공동주택
114,홍제2동,통일로 348,111동 쓰레기집하장내,공동주택
115,홍제3동,세무서길 106-12,인왕산벽산@,공동주택
116,홍제3동,세무서2길 64,현대그린@,공동주택
117,홍제3동,세무서8길 49,비콘드림힐@,공동주택
118,홍제3동,문화촌길 6-37,문화촌현대@ (4개),공동주택
119,홍제3동,세검정로3길 63,태영으뜸@,공동주택
120,홍제3동,세검정로 134,유원하나@ (3개),공동주택
121,홍제3동,세검정로4길 32,홍제3동주민센터,공공시설
122,홍제3동,세무서길 28,,주택가
123,홍제3동,세무서길 39,홍일@,공동주택
124,홍제3동,세무서길 97,제일주택,공동주택
125,홍제3동,세검정로4가길 29,,주택가
126,홍제3동,세검정로4길 91,금강빌라,공동주택
127,홍은1동,홍지문2길 19,,주택가
128,홍은1동,세검정로1길 95,벽산@ 녹우촌옆,공동주택
129,홍은1동,홍은중앙로 13,홍제초교,학교
130,홍은1동,통일로 484,유진@,공동주택
131,홍은1동,홍은중앙로 156,초원@,공동주택
132,홍은1동,홍은중앙로 149,풍림아이원@ (2개),공동주택
133,홍은1동,포방터길 154,종건빌라,공동주택
134,홍은1동,포방터10길 33,홍은극동@ (3개소),공동주택
135,홍은1동,홍은중앙로 81,동일(아),공동주택
136,홍은1동,홍은중앙로 85,홍은1동주민센터,공공시설
137,홍은1동,홍은중앙로7길 56,,주택가
138,홍은1동,홍은중앙로1길 33,유원홍은@,공동주택
139,홍은1동,세검정로1길 93,벽산@ (총6개),공동주택
140,홍은1동,통일로48가길 37,풍림1차@,공동주택
141,홍은1동,통일로48나길 32,신계@,공동주택
142,홍은1동,홍은중앙로 125,공영주차장,공영주차장
143,홍은1동,세검정로1길 35,풍림2차@ (3개),공동주택
144,홍은1동,포방터2길 79,,주택가
145,홍은1동,홍지문2길 43,공영주차장,공영주차장
146,홍은2동,연희로41나길 1,논골문화원,주택가
147,홍은2동,가좌로2길 60,코오롱빌라,공동주택
148,홍은2동,모래내로 334,홍은2동주민센터,공공시설
149,홍은2동,연희로39나길 2,정원단지 경로당,주택가
150,홍은2동,연희로 377,현대@ 102동 경로당앞,공동주택
151,홍은2동,모래내로 309,두산@,공동주택
152,홍은2동,모래내로 319,진흥@,공동주택
153,홍은2동,명지대길 104,연희비버리힐스,공동주택
154,홍은2동,명지길 48,신원지벤스타 빌라,공동주택
155,홍은2동,가좌로 65,서강주상복합@,공동주택
156,홍은2동,연희로41길 142,서강@ 1차,공동주택
157,홍은2동,통일로 555,새한숲속@,공동주택
158,홍은2동,연희로41길 167,삼성빌라,공동주택
159,홍은2동,연희로41길 114,미성@,공동주택
160,홍은2동,백련사길 39,문화체육회관,공공시설
161,홍은2동,명지2길 32-20,명지초교,학교
162,홍은2동,명지2길 37,명지유치원,주택가
163,홍은2동,가좌로 123,금호빌라,공동주택
164,홍은2동,연희로41길 173,금송힐스빌,공동주택
165,홍은2동,통일로 553,홍은동부센트레빌@(2개),공동주택
166,홍은2동,연희로39길 12,공영주차장,공영주차장
167,홍은2동,연희로41길 131,,주택가
168,홍은2동,연희로41다길 31,,주택가
169,남가좌1동,모래내로13길 25-29,백조@,공동주택
170,남가좌1동,모래내로15길 37,남가좌1동주민센터,공공시설
171,남가좌1동,수색로6길 43,래미안남가좌2차@(3개),공동주택
172,남가좌1동,가재울미래로 2,DMC파크뷰자이@(총30개),공동주택
173,남가좌1동,모래내로13길 13(철거),구립경로당,주택가
174,남가좌2동,증가로10길 28,남가좌2동주민센터,공공시설
175,남가좌2동,가재울로6길 53-87,백련미라보@,공동주택
176,남가좌2동,가재울로4길 48,명지플러스빌,주택가
177,남가좌2동,거북골로 101-11,쌍용@ 관리사무실,공동주택
178,남가좌2동,증가로 191,삼성@ 임대동관리실,공동주택
179,남가좌2동,증가로 191,삼성@ (3개),공동주택
180,남가좌2동,가재울로 45,현대@ (총6개),공동주택
181,남가좌2동,거북골로 120,DMC센트레빌@ (3개),공동주택
182,남가좌2동,명지대1라길 24-4,고려마트 옆,주택가
183,북가좌1동,응암로 28,연희한양@ (2개),공동주택
184,북가좌1동,수색로 102,요진@,공동주택
185,북가좌1동,수색로 147-1,신일해피트리@,공동주택
186,북가좌1동,거북골로21길 58,은혜슈퍼,주택가
187,북가좌1동,수색로 154,월드컵현대@,공동주택
188,북가좌1동,수색로 100-55,북가좌1동주민센터,공공시설
189,북가좌1동,응암로 33,현대@,공동주택
190,북가좌1동,수색로 100,DMC래미안e편한세상@ (10개),공동주택
191,북가좌2동,응암로1길 10,북가좌2동주민센터,공공시설
192,북가좌2동,증가로 193,주원 스카이빌,주택가
193,북가좌2동,증가로20길 43,은가노인정,주택가
194,북가좌2동,거북골로22길 29-51,신가노인정,주택가
195,북가좌2동,거북골로 154,삼호@ (3개),공동주택
196,북가좌2동,거북골로18가길 23,휴먼빌@ (2개),공동주택
197,북가좌2동,거북골로14길 32,DMC아이파크@,공동주택
198,북가좌2동,증가로 200-8,두산위브@ (2개),공동주택
199,북가좌2동,응암로 54,서부프라자빌딩,주택가
200,북가좌2동,증가로30길 8,서부@,공동주택
201,북가좌2동,응암로 121,KT,주택가
202,북가좌2동,증가로24나길 1,,주택가
,,총 202개,,
