연번,행정동,주소,세부위치,폐형광등,폐건전지
1,풍납1동,서울특별시 송파구 천호대로152길 7,풍납1동주민센터,Y,Y
2,풍납1동,서울특별시 송파구 한가람로 446 동아한가람아파트,동아한가람아파트 관리사무소(101과103사이),Y,Y
3,풍납1동,서울특별시 송파구 한가람로 478 풍납시티극동아파트 ,풍납씨티극동아파트 관리사무소(102동 1초소뒤),Y,Y
4,풍납1동,서울특별시 송파구 한가람로 468 신성노바빌아파트,신성노바빌아파트 관리사무소,Y,Y
5,풍납1동,서울특별시 송파구 풍성로15길 10,대동아파트 관리사무소,Y,Y
6,풍납1동,서울특별시 송파구 풍성로25나길 16-1,금강캐스빌아파트아파트,Y,Y
7,풍납2동,서울특별시 송파구 토성로 64,풍납2동주민센터,Y,Y
8,풍납2동,서울특별시 송파구 토성로 38-6 ,한강극동아파트 관리사무소(105동옆),Y,Y
9,풍납2동,서울특별시 송파구 올림픽로 525,풍납현대아파트 관리사무소 (104동앞),Y,Y
10,풍납2동,서울특별시 송파구 풍성로24길 26,현대리버빌1차아파트 관리사무소,Y,Y
11,풍납2동,서울특별시 송파구 풍성로24길 38,현대리버빌2차아파트 관리사무소,Y,Y
12,풍납2동,서울특별시 송파구 풍성로6가길 7,KNP상상아파트 관리사무소,Y,Y
13,풍납2동,서울특별시 송파구 올림픽로47길 9,쌍용아파트 관리사무소(102동입구),Y,Y
14,풍납2동,서울특별시 송파구 강동대로9길 8,풍납극동아파트 관리사무소(2동옆),Y,Y
15,풍납2동,서울특별시 송파구 풍성로6길 10,풍납미성아파트 관리사무소(5동옆),Y,Y
16,풍납2동,서울특별시 송파구 풍성로26길 31,송파현대힐스테이트아파트 관리사무소(202동뒤),Y,Y
17,풍납2동,서울특별시 송파구 한가람로 414,갑을아파트 관리사무소,Y,Y
18,풍납2동,서울특별시 송파구 풍성로22길 35,풍산노인정(풍납동260-2),Y,Y
19,풍납2동,서울특별시 송파구 풍성로26길 22,오거리토성담장옆(gs마트옆),Y,Y
20,풍납2동,서울특별시 송파구 풍성로14길 19,토성현대아파트관리사무소,Y,Y
21,거여1동,서울특별시 송파구 오금로53길 32,거여1동주민센터,Y,Y
22,거여1동,서울특별시 송파구 오금로54길 10,거여현대1차아파트 관리사무소(102-4앞),Y,Y
23,거여1동,서울특별시 송파구 거마로 41,거여현대3차아파트 관리사무소(출구옆),Y,Y
24,거여1동,서울특별시 송파구 오금로56길 16,우방아파트 관리사무소(101동옆초소),Y,Y
25,거여1동,서울특별시 송파구 오금로56길 28,어울림아파트 관리사무소(101-3앞),Y,Y
26,거여1동,서울특별시 송파구 양산로 15,체육문화회관(거여동289)정문앞,Y,Y
27,거여1동,서울특별시 송파구 거마로9길 19,삼호아파트관리사무소,Y,Y
28,거여2동,서울특별시 송파구 거마로2길 19,거여2동주민센터,Y,Y
29,거여2동,서울특별시 송파구 양산로8길 8 ,"거여1단지아파트 관리사무소(103동,104동 앞)",Y,Y
