번호,행정동,수거함 설치 위치,수거함종류,데이터기준일자
1,목1동,서울특별시 양천구 목1동 404 푸르지오아파트,폐형광등폐건전지 통합수거함,2020-08-26
2,목1동,서울특별시 양천구 목1동 404-3 힘찬병원,폐형광등폐건전지 통합수거함,2020-08-26
3,목1동,서울특별시 양천구 목1동 405-208,폐형광등폐건전지 통합수거함,2020-08-26
4,목1동,서울특별시 양천구 목1동 405 대림아파트 관리동,폐형광등폐건전지 통합수거함,2020-08-26
5,목1동,서울특별시 양천구 목1동 405-472 삼거리(대림아파트 담장 옆),폐형광등폐건전지 통합수거함,2020-08-26
6,목1동,서울특별시 양천구 목1동 927-4 횃불교회 앞,폐형광등폐건전지 통합수거함,2020-08-26
7,목1동,서울특별시 양천구 목1동 808-5 대원칸타빌(아) 관리동,폐형광등폐건전지 통합수거함,2020-08-26
8,목1동,"서울특별시 양천구 목1동 808-5,6 우당아파트 관리동",폐형광등폐건전지 통합수거함,2020-08-26
9,목1동,서울특별시 양천구 목1동 916 현대하이페리온 101동,폐형광등폐건전지 통합수거함,2020-08-26
10,목1동,서울특별시 양천구 목1동 916 현대하이페리온 102동,폐형광등폐건전지 통합수거함,2020-08-26
11,목1동,서울특별시 양천구 목1동 916 현대하이페리온 103동,폐형광등폐건전지 통합수거함,2020-08-26
12,목1동,서울특별시 양천구 목1동 917 목동파라곤 지하2층,폐형광등폐건전지 통합수거함,2020-08-26
13,목1동,서울특별시 양천구 목1동 919-3 목1동 주민센터,폐형광등폐건전지 통합수거함,2020-08-26
14,목1동,서울특별시 양천구 목1동 923-15 목동굿모닝탑(아),폐형광등폐건전지 통합수거함,2020-08-26
15,목1동,서울특별시 양천구 목1동 926 목동아파트 7단지 709동,폐형광등폐건전지 통합수거함,2020-08-26
16,목1동,서울특별시 양천구 목1동 926 목동아파트 7단지 721동,폐형광등폐건전지 통합수거함,2020-08-26
17,목1동,서울특별시 양천구 목1동 926 목동아파트 7단지 733동,폐형광등폐건전지 통합수거함,2020-08-26
18,목1동,서울특별시 양천구 목1동 926 목동아파트 7단지 관리동상가,폐형광등폐건전지 통합수거함,2020-08-26
19,목1동,서울특별시 양천구 목1동 926-7 벽산아파트 관리동,폐형광등폐건전지 통합수거함,2020-08-26
20,목1동,서울특별시 양천구 목1동 926-8 성원아파트 관리사무소,폐형광등폐건전지 통합수거함,2020-08-26
21,목1동,서울특별시 양천구 목1동 927-6 진명여고,폐형광등폐건전지 통합수거함,2020-08-26
22,목1동,서울특별시 양천구 목1동 930 현대아파트 101동,폐형광등폐건전지 통합수거함,2020-08-26
23,목1동,서울특별시 양천구 목1동 931 현대아파트 107동,폐형광등폐건전지 통합수거함,2020-08-26
24,목1동,서울특별시 양천구 목1동 931 현대아파트 108동 경비실,폐형광등폐건전지 통합수거함,2020-08-26
25,목1동,서울특별시 양천구 목1동 932 현대1차아파트 관리동,폐형광등폐건전지 통합수거함,2020-08-26
26,목1동,서울특별시 양천구 목1동 933 삼익아파트,폐형광등폐건전지 통합수거함,2020-08-26
27,목1동,서울특별시 양천구 목1동 934 금호아파트 경비실,폐형광등폐건전지 통합수거함,2020-08-26
28,목1동,서울특별시 양천구 목1동 935 진도1차아파트 관리동,폐형광등폐건전지 통합수거함,2020-08-26
29,목1동,서울특별시 양천구 목1동 936 진도2차아파트 관리동,폐형광등폐건전지 통합수거함,2020-08-26
30,목1동,서울특별시 양천구 목1동 940 현대아이파크,폐형광등폐건전지 통합수거함,2020-08-26
31,목1동,서울특별시 양천구 목1동 947 3차 월드메르디앙아파트,폐형광등폐건전지 통합수거함,2020-08-26
32,목1동,서울특별시 양천구 목1동 961 현대하이페리온 Ⅱ  201동,폐형광등폐건전지 통합수거함,2020-08-26
33,목1동,서울특별시 양천구 목1동 961 현대하이페리온 Ⅱ  202동,폐형광등폐건전지 통합수거함,2020-08-26
34,목1동,서울특별시 양천구 목1동 961 현대하이페리온 Ⅱ  203동,폐형광등폐건전지 통합수거함,2020-08-26
35,목1동,서울특별시 양천구 목1동 961 현대하이페리온 Ⅱ  204동,폐형광등폐건전지 통합수거함,2020-08-26
36,목1동,서울특별시 양천구 목1동 961 현대하이페리온 Ⅱ  205동,폐형광등폐건전지 통합수거함,2020-08-26
