관내 폐형광등(폐건전지) 수거함 현황(2020년 6월),,,,,,,,,,,,,,,,,,,
연번,관리번호,위치,단지 내 여부,번지,재질,비고,,,,,,,,,,,,,
1,가산동-1,가산삼익 아파트,단지 내,234-46,스텐,,,,,,,,,,,,,,
2,가산동-3,대동 아파트,단지 내,151-14,철,,,,,,,,,,,,,,
3,가산동-4,덕산 아파트,단지 내,148-1,스텐,,,,,,,,,,,,,,
4,가산동-5,두산위브 아파트 101동,단지 내,769,스텐,,,,,,,,,,,,,,
5,가산동-6,두산위브 아파트 105동 뒷편,단지 내,769,스텐,,,,,,,,,,,,,,
6,가산동-7,두산위브 아파트 104동,단지 내,769,스텐,,,,,,,,,,,,,,
7,가산동-8,두산위브 아파트 107동,단지 내,769,스텐,,,,,,,,,,,,,,
8,가산동-9,두산위브 아파트 108동,단지 내,769,스텐,,,,,,,,,,,,,,
9,가산동-10,두산위브 아파트 109동,단지 내,769,스텐,,,,,,,,,,,,,,
10,가산동-11,두산위브 아파트 112동 뒷편,단지 내,769,스텐,,,,,,,,,,,,,,
11,가산동-12,두산위브 아파트 113동,단지 내,769,스텐,,,,,,,,,,,,,,
12,가산동-13,두산위브 아파트 116동 맞은편,단지 내,769,스텐,,,,,,,,,,,,,,
13,가산동-14,두산 주상복합,단지 내,772,스텐,,,,,,,,,,,,,,
14,가산동-15,우창연립,단지 내,547-44,스텐,,,,,,,,,,,,,,
15,가산동-16,가산동 주민센터 맞은편,공유지,769,스텐,,,,,,,,,,,,,,
16,가산동-17,모아래 공원,공원,237-68,스텐,,,,,,,,,,,,,,
17,가산동-19,무아래 어린이공원,공원,234-29,스텐,,,,,,,,,,,,,,
18,가산동-20,오토스 옆,공유지,234-12,스텐,,,,,,,,,,,,,,
19,가산동-21,영화빌라,단지 내,149-47,스텐,,,,,,,,,,,,,,
20,가산동-22,두산위브 아파트 105동 앞편,단지 내,769,스텐,,,,,,,,,,,,,,
21,가산동-23,대륭포스트타워 6차,단지 내,50-3,스텐,,,,,,,,,,,,,,
22,가산동-24,갑을그레이트밸리,단지 내,60-5,스텐,,,,,,,,,,,,,,
23,가산동-25,IT프리미어 타워,단지 내,345-50,철,,,,,,,,,,,,,,
24,가산동-26,디지털 엠파이어,단지 내,685,스텐,,,,,,,,,,,,,,
25,가산동-27,이랜드 월드,단지 내,371-12,철,,,,,,,,,,,,,,
26,가산동-28,노동자생활체험관 맞은편,공유지,39-7,스텐,,,,,,,,,,,,,,
27,가산동-29,주택가,공유지,33-2,스텐,,,,,,,,,,,,,,
28,가산동-30,두산위브 아파트 118동,단지 내,769,스텐,,,,,,,,,,,,,,
29,가산동-32,주택가,공유지,458-1,스텐,,,,,,,,,,,,,,
30,가산동-33,가산드림타워오피스텔,단지 내,494-4,스텐,,,,,,,,,,,,,,
31,독산1동-1,각산 아파트,단지 내,1095-3,스텐,,,,,,,,,,,,,,
32,독산1동-2,계룡아파트,단지 내,332-14,스텐,,,,,,,,,,,,,,
33,독산1동-4,독산현대아파트,단지 내,293-10,스텐,,,,,,,,,,,,,,
34,독산1동-5,라이프아파트,단지 내,1131,철,,,,,,,,,,,,,,
35,독산1동-6,백운아파트,단지 내,1006-140,스텐,,,,,,,,,,,,,,
36,독산1동-7,삼환아파트,단지 내,1006-132,스텐,,,,,,,,,,,,,,
37,독산1동-8,태영아파트,단지 내,1003-21,스텐,,,,,,,,,,,,,,
38,독산1동-9,진도1차 아파트,단지 내,1002,스텐,,,,,,,,,,,,,,
39,독산1동-10,진도2차 아파트,단지 내,1133,스텐,,,,,,,,,,,,,,
40,독산1동-11,진도3차 아파트,단지 내,1136,스텐,,,,,,,,,,,,,,
41,독산1동-12,청광플러스원 아파트,단지 내,1139,스텐,,,,,,,,,,,,,,
42,독산1동-13,독산1동 주민센터,주민센터,289-5,스텐,,,,,,,,,,,,,,
43,독산1동-14,포러스빌딩(NH농협 독산북지점),단지 내,289-1,스텐,,,,,,,,,,,,,,
44,독산1동-15,중앙하이츠 아파트 101동,단지 내,1140,스텐,,,,,,,,,,,,,,
45,독산1동-16,중앙하이츠 아파트 103동,단지 내,1140,스텐,,,,,,,,,,,,,,
46,독산1동-17,중앙하이츠 아파트 105동,단지 내,1140,스텐,,,,,,,,,,,,,,
47,독산1동-18,중앙하이츠 아파트 107동,단지 내,1140,스텐,,,,,,,,,,,,,,
48,독산1동-19,금천현대 아파트 후문 입구,단지 내,711-2,스텐,,,,,,,,,,,,,,
49,독산1동-20,금천현대 아파트 105동,단지 내,711-2,스텐,,,,,,,,,,,,,,
50,독산1동-21,금천현대 아파트 지하주차장 입구 맞은편,단지 내,711-2,스텐,,,,,,,,,,,,,,
51,독산1동-22,금천현대 아파트 107동,단지 내,711-2,스텐,,,,,,,,,,,,,,
52,독산1동-23,금천현대 아파트 110동,단지 내,711-2,스텐,,,,,,,,,,,,,,
53,독산1동-24,주택가,공유지,1003-14,스텐,,,,,,,,,,,,,,
54,독산1동-25,주택가,공유지,144-31,스텐,,,,,,,,,,,,,,
55,독산1동-26,공진연립(공영주차장 옆),공유지,1006-91,스텐,,,,,,,,,,,,,,
56,독산1동-27,주택가,공유지,335-12,스텐,,,,,,,,,,,,,,
57,독산1동-29,독산주공 아파트 1314동,단지 내,1088-1,스텐,,,,,,,,,,,,,,
58,독산1동-30,독산주공 아파트 1320동,단지 내,1088-1,스텐,,,,,,,,,,,,,,
59,독산1동-31,독산주공 아파트 1315동,단지 내,1088-1,스텐,,,,,,,,,,,,,,
60,독산1동-32,독산주공 아파트 독산1동 분소 근처,단지 내,1088-1,스텐,,,,,,,,,,,,,,
61,독산1동-33,독산주공 아파트 1319동,단지 내,1088-1,스텐,,,,,,,,,,,,,,
62,독산1동-34,독산주공 아파트 1401동 앞,단지 내,1088,스텐,,,,,,,,,,,,,,
63,독산1동-35,독산주공 아파트 1401동 옆,단지 내,1088,스텐,,,,,,,,,,,,,,
64,독산1동-36,독산주공 아파트 1403동 1404동 사이,단지 내,1088,스텐,,,,,,,,,,,,,,
65,독산1동-37,독산동 한신 아파트 3동,단지 내,1095,스텐,,,,,,,,,,,,,,
66,독산1동-38,독산동 한신 아파트 6동,단지 내,1095,스텐,,,,,,,,,,,,,,
67,독산1동-39,독산동 한신 아파트 1동,단지 내,1095,스텐,,,,,,,,,,,,,,
68,독산1동-40,"독산동 한신 아파트 1동, 10동 사이",단지 내,1095,스텐,,,,,,,,,,,,,,
69,독산1동-41,독산동 한신 아파트 11동,단지 내,1095,스텐,,,,,,,,,,,,,,
70,독산1동-42,"독산동 한신 아파트 9동, 12동 사이",단지 내,1095,스텐,,,,,,,,,,,,,,
71,독산1동-44,두산 어린이공원,공원,298-1,스텐,,,,,,,,,,,,,,
72,독산1동-46,독산한신 아파트 상가 앞,단지 내,1095,스텐,,,,,,,,,,,,,,
73,독산1동-47,이랜드 해가든 아파트 1,단지 내,1143,스텐,,,,,,,,,,,,,,
74,독산1동-48,이랜드 해가든 아파트 2,단지 내,1143,스텐,,,,,,,,,,,,,,
75,독산1동-49,메이퀸 컨벤션 측면,공유지,152-3,스텐,,,,,,,,,,,,,,
76,독산1동-50,롯데캐슬 골드파크 1차 104동,단지 내,1147,철,,,,,,,,,,,,,,
77,독산1동-51,롯데캐슬 골드파크 1차 105동,단지 내,1147,철,,,,,,,,,,,,,,
78,독산1동-52,롯데캐슬 골드파크 1차 106동,단지 내,1147,철,,,,,,,,,,,,,,
79,독산1동-53,롯데캐슬 골드파크 1차 107동,단지 내,1147,철,,,,,,,,,,,,,,
80,독산1동-54,롯데캐슬 골드파크 1차 108동,단지 내,1147,철,,,,,,,,,,,,,,
81,독산1동-55,롯데캐슬 골드파크 1차 109동,단지 내,1147,철,,,,,,,,,,,,,,
82,독산1동-56,롯데캐슬 골드파크 1차 103동,단지 내,1147,철,,,,,,,,,,,,,,
83,독산1동-57,롯데캐슬 골드파크 1차 102동,단지 내,1147,철,,,,,,,,,,,,,,
84,독산1동-58,롯데캐슬 골드파크 1차 101동,단지 내,1147,철,,,,,,,,,,,,,,
85,독산1동-59,롯데캐슬 골드파크 1차 110동,단지 내,1147,철,,,,,,,,,,,,,,
86,독산1동-60,롯데캐슬 골드파크 1차 111동,단지 내,1147,철,,,,,,,,,,,,,,
87,독산1동-61,우시장 협진정육부산물 도매시장 앞 도로,공유지,293-6,스텐,,,,,,,,,,,,,,
88,독산1동-62,롯데캐슬 골드파크 2차 지하주차장,단지 내,1150,철,,,,,,,,,,,,,,
89,독산1동-63,롯데캐슬 골드파크 2차 지하주차장,단지 내,1150,철,,,,,,,,,,,,,,
90,독산1동-64,한아마인드아파트,단지 내,1142,스텐,,,,,,,,,,,,,,
91,독산1동-65,말뫼마을마당 공원,공원,1006-181,스텐,,,,,,,,,,,,,,
92,독산2동-1,대우그린빌라 주차장 내,단지 내,1066-19,철,,,,,,,,,,,,,,
93,독산2동-3,독산2동 주민센터,공유지,1043-51,스텐,,,,,,,,,,,,,,
94,독산2동-4,정훈 공원,공원,378-4,스텐,,,,,,,,,,,,,,
95,독산2동-5,공영 주차장,공유지,1040-58,스텐,,,,,,,,,,,,,,
96,독산2동-6,무지개공원 옆,공유지,1063-14,스텐,,,,,,,,,,,,,,
97,독산2동-7,옥계 공원,공원,1067-9,스텐,,,,,,,,,,,,,,
98,독산2동-8,호정타워상가 앞,단지내,1069,스텐,,,,,,,,,,,,,,
99,독산3동-1,목화1차 아파트,공유지,1132,스텐,,,,,,,,,,,,,,
100,독산3동-3,목화2차 아파트,단지 내,961-13,스텐,,,,,,,,,,,,,,
101,독산3동-4,독산삼익 아파트,단지 내,956,스텐,,,,,,,,,,,,,,
102,독산3동-5,한양수자인 아파트 102동,단지 내,1144,스텐,,,,,,,,,,,,,,
103,독산3동-6,한양수자인 아파트 103동,단지 내,1144,스텐,,,,,,,,,,,,,,
104,독산3동-7,한양수자인 아파트 104동,단지 내,1144,스텐,,,,,,,,,,,,,,
105,독산3동-8,신도브래뉴 아파트,단지 내,955,스텐,,,,,,,,,,,,,,
106,독산3동-9,보건분소,공유지,985-22,스텐,,,,,,,,,,,,,,
107,독산3동-10,독산3동 주민센터,주민센터,973-17,스텐,,,,,,,,,,,,,,
108,독산3동-11,공영 주차장,공유지,898-24,스텐,,,,,,,,,,,,,,
109,독산3동-14,구룡공원,공원,964,스텐,,,,,,,,,,,,,,
110,독산3동-15,한아아파트 앞,공유지,987-11,스텐,,,,,,,,,,,,,,
111,독산3동-16,문성초등학교 후문 안,공유지,982,스텐,,,,,,,,,,,,,,
112,독산3동-17,문성중학교 내 클린하우스,공유지,61,클린하우스(철),,,,,,,,,,,,,,
113,독산3동-18,정우센스빌 맞은편,공유지,967-1,스텐,,,,,,,,,,,,,,
114,독산3동-19,예전이룸아파트 앞,공유지,965-1,스텐,,,,,,,,,,,,,,
115,독산3동-20,크로바볼링장 앞,공유지,983-13,스텐,,,,,,,,,,,,,,
116,독산3동-21,독산고등학교 앞,공유지,907-20,스텐,,,,,,,,,,,,,,
117,독산3동-22,호암산 등산로 입구 옆,공유지,992-39,스텐,,,,,,,,,,,,,,
118,독산3동-23,리치힐아파트 뒷담장 모서리 ,공유지,992,스텐,,,,,,,,,,,,,,
119,독산4동-1,대덕 트윈빌 101동,단지 내,1028,스텐,,,,,,,,,,,,,,
120,독산4동-2,대덕 트윈빌 102동,단지 내,1028,스텐,,,,,,,,,,,,,,
121,독산4동-3,동아 아파트,단지 내,181-3,스텐,,,,,,,,,,,,,,
122,독산4동-4,아셈그린힐,단지 내,184-3,스텐,,,,,,,,,,,,,,
123,독산4동-5,쌈지공원,공원,198-1,스텐,,,,,,,,,,,,,,
124,독산4동-6,노보텔 엠배서더 뒷편,공유지,1030-1,스텐,,,,,,,,,,,,,,
125,독산4동-7,구립도서관,도서관,375-2,스텐,,,,,,,,,,,,,,
126,독산4동-8,문화체육센터,공유지,118-9,스텐,,,,,,,,,,,,,,
127,독산4동-9,주민센터 지하주차장 입구,주민센터,1022,스텐,,,,,,,,,,,,,,
128,독산4동-10,서초파레스 아파트,단지 내,1141,스텐,,,,,,,,,,,,,,
129,시흥1동-1,건영 아파트,단지 내,992-2,스텐,,,,,,,,,,,,,,
130,시흥1동-2,럭키아파트 1동,단지 내,1002-1,스텐,,,,,,,,,,,,,,
131,시흥1동-3,럭키아파트 2동,단지 내,1002-1,스텐,,,,,,,,,,,,,,
132,시흥1동-4,럭키아파트 3동,단지 내,1002-1,스텐,,,,,,,,,,,,,,
133,시흥1동-5,럭키아파트 5동,단지 내,1002-1,스텐,,,,,,,,,,,,,,
134,시흥1동-6,럭키아파트 7동,단지 내,1002-1,스텐,,,,,,,,,,,,,,
135,시흥1동-7,럭키아파트 8동,단지 내,1002-1,스텐,,,,,,,,,,,,,,
136,시흥1동-8,럭키아파트 9동,단지 내,1002-1,스텐,,,,,,,,,,,,,,
137,시흥1동-9,럭키아파트 10동,단지 내,1002-1,스텐,,,,,,,,,,,,,,
138,시흥1동-10,목련아파트,단지 내,1009,스텐,,,,,,,,,,,,,,
139,시흥1동-11,무지개 아파트 1동,단지 내,109-1,스텐,,,,,,,,,,,,,,
140,시흥1동-12,무지개 아파트 2동,단지 내,109-1,스텐,,,,,,,,,,,,,,
141,시흥1동-13,무지개 아파트 3동,단지 내,109-1,스텐,,,,,,,,,,,,,,
142,시흥1동-14,무지개 아파트 5동,단지 내,109-1,스텐,,,,,,,,,,,,,,
143,시흥1동-15,무지개 아파트 상가,단지 내,109-1,스텐,,,,,,,,,,,,,,
144,시흥1동-16,베르빌 아파트,단지 내,1015,스텐,,,,,,,,,,,,,,
145,시흥1동-17,산호시티빌,단지 내,999-1,스텐,,,,,,,,,,,,,,
146,시흥1동-18,성지아파트,단지 내,산173-8,스텐,,,,,,,,,,,,,,
147,시흥1동-19,영광아파트,단지 내,992-12,스텐,,,,,,,,,,,,,,
148,시흥1동-20,원미아트 빌라,단지 내,120-15,스텐,,,,,,,,,,,,,,
149,시흥1동-22,시흥1동 주민센터,주민센터,886-6,스텐,,,,,,,,,,,,,,
150,시흥1동-23,해태 공원,공원,871-24,스텐,,,,,,,,,,,,,,
151,시흥1동-24,주택가,공유지,840-7,스텐,,,,,,,,,,,,,,
152,시흥1동-25,주택가,공유지,902-11 맞은편,스텐,,,,,,,,,,,,,,
153,시흥1동-26,주택가,공유지,859,스텐,,,,,,,,,,,,,,
154,시흥1동-27,상신정비 자동차,공유지,113-16,스텐,,,,,,,,,,,,,,
155,시흥1동-28,그린하이클라스빌,단지 내,989-10,철,,,,,,,,,,,,,,
156,시흥1동-29,시티뷰 오피스텔,단지 내,987-14,스텐,,,,,,,,,,,,,,
157,시흥1동-30,금천구청 지하1층,구청,1020,스텐,,,,,,,,,,,,,,
158,시흥1동-32,힐스테이트 아파트 101동,단지 내,1026,철,,,,,,,,,,,,,,
159,시흥1동-33,힐스테이트 아파트 106동,단지 내,1026,철,,,,,,,,,,,,,,
160,시흥1동-34,힐스테이트 아파트 202동,단지 내,1026,철,,,,,,,,,,,,,,
161,시흥1동-35,힐스테이트 아파트 208동,단지 내,1026,철,,,,,,,,,,,,,,
162,시흥1동-36,힐스테이트 아파트 209동,단지 내,1026,철,,,,,,,,,,,,,,
163,시흥1동-37,힐스테이트 아파트 210동,단지 내,1026,철,관리번호 스티커 없음,,,,,,,,,,,,,
164,시흥1동-38,클린하우스(삼성빌라 맞은편),공유지,558-14,클린하우스(철),,,,,,,,,,,,,,
165,시흥1동-39,금빛공원,공원,894-7,스텐,,,,,,,,,,,,,,
166,시흥1동-40,주택가,공유지,992-57,스텐,,,,,,,,,,,,,,
167,시흥1동-41,금천경찰서,경찰서,1030,스텐,,,,,,,,,,,,,,
168,시흥2동-1,벽산1단지 101동,단지 내,1010,스텐,,,,,,,,,,,,,,
169,시흥2동-2,벽산1단지 106동,단지 내,1010,스텐,,,,,,,,,,,,,,
170,시흥2동-3,벽산1단지 108동,단지 내,1010,스텐,,,,,,,,,,,,,,
171,시흥2동-4,벽산1단지 109동,단지 내,1010,스텐,,,,,,,,,,,,,,
172,시흥2동-5,벽산1단지 110동,단지 내,1010,스텐,,,,,,,,,,,,,,
173,시흥2동-6,벽산1단지 111동,단지 내,1010,스텐,,,,,,,,,,,,,,
174,시흥2동-7,벽산1단지 112동,단지 내,1010,스텐,,,,,,,,,,,,,,
175,시흥2동-8,벽산1단지 115동,단지 내,1010,스텐,,,,,,,,,,,,,,
176,시흥2동-9,벽산2단지 201동 202동 사이,단지 내,1010,스텐,,,,,,,,,,,,,,
177,시흥2동-10,벽산3단지 101동,단지 내,1006,스텐,,,,,,,,,,,,,,
178,시흥2동-11,벽산5단지 503동,단지 내,1013,스텐,,,,,,,,,,,,,,
179,시흥2동-12,벽산5단지 504동,단지 내,1013,스텐,,,,,,,,,,,,,,
180,시흥2동-13,벽산5단지 505동,단지 내,1013,스텐,,,,,,,,,,,,,,
181,시흥2동-14,벽산5단지 507동,단지 내,1013,스텐,,,,,,,,,,,,,,
182,시흥2동-15,벽산5단지 508동,단지 내,1013,스텐,,,,,,,,,,,,,,
183,시흥2동-16,벽산5단지 514동,단지 내,1013,스텐,,,,,,,,,,,,,,
184,시흥2동-17,벽산5단지 516동,단지 내,1013,스텐,,,,,,,,,,,,,,
185,시흥2동-18,벽산5단지 517동,단지 내,1013,스텐,,,,,,,,,,,,,,
186,시흥2동-19,벽산5단지 518동,단지 내,1013,스텐,,,,,,,,,,,,,,
187,시흥2동-20,벽산5단지 519동,단지 내,1013,스텐,,,,,,,,,,,,,,
188,시흥2동-21,벽산5단지 522동,단지 내,1013,스텐,,,,,,,,,,,,,,
189,시흥2동-22,벽산5단지 523동,단지 내,1013,스텐,,,,,,,,,,,,,,
190,시흥2동-23,벽산5단지 525동,단지 내,1013,스텐,,,,,,,,,,,,,,
191,시흥2동-24,벽산6단지 601동,단지 내,1013-4,스텐,,,,,,,,,,,,,,
192,시흥2동-25,벽산6단지 602동,단지 내,1013-4,스텐,,,,,,,,,,,,,,
193,시흥2동-26,벽산6단지 603동,단지 내,1013-4,스텐,,,,,,,,,,,,,,
