material,item,info
종이류,신문지,물에 젖지 않도록 하고 반듯하게 펴서 배출
종이류,책자,오물이 묻지 않도록 하고 물에 젖지 않도록 배출
종이류,각종 노트류,"비닐, 플라스틱, 알루미늄, 철사 등 이물질을 제거한 후 배출"
종이류,종이상자,"상자에 붙어있는 비닐, 테이프, 철핀 등을 제거한 후 압착하여 배출"
종이류,종이 쇼핑백,"비닐, 끈종류 등 이물질을 제거한 후 배출"
종이류,달력,"코팅표지, 스프링 등 이물질을 제거한 후 배출"
종이류,종이 포장지,오물이 묻지 않도록 하고 물에 젖지 않도록 배출
종이팩,종이컵,컵을 물로 헹구고 압착하여 배출 (종이팩 수거함이 없는 경우 종이류로 배출)
종이팩,우유팩/두유팩,팩을 물로 헹구고 펼쳐서 배출 (종이팩 수거함이 없는 경우 종이류로 배출)
종이팩,각종 음료팩,팩을 물로 헹구고 펼쳐서 배출 (종이팩 수거함이 없는 경우 종이류로 배출)
플라스틱류,"투명 페트병류 (PET, PVC, PE, PP, PS 등)","내용물을 깨끗하게 비우고, 다른 재질로 된 뚜껑 및 부착물 등을 제거한 후 찌그러트려 배출"
플라스틱류,"유색 페트병류 (PET, PVC, PE, PP, PS 등)","내용물을 깨끗하게 비우고, 다른 재질로 된 뚜껑 및 부착물 등을 제거한 후 찌그러트려 배출"
플라스틱류,물티슈 캡,캡을 따로 분리하여 배출
플라스틱류,플라스틱 뚜껑,뚜껑 부분을 본체와 분리하여 배출
비닐류,일회용 비닐류,투명용기 또는 폐비닐 전용 봉투에 담아서 배출
비닐류,과자봉지/라면봉지,투명용기 또는 폐비닐 전용 봉투에 담아서 배출
비닐류,커피봉지,투명용기 또는 폐비닐 전용 봉투에 담아서 배출
스티로폼류,가전제품 완충재,가전제품의 완충제로 사용된 스티로폼은 가급적 제품 구입처로 반납
스티로폼류,과일상자/생선상자,이물질을 제거하고 물로 깨끗이 헹군 다음 배출
스티로폼류,컵라면 용기,이물질을 제거하고 물로 깨끗이 헹군 다음 배출
스티로폼류,일회용 접시,이물질을 제거하고 물로 깨끗이 헹군 다음 배출
스티로폼류,일반 완충재,이물질과 다른 재질 (부착 상표 등)을 제거한 다음 배출
병류,맥주병/소주병,"내용물을 깨끗하게 비우고, 병 뚜껑을 제거한 후 배출"
병류,드링크병,"내용물을 깨끗하게 비우고, 병 뚜껑을 제거한 후 배출"
병류,청량음료병,"내용물을 깨끗하게 비우고, 병 뚜껑을 제거한 후 배출"
병류,"보증금병(맥주,소주 등)",보증금 환불 문구가 있는 (빈용기보증금 대상) 유리병은 내용물을 깨끗하게 비우고 소매점 등으로 반납
병류,맥주컵,"내용물을 깨끗하게 비우고, 깨지지 않은 것만 배출"
캔류/금속류,철/알루미늄 캔류,내용물을 깨끗이 비우고 배출 (플라스틱 뚜껑 등 다른 재질은 분리하여 배출)
캔류/금속류,공구류,"고무, 플라스틱 등 타 물질을 혼합하여 만든 제품은 재질별로 분리하여 배출"
캔류/금속류,철판류,내용물을 깨끗이 비우고 배출 (플라스틱 뚜껑 등 다른 재질은 분리하여 배출)
캔류/금속류,양은류,내용물을 깨끗이 비우고 배출 (플라스틱 뚜껑 등 다른 재질은 분리하여 배출)
캔류/금속류,스텐류,내용물을 깨끗이 비우고 배출 (플라스틱 뚜껑 등 다른 재질은 분리하여 배출)
캔류/금속류,샷시류,내용물을 깨끗이 비우고 배출 (플라스틱 뚜껑 등 다른 재질은 분리하여 배출)
캔류/금속류,부탄가스/살충제 용기 등 (기타캔류),내용물을 깨끗이 비우고 배출 (플라스틱 뚜껑 등 다른 재질은 분리하여 배출)
캔류/금속류,병뚜껑,뚜껑 부분을 본체와 분리하여 배출
캔류/금속류,철사 옷걸이,이물질이 섞이지 않도록 배출
캔류/금속류,의류건조대,플라스틱 등 다른 재질은 제거한 후 배출
