district,type,location,etc
강북구,lamp_battery,솔매로7다길 24,구세군길공영주차장 주변
강북구,lamp_battery,삼양로 246-14,늘푸른공원 옆
강북구,lamp_battery,솔매로17길 6,일심연립 입구
강북구,lamp_battery,솔샘로 243-8,대지공영주차장 입구
강북구,lamp_battery,삼양로41길 49,주하늘교회 맞은편
강북구,lamp_battery,솔샘로 159,벽산아파트 112동
강북구,lamp_battery,솔샘로 159,벽산아파트 118동
강북구,lamp_battery,솔샘로 159,벽산아파트 201동
강북구,lamp_battery,솔샘로 177,솔샘문화정보도서관
강북구,lamp_battery,솔샘로 159,벽산아파트 상가동 지하 2 층
강북구,lamp_battery,삼양로 256,래미안아파트 102동
강북구,lamp_battery,삼양로 256,래미안아파트 104동
강북구,lamp_battery,삼양로 256,래미안아파트 105동
강북구,lamp_battery,솔매로31가길 4,율도빌라 앞
강북구,lamp_battery,삼양로 268,삼양동주민센터
강북구,lamp_battery,삼양로74길 8,경남아너스빌 104동 뒤
강북구,lamp_battery,미아동791-1974,삼각산 마을마당
강북구,lamp_battery,도봉로61길 46,미아동 공영주차장
강북구,lamp_battery,솔매로49길 14,미아동 주민센터 지하주차장
강북구,lamp_battery,도봉로68길 26,현대아파트
강북구,lamp_battery,도봉로76가길 15,내안의 아파트
강북구,lamp_battery,도봉로76길 52,요진아파트
강북구,lamp_battery,오패산로52사길 3,청송주택 다동
강북구,lamp_battery,오패산로52사길 47,마을버스 4번 종점
강북구,lamp_battery,오패산로60길 17-7,신구아파트
강북구,lamp_battery,오패산로60길 21,한일아파트
강북구,lamp_battery,오패산로60길 22,신일해피트리아파트
강북구,lamp_battery,도봉로 290,푸르지오시티
강북구,lamp_battery,월계로21가길 41,한일아파트 101동 앞
강북구,lamp_battery,월계로21가길 41,한일아파트 105동 앞
강북구,lamp_battery,월계로21가길 41,한일아파트 107동 앞
강북구,lamp_battery,월계로21길 20,꿈동산 마을마당 앞
강북구,lamp_battery,오현로6길 106,송중동 빗물펌프장 앞
강북구,lamp_battery,오패산로30길 30,경남아파트 관리사무소 앞
강북구,lamp_battery,오패산로30길 30,경남아파트 101동 앞
강북구,lamp_battery,오패산로30길 30,경남아파트 104동 앞
강북구,lamp_battery,오패산로30길 30,경남아파트 105동 앞
강북구,lamp_battery,오패산로30길 30,경남아파트 106동 앞
강북구,lamp_battery,오패산로30길 30,경남아파트 107동 앞
강북구,lamp_battery,오패산로30길 30,경남아파트 109동 앞
강북구,lamp_battery,오패산로30길 30,경남아파트 110동 앞
강북구,lamp_battery,오현로 56,꿈의숲롯데캐슬 108동 앞
강북구,lamp_battery,오현로 56,꿈의숲롯데캐슬 ㅇㅇㅇ동 앞
강북구,lamp_battery,오현로 56,꿈의숲롯데캐슬 ㅇㅇㅇ동 앞
강북구,lamp_battery,오현로 56,꿈의숲롯데캐슬 ㅇㅇㅇ동 앞
강북구,lamp_battery,오패산로 162,송중동 주민센터
강북구,lamp_battery,도봉로20나길 6,송중문화정보도서관(송중동 자치회관)
강북구,lamp_battery,도봉로28길 56,사고파 슈퍼마켓 앞
강북구,lamp_battery,도봉로34길 54,오패산 공영주차장 앞
강북구,lamp_battery,도봉로38길 60,현대빌라
강북구,lamp_battery,오패산로 257,현대아파트
강북구,lamp_battery,오패산로 260,대성빌라
강북구,lamp_battery,삼양로 184,농협(유유빌딩 안쪽)
강북구,lamp_battery,삼양로 230-12,냉천길 공영주차장
강북구,lamp_battery,삼양로54길 68,청소년문화정보도서관 입구 옆도로쪽
강북구,lamp_battery,도봉로 157,두원사우나옆 골목안
강북구,lamp_battery,도봉로33길 18,성북프라자 재활용 수거 장소
강북구,lamp_battery,솔샘로65길 19,솔샘어린이공원
강북구,lamp_battery,도봉로27길 90,송천동 자치회관
강북구,lamp_battery,솔샘로64길 38,숭인시장
강북구,lamp_battery,숭인로 39,송천센트레빌 201동
강북구,lamp_battery,숭인로 39,송천센트레빌 202동
강북구,lamp_battery,숭인로 39,송천센트레빌 203동
강북구,lamp_battery,숭인로 39,송천센트레빌 204동
강북구,lamp_battery,숭인로7가길 37,동부센트레빌 재활용 분리수거장소
강북구,lamp_battery,숭인로7나길 23,송천동공영주차장 옆
강북구,lamp_battery,삼양로16길 25,숭인경로당 옆
강북구,lamp_battery,삼양로24길,현대성우아파트 재활용 분리수거장소
강북구,lamp_battery,솔샘로 284,송천동주민센터 건물 옆
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 상가
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 104 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 107 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 108 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 112 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 118 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 120 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 121 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 124 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 129 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 132 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 133 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 135 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 137 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 139 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 146 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 147 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 148 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 149 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 151 동앞
강북구,lamp_battery,솔샘로 174,sk북한산시티아파트 153 동 측벽
강북구,lamp_battery,삼양로19길 113,삼각산아이원 아파트 102 동앞
강북구,lamp_battery,삼양로19길 113,삼각산아이원 아파트 105 동앞
강북구,lamp_battery,삼양로19길 113,삼각산아이원 아파트 109 동앞
강북구,lamp_battery,삼양로19길 113,삼각산아이원 아파트 111 동앞
강북구,lamp_battery,삼양로19길 113,삼각산아이원 아파트 113 동앞
강북구,lamp_battery,삼양로19길 113,삼각산아이원 아파트 115 동앞
강북구,lamp_battery,삼양로19길 113,삼각산아이원 아파트 118 동앞
강북구,lamp_battery,삼양로19길 113,삼각산아이원 아파트 120 동앞
강북구,lamp_battery,삼양로19길 113,삼각산아이원 아파트 121 동앞
강북구,lamp_battery,삼양로19길 114,삼각산아이원 아파트 122 동앞
강북구,lamp_battery,삼양로27길 15,삼성래미안트리베라1차아파트 101 동앞
강북구,lamp_battery,삼양로27길 15,삼성래미안트리베라1차아파트 103 동앞
