district,type,location,etc
마포구,lamp_battery,공덕동 만리재옛길84,
마포구,lamp_battery,공덕동 마포대로14가길22,
마포구,lamp_battery,공덕동 환일길7,
마포구,lamp_battery,공덕동 환일길30,
마포구,lamp_battery,공덕동 손기정로6길3,
마포구,lamp_battery,공덕동 마포대로16나길30,
마포구,lamp_battery,공덕동 마포대로14길25,
마포구,lamp_battery,공덕동 만리재옛길68-3,
마포구,lamp_battery,공덕동 만리재로16길20-5,
마포구,lamp_battery,공덕동 환일길42,
마포구,lamp_battery,아현동 마포대로7길18,
마포구,lamp_battery,도화동 마포대로4길18,
마포구,lamp_battery,도화동 새창로4길12,
마포구,lamp_battery,도화동 도화길 37,
마포구,lamp_battery,도화동 새창로4길9,
마포구,lamp_battery,도화동 새창로6다길18,
마포구,lamp_battery,도화동 마포대로4나길50,
마포구,lamp_battery,도화동 마포대로4다길27,
마포구,lamp_battery,도화동 도화4길53,
마포구,lamp_battery,도화동 마포대로4라길40,
마포구,lamp_battery,용강동 용강동 381,
마포구,lamp_battery,용강동 토정로31길31,
마포구,lamp_battery,용강동 마포대로46,
마포구,lamp_battery,용강동 대흥로4길22옆,
마포구,lamp_battery,대흥동 신촌로26길10,
마포구,lamp_battery,대흥동 고산길54,
마포구,lamp_battery,대흥동 고산2길34-67,
마포구,lamp_battery,대흥동 고산2길50,
마포구,lamp_battery,대흥동 백범로4길21,
마포구,lamp_battery,대흥동 백범로18,
마포구,lamp_battery,대흥동 백범로10길22,
마포구,lamp_battery,대흥동 대흥로110,
마포구,lamp_battery,대흥동 백범로17길7,
마포구,lamp_battery,대흥동 대흥로145,
마포구,lamp_battery,대흥동 고산16길49,
마포구,lamp_battery,대흥동 고산18길13,
마포구,lamp_battery,대흥동 신촌로26길10,
마포구,lamp_battery,염리동 숭문길14,
마포구,lamp_battery,신수동 독막로192,
마포구,lamp_battery,신수동 신수로102,
마포구,lamp_battery,신수동 대흥로9안길21,
마포구,lamp_battery,신수동 신수로3길3-13,
마포구,lamp_battery,신수동 독막로29길30,
마포구,lamp_battery,신수동 신수로25-12,
마포구,lamp_battery,신수동 독막로28길46,
마포구,lamp_battery,서강동 와우산로13,
마포구,lamp_battery,서강동 서강로68,
마포구,lamp_battery,서강동 와우산로30길54,
마포구,lamp_battery,서강동 와우산로30길135,
마포구,lamp_battery,서강동 서강로 97,
마포구,lamp_battery,서강동 와우산로 105-2,
마포구,lamp_battery,서강동 독막로107,
마포구,lamp_battery,서교동 월드컵로 64,
마포구,lamp_battery,서교동 월드컵로 74,
마포구,lamp_battery,서교동 월드컵로10길56,
마포구,lamp_battery,서교동 동교로120,
마포구,lamp_battery,서교동 잔다리로7안길14,
마포구,lamp_battery,서교동 양화로11길21,
마포구,lamp_battery,서교동 어울마당로51-1,
마포구,lamp_battery,서교동 양화로156,
