district,type,location,etc
강서구,lamp_battery,양천로67가길 63 염창동주민센터,관리부서 : 자원순환과
강서구,lamp_battery,공항대로75길 42 대림아파트 뒤편 벽면,관리부서 : 자원순환과
강서구,lamp_battery,양천로77길 21,관리부서 : 자원순환과
강서구,lamp_battery,공항대로 615,관리부서 : 자원순환과
강서구,lamp_battery,염창감리교회,관리부서 : 자원순환과
강서구,lamp_battery,공항대로53가길 55 등촌1동주민센터,관리부서 : 자원순환과
강서구,lamp_battery,공항대로53가길 10 건너편 벽,관리부서 : 자원순환과
강서구,lamp_battery,등촌로 143 등촌2동 주민센터 뒤편,관리부서 : 자원순환과
강서구,lamp_battery,등촌로39마길 3 능안경로당 입구,관리부서 : 자원순환과
강서구,lamp_battery,화곡로63길 96 등촌3동 주민센터,관리부서 : 자원순환과
강서구,lamp_battery,노을공원,관리부서 : 자원순환과
강서구,lamp_battery,까치산로 59 국민은행 주차장 담,관리부서 : 자원순환과
강서구,lamp_battery,초록마을로5길 29 화곡본동주민센터,관리부서 : 자원순환과
강서구,lamp_battery,곰달래로 79 화곡1동주민센터 뒤편 주차장,관리부서 : 자원순환과
강서구,lamp_battery,강서로31길 48 신월초등학교 담,관리부서 : 자원순환과
강서구,lamp_battery,호돌이공원 입구,관리부서 : 자원순환과
강서구,lamp_battery,강서로15길 47 옆 공원 앞,관리부서 : 자원순환과
강서구,lamp_battery,월정로30길 96 화곡보건분소,관리부서 : 자원순환과
강서구,lamp_battery,화곡2동 주민센터 주차장,관리부서 : 자원순환과
강서구,lamp_battery,강서로33가길 17 화곡3동주민센터 옆,관리부서 : 자원순환과
강서구,lamp_battery,화곡로15길 18 수명공원 입구 옆,관리부서 : 자원순환과
강서구,lamp_battery,화곡동 1008-32 미리내공원 후문쪽 삼거리,관리부서 : 자원순환과
강서구,lamp_battery,곰달래로57가길 26 화곡4동주민센터,관리부서 : 자원순환과
강서구,lamp_battery,곰달래로53길 133 능골공원,관리부서 : 자원순환과
강서구,lamp_battery,화곡로 302 강서구청,관리부서 : 자원순환과
강서구,lamp_battery,화곡로 312 화곡6동 주민센터 옆,관리부서 : 자원순환과
강서구,lamp_battery,곰달래로25길 45 화곡8동 주민센터,관리부서 : 자원순환과
강서구,lamp_battery,초록마을로34길 43 삼거리 인근,관리부서 : 자원순환과
강서구,lamp_battery,우현로 67 강서힐스테이트 담(화곡로39길 30 맞은편),관리부서 : 자원순환과
강서구,lamp_battery,우장산로2길 72 맞은편 내발산초등학교 담장,관리부서 : 자원순환과
강서구,lamp_battery,강서로47길 54 발산1동 주민센터,관리부서 : 자원순환과
강서구,lamp_battery,강서로47나길 39 낙원아파트 담,관리부서 : 자원순환과
강서구,lamp_battery,허준로 30 가양1동 주민센터,관리부서 : 자원순환과
강서구,lamp_battery,허준로 93 가양2동 주민센터(주차장 뒤편),관리부서 : 자원순환과
강서구,lamp_battery,허준로 202 가양3동주민센터 주차장 입구 맞으편 담,관리부서 : 자원순환과
강서구,lamp_battery,송정로 45 공항동 주민센터,관리부서 : 자원순환과
강서구,lamp_battery,방화대로 241 공항중학교 담,관리부서 : 자원순환과
강서구,lamp_battery,공항동 다솔어린이공원,관리부서 : 자원순환과
강서구,lamp_battery,장미공원,관리부서 : 자원순환과
강서구,lamp_battery,방화대로 330 방화1동 주민센터 주차장,관리부서 : 자원순환과
강서구,lamp_battery,초원로16길 3-6 담,관리부서 : 자원순환과
강서구,lamp_battery,개화동로23길 26 방화2동경로당 담장,관리부서 : 자원순환과
강서구,lamp_battery,개화동로13길 12-8 내촌경로당,관리부서 : 자원순환과
강서구,lamp_battery,개화동로5길 9-35 신대부석어린이공원,관리부서 : 자원순환과
강서구,lamp_battery,방화3동 주민센터 옆,관리부서 : 자원순환과
