district,type,location,etc
관악구,lamp_battery,봉천로 279-8 보라매동주민센터,
관악구,lamp_battery,봉천로13길 101 연희빌라 정문앞 ,
관악구,lamp_battery,봉천로13나길 15 성도연립 입구 옆,
관악구,lamp_battery,봉천로 13다길 8 적성빌라,
관악구,lamp_battery,보라매로3길 29 해태보라매타워 주차장 입구,
관악구,lamp_battery,보라매로 62 보라매삼성아파트 105동 앞,
관악구,lamp_battery,보라매로 62 보라매삼성아파트 103동 앞,
관악구,lamp_battery,보라매로 62 보라매삼성아파트 101동 앞,
관악구,lamp_battery,보라매로 62 보라매삼성아파트 107동 앞,
관악구,lamp_battery,보라매로6길 33 해바라기아파트,
관악구,lamp_battery,봉천로23다길 33 그린아파트,
관악구,lamp_battery,은천로5길 39 복권아파트,
관악구,lamp_battery,봉천로 279-8 보라매동주민센터,
관악구,lamp_battery,양녕로 31 두산아파트 301동,
관악구,lamp_battery,봉천로33나길 30 은천동주민센터 주차장,
관악구,lamp_battery,국회단지4길 4 은천동자치회관헬스장,
관악구,lamp_battery,국회단지21길 14 국지경로당,
관악구,lamp_battery,은천로15길 24 벽산블루밍 3차 605동,
관악구,lamp_battery,은천로15길 24 벽산블루밍 3차 604동,
관악구,lamp_battery,은천로15길 24 벽산블루밍 3차 601동,
관악구,lamp_battery,국회단지4길 4 은천동자치회관헬스장,
관악구,lamp_battery,봉천로33나길 30 은천동주민센터 주차장,
관악구,lamp_battery,관악로 285 성현동아아파트 관리사무소,
관악구,lamp_battery,관악로 285 성현동아아파트 110동,
관악구,lamp_battery,성현로 80 관악드림타운 115동,
관악구,lamp_battery,은천로33길 5 동부센트레빌아파트 106동 지하입구,
관악구,lamp_battery,구암5가길 32 덕산빌라 옆,
관악구,lamp_battery,은천로35길 40 전주 옆,
관악구,lamp_battery,구암길 38 성현동 주민센터,
관악구,lamp_battery,관악로 255-7 자치회관 후문,
관악구,lamp_battery,은천로33길 5 관악동부센트레빌아파트 103동 뒤 분리수거장,
관악구,lamp_battery,관악로 285 성현동아아파트 103동,
관악구,lamp_battery,구암길 106 관악드림타운 145동,
관악구,lamp_battery,성현로 80 관악드림타운 144동,
관악구,lamp_battery,성현로 80 관악드림타운 121동,
관악구,lamp_battery,성현로 80 관악드림타운 105동,
관악구,lamp_battery,성현로 80 관악드림타운 102동,
관악구,lamp_battery,관악로 285 성현동아아파트 105동,
관악구,lamp_battery,관악로37길 15 동아타운 21,
관악구,lamp_battery,성현로 80 관악드림타운 123동,
관악구,lamp_battery,양녕로16길 53 ,
관악구,lamp_battery,구암길 106 관악드림타운 149동,
관악구,lamp_battery,성현로 80 관악드림타운 140동,
관악구,lamp_battery,성현로 80 관악드림타운 127동,
관악구,lamp_battery,성현로 80 관악드림타운 126동,
관악구,lamp_battery,성현로 80 관악드림타운경로당 뒤쪽,
관악구,lamp_battery,성현로 80 관악드림타운 106동,
관악구,lamp_battery,성현로 80 관악드림타운 101동,
관악구,lamp_battery,은천로33길 5 관악 동부 센트레빌 102동,
관악구,lamp_battery,관악로 285 성현동아아파트 관리사무소,
관악구,lamp_battery,관악로37길 20 봉천동아아파트 201동 앞,
관악구,lamp_battery,관악로37길 20 봉천동아아파트 202동 앞,
관악구,lamp_battery,은천로 137 관악 한일유액아이아파트 청소장,
관악구,lamp_battery,구암길 106 관악드림타운 148동,
관악구,lamp_battery,성현로 80 관악드림타운 113동,
관악구,lamp_battery,성현로 80 관악드림타운 136동,
관악구,lamp_battery,성현로 80 관악드림타운 142동,
관악구,lamp_battery,성현로 80 관악드림타운 117동,
관악구,lamp_battery,성현로 80 관악드림타운 107동,
관악구,lamp_battery,관악로 285 성현동아아파트 108동 지하계단 내려가는 길,
관악구,lamp_battery,관악로 285 봉천동아아파트 109동,
관악구,lamp_battery,관악로 263 관악브라운스톤 지하주차장 입구,
관악구,lamp_battery,관악로 255-7 자치회관 입구,
관악구,lamp_battery,양녕로6나길 18 신봉아파트 정문 왼쪽,
관악구,lamp_battery,은천로 34길 24 에메랄드아파트 주변,
관악구,lamp_battery,양녕로 6다길 7 중앙동주민센터,
관악구,lamp_battery,은천로 174 중앙동성당 주차장 오른쪽,
관악구,lamp_battery,양녕로6나길 18 신봉아파트 정문 왼쪽,
관악구,lamp_battery,관악로30길 27 관악푸르지오아파트 119동,
관악구,lamp_battery,관악로30길 27 관악푸르지오아파트 107동,
관악구,lamp_battery,관악로 304 관악현대아파트 113동,
관악구,lamp_battery,관악로40길 39 청림동 주민센터,
관악구,lamp_battery,관악로 304 관악현대아파트 109동,
관악구,lamp_battery,관악로 304 관악현대아파트 116동,
관악구,lamp_battery,관악로40길 39  청림동 주민센터,
관악구,lamp_battery,관악로30길 12 봉천우성아파트 104동,
관악구,lamp_battery,행운1길 43 행운동주민센터,
관악구,lamp_battery,관악로30길 12 봉천우성아파트 109동 임대,
관악구,lamp_battery,관악로30길 12 봉천우성아파트 106동,
관악구,lamp_battery,행운9길 34 행운동 경로당,
관악구,lamp_battery,청룡15길 30 관악그린빌라,
관악구,lamp_battery,관악로5길 42 갑을아파트 지하 주차장 입구,
관악구,lamp_battery,장군봉7길 12 비안 어린이공원,
관악구,lamp_battery,쑥고개로 44 청룡동주민센터 입구,
관악구,lamp_battery,쑥고개로 44 청룡동주민센터 지하주차장,
관악구,lamp_battery,청룡동 1531-41 장군봉 근린공원 입구,
관악구,lamp_battery,쑥고개로 44 청룡동주민센터 입구,
관악구,lamp_battery,청룡9길 12-39 청룡동 자치회관 입구,
관악구,lamp_battery,낙성대로 37 낙성대현대아파트 관리사무소,
관악구,lamp_battery,관악로 1 서울대가족생활관 933동 관리사무실,
관악구,lamp_battery,낙성대로 101 과학전시관,
관악구,lamp_battery,낙성대동 1510 탑골어린이공원 앞,
관악구,lamp_battery,봉천로 576 동아타운아파트 관리사무소,
관악구,lamp_battery,낙성대로4가길 5 낙성대동주민센터,
관악구,lamp_battery,인헌12길 46-1 은천2단지아파트 주차장,
관악구,lamp_battery,남부순환로246가길 20 인헌동 주민센터 주차장,
관악구,lamp_battery,인헌16길 70  반석아파트 건너편,
관악구,lamp_battery,남부순환로246가길 20 인헌동 주민센터 주차장,
관악구,lamp_battery,인헌12길 46-1 은천2단지 아파트 주차장,
관악구,lamp_battery,봉천로 611-1 동방전기철물,
관악구,lamp_battery,인헌1다길 25 ,
관악구,lamp_battery,"인헌9길 35 인헌중, 인헌고 사이 도로",
관악구,lamp_battery,인헌21길 5 ,
관악구,lamp_battery,남부순환로248길 56 낙성대현대아파트 101동,
관악구,lamp_battery,남부순환로248길 56 낙성대현대아파트 102동,
관악구,lamp_battery,인헌12길 46-2 은천1단지아파트 경비실,
관악구,lamp_battery,"인헌9길 35 인헌중, 별관",
관악구,lamp_battery,남현길 63 상록보육원 내,
관악구,lamp_battery,승방6길 5 ,
관악구,lamp_battery,남현1가길 29 남현동주민센터 앞,
관악구,lamp_battery,승방1길 2 굿마트 옆,
관악구,lamp_battery,남현길 144 흥화브라운빌아파트 내,
관악구,lamp_battery,남현1가길 29 남현동주민센터 앞,
관악구,lamp_battery,신림동길 14 신림동 주민센터,
관악구,lamp_battery,신림동길 14 신림동 주민센터,
관악구,lamp_battery,관천로 24길 3 보라매갑을아파트,
관악구,lamp_battery,관천로27길 2 우방아파트 단지내,
관악구,lamp_battery,조원로 151-1 신사동 자치회관,
관악구,lamp_battery,신사로 142 신사동주민센터,
관악구,lamp_battery,신사로 142 신사동주민센터,
관악구,lamp_battery,관천로27길 2 우방아파트 단지내,
관악구,lamp_battery,조원로11길 24 조원아파트,
관악구,lamp_battery,조원로13길 15 현대아파트,
관악구,lamp_battery,조원로14길 16 윤정아파트,
관악구,lamp_battery,조원로2길 13 미성아파트,
관악구,lamp_battery,조원로16길 27 신림중앙시장,
관악구,lamp_battery,조원로16길 7 신도브레뉴아파트,
관악구,lamp_battery,조원로12길 25 조원동주민센터,
관악구,lamp_battery,조원로13길 36 제창그로힐아파트,
관악구,lamp_battery,조원로12길 25 조원동주민센터,
