district,type,location,etc
광진구,lamp_battery,서울특별시 광진구 아차산로 549  광장현대파크빌,
광진구,lamp_battery,서울특별시 광진구 아차산로78길 75 골든텔오피스텔,
광진구,lamp_battery,서울특별시 광진구 아차산로 637 워커힐,전기실
광진구,lamp_battery,서울특별시 광진구 아차산로78가길 31  연세리버빌,
광진구,lamp_battery,서울특별시 광진구 아차산로 552 극동1차,
광진구,lamp_battery,서울특별시 광진구 아차산로 552 극동2차,
광진구,lamp_battery,광진구 천호대로143길 8-8 오일뱅크 뒤,
광진구,lamp_battery,서울특별시 광진구 아차산로53길 82 동주민센터,
광진구,lamp_battery,서울특별시 광진구 아차산로 599 신동아파밀리에,
광진구,lamp_battery,서울특별시 광진구 광장로3길 18-13 유천빌라,
광진구,lamp_battery,서울특별시 광진구 광장로3길 22 미도빌라,
광진구,lamp_battery,서울특별시 광진구 광장로9길 6 극동빌라,
광진구,lamp_battery,서울특별시 광진구 아차산로 628 ,
광진구,lamp_battery,서울특별시 광진구 광장로7길 31 현대빌라트,
광진구,lamp_battery,서울특별시 광진구 광장로1다길 2 현대빌라,
광진구,lamp_battery,서울특별시 광진구 광장로1다길 12-3  경동빌라,
광진구,lamp_battery,서울특별시 광진구 아차산로 546 삼성2차,
광진구,lamp_battery,서울특별시 광진구 워커힐길32 양진초등학교,
광진구,lamp_battery,서울특별시 광진구 아차산로70길 62 광장현대3단지(1),
광진구,lamp_battery,서울특별시 광진구 아차산로70길 62 광장현대3단지(2),경로당 앞
광진구,lamp_battery,서울특별시 광진구 광나루로 585 이노빌,
광진구,lamp_battery,서울특별시 광진구 아차산로70길 61 광장현대5단지,경로당 옆
광진구,lamp_battery,서울특별시 광진구 아차산로70길 17-16 광남고등학교,
광진구,lamp_battery,서울특별시 광진구 아차산로70길 17-16 광남중학교,
광진구,lamp_battery,서울특별시 광진구 아차산로 522 광장현대8단지(1),
광진구,lamp_battery,서울특별시 광진구 아차산로 522 광장현대8단지(2),
광진구,lamp_battery,서울특별시 광진구 아차산로78길 161 광나루현대(1),
광진구,lamp_battery,서울특별시 광진구 아차산로78길 161 광나루현대(2),
광진구,lamp_battery,서울특별시 광진구 아차산로 540 상록타워,
