district,type,location,etc
동작구,lamp_battery,노량진로 148 동작경찰서,
동작구,lamp_battery,매봉로 158 극동강변(아) 지하주차장,
동작구,lamp_battery,만양로 14바길 24 한강하이츠빌라 1동 앞,
동작구,lamp_battery,만양로8길 50 우성(아) 관리실,
동작구,lamp_battery,만양로8길 50 우성(아) 102동,
동작구,lamp_battery,만양로8길 50 우성(아) 106동,
동작구,lamp_battery,만양로8길 50 우성(아) 107동,
동작구,lamp_battery,만양로 19 신동아(아) 101동,
동작구,lamp_battery,만양로 19 신동아(아) 103동,
동작구,lamp_battery,만양로 19 신동아(아) 703동,
동작구,lamp_battery,만양로 19 신동아(아) 706동,
동작구,lamp_battery,만양로 19 신동아리버파크 임대 관리사무소 앞,
동작구,lamp_battery,만양로 36 형인한강아파트,
동작구,lamp_battery,"만양로 84 삼익(아) 쓰레기장 1,삼익프라자 1",
동작구,lamp_battery,장승배기로16길 134 쌍용예가아파트,
동작구,lamp_battery,만양로12가길 69 영본초등학교 재활용분리수거장 옆,
동작구,lamp_battery,노량진로 24길 2 한강쌍용(아) 관리실 뒤,
동작구,lamp_battery,매봉로134 신동아(아) 본동 2동,
동작구,lamp_battery,매봉로134 신동아(아) 본동 7동,
동작구,lamp_battery,매봉로134 신동아(아) 본동 8동(상가 앞),
동작구,lamp_battery,노량진로23가길 16 유원(아) 정문 앞,
동작구,lamp_battery,노량진로23가길 16 유원(아) 후문 앞,
동작구,lamp_battery,매봉로 99 한신휴플러스(아) 101동앞,
동작구,lamp_battery,매봉로 99 한신휴플러스(아) 105동,
동작구,lamp_battery,노량진로22길 60 본동SH빌 쓰레기장,
동작구,lamp_battery,장승배기로 160 노량진초등학교,
동작구,lamp_battery,매봉로 123 본동 삼성래미안 103동,
동작구,lamp_battery,매봉로 123 본동 삼성래미안 104동,
동작구,lamp_battery,매봉로 123 본동 삼성래미안 106동,
동작구,lamp_battery,노량진로23가길 23 래미안트윈파크아파트 102동,
동작구,lamp_battery,노량진로23가길 23 래미안트윈파크아파트 104동,
동작구,lamp_battery,노량진로26길 16-40 본동초등학교,
동작구,lamp_battery,장승배기로 28길 30 노량진1동주민센터,
동작구,lamp_battery,만양로 26 건영아파트 101~103동,
동작구,lamp_battery,만양로 26 건영아파트 104동 1~2라인,
동작구,lamp_battery,만양로 26 건영아파트 105동,
동작구,lamp_battery,장승배기로18길 27 노량진맨션아파트,
동작구,lamp_battery,장승배기로19길 48  노량진2동 주민센터,
동작구,lamp_battery,장승배기로 161 동작구청,
동작구,lamp_battery,등용로4길 76 노량진2동 재활용정거장,
동작구,lamp_battery,상도로 68길 32 명아아트빌라 앞,
동작구,lamp_battery,사당로2길 2-19 상현중학교,
동작구,lamp_battery,상도로 407 삼호(아) 101동,
동작구,lamp_battery,상도로 407 삼호(아) 102동,
동작구,lamp_battery,상도로 407 삼호(아) 104동,
동작구,lamp_battery,상도로 407 삼호(아) 105동,
동작구,lamp_battery,상도로 421 관악현대(아) 201동 앞,
동작구,lamp_battery,상도로60길 20 대림아파트 102동 ,
동작구,lamp_battery,사당로2길 2-32 상도현대(아) 102동 ,
동작구,lamp_battery,상도로 320 중앙하이츠빌 103동,
동작구,lamp_battery,상도로 320 중앙하이츠빌 105동,
동작구,lamp_battery,상도로 320 중앙하이츠빌 107동,
동작구,lamp_battery,상도로 320 중앙하이츠빌 109동,
동작구,lamp_battery,양녕로 287 대우유로카우티 101동 ,
동작구,lamp_battery,상도로55길 47 삼성래미안2차(아) 202동,
동작구,lamp_battery,상도로55길 47 삼성래미안2차(아) 206동,
동작구,lamp_battery,상도로53길 70 상도sh빌(아) 201동,
동작구,lamp_battery,상도로53길 70 상도sh빌(아) 202동,
동작구,lamp_battery,상도로53길 70 상도sh빌(아) 203동,
동작구,lamp_battery,상도로53길 70 상도sh빌(아) 204동,
동작구,lamp_battery,상도로53길 8 삼성래미안3차(아) 303동,
동작구,lamp_battery,상도로53길 8 삼성래미안3차(아) 307동,
동작구,lamp_battery,상도로53길 8 삼성래미안3차(아) 310동,
동작구,lamp_battery,상도로53길 8 삼성래미안3차(아) 312동,
동작구,lamp_battery,상도로53길 8 삼성래미안3차(아) 319동,
동작구,lamp_battery,상도로53길 8 삼성래미안3차(아) 321동,
동작구,lamp_battery,상도로53길 8 삼성래미안3차(아) 323동,
동작구,lamp_battery,상도로53길 8 삼성래미안3차(아) 327동,
동작구,lamp_battery,상도로53길 9 상도1동주민센터,
동작구,lamp_battery,상도로41가길 3 상도종합사회복지관 입구,
동작구,lamp_battery,상도로47바길 40 상도패리스(아) 102동 ,
동작구,lamp_battery,강남초등길15 강남초등학교,
동작구,lamp_battery,강남초등길3 절고개어린이공원,
동작구,lamp_battery,상도로55길 25 삼환나우빌(아) 101동 ,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크101동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크102동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크103동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크104동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크106동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크107동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크108동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크109동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크110동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크113동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크114동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크115동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크116동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크118동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크121동,
동작구,lamp_battery,상도로 346-1 상도엠코센트럴파크122동,
동작구,lamp_battery,상도로 346-2 상도엠코타운애스톤파크,
동작구,lamp_battery,양녕로 259 남산기전 부근,
동작구,lamp_battery,장승배기로10길 100 상도더샵2차(아) 201동 ,
동작구,lamp_battery,장승배기로10길 100 상도더샵2차(아) 204동 분리수거장,
동작구,lamp_battery,장승배기로10가길 25 장승중학교,
동작구,lamp_battery,장승배기로11가길 11 상도파크자이 아파트 101동,
동작구,lamp_battery,장승배기로11가길 11 상도파크자이 아파트 103동,
동작구,lamp_battery,장승배기로11가길 11 상도파크자이 아파트 106동,
동작구,lamp_battery,만양로 26 건영아파트 102,
동작구,lamp_battery,상도로211 상도2동 주민센터 앞,
동작구,lamp_battery,상도로30길 73 낙원경로당 앞,
동작구,lamp_battery,상도로15길 131 상도휴엔하임,
동작구,lamp_battery,상도로15바길 5 동작청소년문화의집,
동작구,lamp_battery,장승배기로 26 아이파크(아) 105동 앞,
동작구,lamp_battery,장승배기로 26 아이파크(아) 106동 앞,
동작구,lamp_battery,등용로 37 삼성래미안1차(아) 101동 뒤,
동작구,lamp_battery,등용로 37 삼성래미안1차(아) 103동 앞,
동작구,lamp_battery,등용로 37 삼성래미안1차(아) 105동 앞,
동작구,lamp_battery,등용로 37 삼성래미안1차(아) 106동 앞,
동작구,lamp_battery,등용로 37 삼성래미안1차(아) 108동 앞,
동작구,lamp_battery,장승배기로4길 9 상도더샵(아) 105동 앞,
동작구,lamp_battery,장승배기로4길 9 상도더샵(아) 109동 앞,
동작구,lamp_battery,장승배기로4길 9 상도더샵(아) 112동 앞,
동작구,lamp_battery,장승배기로4길 9 상도더샵(아) 117동 앞,
동작구,lamp_battery,상도로31길 19 브라운스톤(아) 101동 앞,
동작구,lamp_battery,상도로31길 19 브라운스톤(아) 104동 앞,
동작구,lamp_battery,상도로31길 19 브라운스톤(아) 관리사무소(107동) 앞,
동작구,lamp_battery,상도로34길 42 동원베네스트(아) 104동 앞,
동작구,lamp_battery,상도로30길 40 두산위브2차(아)202동 앞,
동작구,lamp_battery,상도로30길 40 두산위브2차(아)203동 옆,
동작구,lamp_battery,상도로30길 40 두산위브2차(아)206동 앞,
동작구,lamp_battery,상도로207 효성해링턴(아)102동 앞,
동작구,lamp_battery,장승배기로 14 신상도초등학교 후문,
동작구,lamp_battery,상도로34나길 12 청원가든빌라,
동작구,lamp_battery,상도로30길 39 상도두산위브1차(아) 102동 앞,
동작구,lamp_battery,상도로30길 39 상도두산위브1차(아) 104동 옆,
동작구,lamp_battery,만양로 6 상도 e편한세상노빌리티(아) 101동 앞,
동작구,lamp_battery,만양로 6 상도 e편한세상노빌리티(아) 102동 앞,
