district,type,location,etc
성동구,lamp_battery,도선동 173(무학로6길 21),대한불교진각종
성동구,lamp_battery,홍익동 369(무학로8길 8),도선동공영주차장 
성동구,lamp_battery,성동구 고산자로 164,행당한신휴플러스 아파트 경비실 옆(
성동구,lamp_battery,성동구 고산자로2길 65,서울숲 리버뷰자이 아파트 동별
성동구,lamp_battery,성동구 왕십리로 280,행당삼부 아파트 102동 앞
성동구,lamp_battery,성동구 고산자로 14길 40,행당두산아파트 경비실 옆
성동구,lamp_battery,성동구 고산자로 10길 18,행당제1동주민센터 주차장 앞
성동구,lamp_battery,성동구 고산자로 8다길 30,행당어린이공원 공중화장실 맞은편
성동구,lamp_battery,성동구 왕십리광장로 9,성동경찰서 주차장 좌측
성동구,lamp_battery,성동구 행당로9길 9,행당제2동 주민센터
성동구,lamp_battery,성동구 고산자로 177,서울숲행당푸르지오아파트
성동구,lamp_battery,성동구 행당로 79,행당대림아파트
성동구,lamp_battery,성동구 행당로8길 8,행당두산위브아파트
성동구,lamp_battery,성동구 행당로 99,행당브라운스톤아파트
성동구,lamp_battery,성동구 독서당로 441,행당신동아아파트
성동구,lamp_battery,성동구 행당로82,행당한진타운아파트
성동구,lamp_battery,성동구 고산자로 177,서울숲행당푸르지오아파트
성동구,lamp_battery,성동구 행당로8길 8,행당두산위브아파트
성동구,lamp_battery,성동구 행당로 79,행당대림아파트
성동구,lamp_battery,성동구 행당로 82,행당한진타운아파트
성동구,lamp_battery,서울특별시 성동구 독서당로 424,응봉동주민센터 주민센터
성동구,lamp_battery,행당로15 금호1가동 주민센터,주민센터
성동구,lamp_battery,행당로5길 8,주택가
성동구,lamp_battery,독서당로55길 86,주택가
성동구,lamp_battery,금호로100 벽산아파트,공동주택
성동구,lamp_battery,금호로140 이편한 파크자이 아파트,공동주택
성동구,lamp_battery,독서당로343 금호삼성레미안아파트,공동주택
성동구,lamp_battery,행당로31 금호두산위브아파트,공동주택
성동구,lamp_battery,무수막18길 1,금호2-3가동 주민센터 앞
성동구,lamp_battery,금호로13길 28,금호빌라 앞
성동구,lamp_battery,금호산길 16,태광크리닝 건너편 버스정류장 앞
성동구,lamp_battery,금호산2길 53,두모갓교회 앞
성동구,lamp_battery,금호산2길 16,구립금호3동 경로당 앞
성동구,lamp_battery,독서당로46길 26 주민센터,공공기관
성동구,lamp_battery,동호로2길 18-1,주택가
성동구,lamp_battery,매봉길 24 브라운스톤1차 적치장,공동주택
성동구,lamp_battery,동호로 93 브라운스톤2차 적치장,공동주택
성동구,lamp_battery,동호로 84 롯데 아파트 관리사무소 ,공동주택
성동구,lamp_battery,금호로 17 푸르지오2차 임대 관리사무소,공동주택
성동구,lamp_battery,금호로 17 푸르지오2차 202동 적치장 ,공동주택
성동구,lamp_battery,금호로 17 푸르지오2차 204동 적치장,공동주택
성동구,lamp_battery,금호로 15 푸르지오1차 118동 적치장,공동주택
성동구,lamp_battery,금호로 15 푸르지오1차 105동 적치장,공동주택
성동구,lamp_battery,금호로 15 푸르지오1차 103동 적치장,공동주택
성동구,lamp_battery,금호로 40 힐스테이트 105동 적치장,공동주택
성동구,lamp_battery,금호로 40 힐스테이트 101동 적치장,공동주택
성동구,lamp_battery,금호로 40 힐스테이트 102동 적치장,공동주택
성동구,lamp_battery,금호로 40 힐스테이트 103동 적치장,공동주택
성동구,lamp_battery,금호로3길 10 삼산아파트 관리사무소,공동주택
성동구,lamp_battery,뚝섬로5길 17(금호베스트빌아파트),공동주택
성동구,lamp_battery,둘레길 21(동양메이져아파트),공동주택
성동구,lamp_battery,왕십리로 26(강변건영아파트),공동주택
성동구,lamp_battery,뚝섬로 310(한진타운아파트),공동주택
성동구,lamp_battery,뚝섬로 311(대림로즈빌아파트 104동 뒤),공동주택
성동구,lamp_battery,뚝섬로 4(대림로즈빌아파트 105동 앞),공동주택
성동구,lamp_battery,왕십리로 66-15(장미아파트),공동주택
성동구,lamp_battery,왕십리로 80(동아아파트),공동주택
성동구,lamp_battery,뚝섬로3길 18(성수1가제1동주민센터),주민센터
성동구,lamp_battery,왕십리로5길 5-1,
성동구,lamp_battery,왕십리로14길 13,주택가
성동구,lamp_battery,상원6길 18,폐형광등 수거박스만 있음
성동구,lamp_battery,아차산로9길 17 맞은편 청송공원,공원
성동구,lamp_battery,아차산로13길 11 앞,주택가
성동구,lamp_battery,아차산로13길 47 KT전화국,전화국 옆
성동구,lamp_battery,연무장7길 15 앞,물류창고 앞
성동구,lamp_battery,성수이로18길 31 성삼공원 앞,공원
성동구,lamp_battery,광나루로2길 35 주민센터 앞,주민센터
성동구,lamp_battery,성동구 동일로 43길 13,송정동 주민센터
성동구,lamp_battery,성동구 송정14길 19,송정동 자치회관
성동구,lamp_battery,성동구 송정길 36,주택가
성동구,lamp_battery,성동구 송정길 92,노인정 옆
성동구,lamp_battery,성동구 동일로237,서울숲아이파크 102동 106동 아파트
성동구,lamp_battery,성동구 동일로263 건영아파트 101동후문경비실,아파트
성동구,lamp_battery,용답동 주민센터 (서울 성동구 용답중앙23길 20),주민센터
성동구,lamp_battery,용답길 철로변 (용답17길 1) ,철로변
성동구,lamp_battery,중앙하이츠아파트 (서울 성동구 용답중앙27길 10),아파트
성동구,lamp_battery,덕현해밀아파트 (서울 성동구 용답29길 29),아파트
성동구,lamp_battery,와이엠프라젠아파트 (서울 성동구 자동차시장1길 14),아파트
성동구,lamp_battery,무학봉길69,왕십리제2동주민센터 정문앞 및 1층 청사내
성동구,lamp_battery,난계로 100,왕십리자이아파트
성동구,lamp_battery,왕십리로31나길 18,한신무학아파트
성동구,lamp_battery,왕십리로31길 20,한진그랑빌아파트
성동구,lamp_battery,무학봉길 76,신영지웰아파트
성동구,lamp_battery,무학봉길 49,무학현대아파트
성동구,lamp_battery,난계로 73,극동미라주아파트
성동구,lamp_battery,성동구 난계로 84,행당역풍림아이원아파트
성동구,lamp_battery,무학봉길 35,왕십리KCC스위첸아파트
성동구,lamp_battery,난계로 114-31,금호베스트빌아파트
성동구,lamp_battery,마조로16길 37 명성연립 앞,공동주택
성동구,lamp_battery,마장로42길 16 세림(아) 3동 앞,공동주택
성동구,lamp_battery,마장로42길 16 세림(아) 4동 앞,공동주택
성동구,lamp_battery,마장로42길 16 세림(아) 5동 앞,공동주택
성동구,lamp_battery,마장로42길 16 세림(아) 9동 앞,공동주택
성동구,lamp_battery,마장로35길 104 청계장원(아) 뒤쪽,공동주택
성동구,lamp_battery,마조로15가길 23 SH빌 101동 옆,공동주택
성동구,lamp_battery,마장로44길 7 푸른마을(아) 102동 오른쪽,공동주택
성동구,lamp_battery,마장로39길 43 신성미소지움(아) 103동 앞,공동주택
성동구,lamp_battery,마장로 262 중앙하이츠 101동 옆,공동주택
성동구,lamp_battery,마조로15가길 12 백양드리이크리닝 앞,주택가
성동구,lamp_battery,마장로35길 104 미성빌라 관리사무실 옆,공동주택
성동구,lamp_battery,마장로35길 108 미성빌라 입구,공동주택
성동구,lamp_battery,마조로 57 금호어울림(아) 정문,공동주택
성동구,lamp_battery,마조로 57 금호어울림(아) 105동 앞,공동주택
성동구,lamp_battery,마장로 271 삼성(아) 103동 앞,공동주택
성동구,lamp_battery,마장로 271 삼성(아) 104동 앞,공동주택
성동구,lamp_battery,살곶이길 50 현대(아) 관리실 건물 내,공동주택
성동구,lamp_battery,마장로37길 7 대성유니드(아) 경비실 옆,공동주택
성동구,lamp_battery,청계천로 546 성동구도시관리공단 후문,공공기관
성동구,lamp_battery,마장로46길 14 삼웅(아) 1동 앞,공동주택
성동구,lamp_battery,마장로46길 14 삼웅(아) 2동 앞,공동주택
성동구,lamp_battery,마장로31다딜 11 삼성빌라 입구,공동주택
성동구,lamp_battery,마장로27길 12 럭키슈퍼 옆 골목,주택가
성동구,lamp_battery,마장로37길 17 한국전력공사(성동전력소) 앞,공공기관
성동구,lamp_battery,사근동 223-22 (사근동길 37),주민센터
성동구,lamp_battery,사근동 314 (살곶이길 176),아파트
성동구,lamp_battery,사근동 199 (사근동길 65),아파트
성동구,lamp_battery,행당동 155-1 (왕십리로 241),아파트
성동구,lamp_battery,성동구 행당로9길 9 (행당제2동 주민센터),동주민센터
성동구,lamp_battery,성동구 고산자로 177 (서울숲행당푸르지오아파트),공동주택
성동구,lamp_battery,성동구 행당로 79 (행당대림아파트),공동주택
성동구,lamp_battery,성동구 행당로8길 8 (행당두산위브아파트),공동주택
성동구,lamp_battery,성동구 행당로 99 (행당브라운스톤아파트),공동주택
성동구,lamp_battery,성동구 독서당로 441 (행당신동아아파트),공동주택
성동구,lamp_battery,성동구 행당로82 (행당한진타운아파트),공동주택
성동구,lamp_battery,성동구 고산자로 177 (서울숲행당푸르지오아파트(임대),공동주택(임대)
성동구,lamp_battery,성동구 행당로8길 8 (행당두산위브아파트(임대),공동주택(임대)
성동구,lamp_battery,성동구 행당로 79 (행당대림아파트(임대),공동주택(임대)
성동구,lamp_battery,성동구 행당로 82 (행당한진타운아파트(임대),공동주택(임대)
성동구,lamp_battery,옥수현대아파트 103동 앞(독서당로40길 25),아파트
성동구,lamp_battery,옥수극동아파트 7동 옆(독서당로 191) ,아파트
성동구,lamp_battery,극동그린아파트 103동 앞(독서당로 175),아파트
성동구,lamp_battery,한남하이츠아파트 2~5동 사이(독서당로 156),아파트
성동구,lamp_battery,옥수동 삼성아파트 노인정 옆(독서당로 218),아파트
성동구,lamp_battery,옥수동 삼성아파트 106동 앞(독서당로 218),아파트
성동구,lamp_battery,옥수동 삼성아파트 101동 옆(독서당로 218),아파트
성동구,lamp_battery,옥수동 삼성아파트 101동 1초소 옆(독서당로 218),아파트
성동구,lamp_battery,옥수동 삼성아파트 104동 앞(독서당로 218),아파트
성동구,lamp_battery,옥수동 삼성아파트 111동 주차장입구 옆(독서당로 218),임대동
성동구,lamp_battery,옥수하이츠아파트 110동 재활용장(한림말길 50),임대동
성동구,lamp_battery,옥수하이츠아파트 101동 앞(한림말길 50),아파트
성동구,lamp_battery,옥수하이츠아파트 관리사무소 옆(한림말길 50),아파트
성동구,lamp_battery,동인샤인빌아파트 놀이터 옆 재활용장(독서당로 242),아파트
성동구,lamp_battery,뚝섬로 385-19,성수2가제1동 주민센터 이마트 방향
성동구,lamp_battery,성수일로4길 26,서울숲힐스테이트 103동 우측
성동구,lamp_battery,뚝섬로13길 11,신성노바빌(미소지움)아파트
성동구,lamp_battery,성수이로16길 13,성수우성2차아파트
성동구,lamp_battery,뚝섬로 436,성수대명루첸아파트 103동앞
성동구,lamp_battery,뚝섬로 434,성수동두산위브아파트
성동구,lamp_battery,둘레19길 5,강변임광아파트 101동 왼쪽 방향
성동구,lamp_battery,둘레15길 7,청구강변아파트
성동구,lamp_battery,성수이로 3,한강한신아파트 101동 앞
성동구,lamp_battery,둘레11길 1,강변현대아파트
