district,type,location,etc
구로구,lamp_battery,서울특별시 구로구 신도림로 40,동주민센터 
구로구,lamp_battery,서울특별시 구로구 구로중앙로 218 (신도림동),신세계마트 
구로구,lamp_battery,서울특별시 구로구 신도림로 7 (신도림동),
구로구,lamp_battery,서울특별시 구로구 신도림로11길 62,전원연립
구로구,lamp_battery,서울특별시 구로구 신도림로11길 48-5,유림연립 공중전화박스 옆 
구로구,lamp_battery,서울특별시 구로구 신도림로19길 144 (신도림동),삼성쉐르빌 
구로구,lamp_battery,서울특별시 구로구 신도림로 65 (신도림동),월드메르디앙 재활용장 
구로구,lamp_battery,서울특별시 구로구 경인로 584,신도림팰러티움 지하주차장 
구로구,lamp_battery,서울특별시 구로구 경인로 610 (신도림동),코리아빌딩 지하주차장 
구로구,lamp_battery,서울특별시 구로구 구일로4길 57 (구로동),동주민센터 
구로구,lamp_battery,서울특별시 구로구 구일로 168,근상프리즘 
구로구,lamp_battery,서울특별시 구로구 구일로10길 27 (구로동),sk허브수
구로구,lamp_battery,서울특별시 구로구 구일로8길 6 (구로동),근상프리즘팰리스 
구로구,lamp_battery,구로동 685-468,칠성빌라 
구로구,lamp_battery,서울특별시 구로구 구로동로 141 (구로동),동주민센터 청소년수련관 앞 
구로구,lamp_battery,서울특별시 구로구 구로동로17길 40 (구로동),서울남교회 
구로구,lamp_battery,서울특별시 구로구 벚꽃로 490(구로동),화원복지관 입구 
구로구,lamp_battery,서울특별시 구로구 구로동로50길 10 (구로동),자치회관 
구로구,lamp_battery,서울특별시 구로구 구로중앙로 207 (구로동),성원오퍼스1
구로구,lamp_battery,서울특별시 구로구 경인로53길 106,진영연립
구로구,lamp_battery,서울특별시 구로구 디지털로31길 109 (구로동),동주민센터 
구로구,lamp_battery,서울특별시 구로구 도림천로 438 (구로동),하나가디리움
구로구,lamp_battery,서울특별시 구로구 시흥대로 525 (구로동),(구)문성길
구로구,lamp_battery,서울특별시 구로구 디지털로27길 82 (구로동),성당 
구로구,lamp_battery,서울특별시 구로구 구로동로28길 94 (구로동),동주민센터
구로구,lamp_battery,서울특별시 구로구 구로중앙로7길 20 (구로동),구로리공원 
구로구,lamp_battery,서울특별시 구로구 구로중앙로8길 8,대흥연립 다동 앞 
구로구,lamp_battery,서울특별시 구로구 가마산로 280,순영웰라이빌 후문 
구로구,lamp_battery,서울특별시 구로구 구로동로22길 5-26 (구로동),기업은행 주차타워 앞 
구로구,lamp_battery,서울특별시 구로구 구로중앙로18길 23 (구로동),비즈트위트 3차 
구로구,lamp_battery,서울특별시 구로구 구로중앙로28길 66,동주민센터 보건소 지하주차장
구로구,lamp_battery,서울특별시 구로구 공원로 27,대성스카이렉스
구로구,lamp_battery,서울특별시 구로구 공원로 40,쌍용플래티늄노블
구로구,lamp_battery,서울특별시 구로구 공원로6나길 5-16,우성타운
구로구,lamp_battery,서울특별시 구로구 새말로 102 (구로동),신도림포스빌 
구로구,lamp_battery,서울특별시 구로구 구로중앙로28길 31-31,경남연립 에이동 앞 
