district,type,location,etc
서초구,lamp_battery,서초1동 남부순환로337가길 52 신원아침도시,신원아침도시
서초구,lamp_battery,서초1동 효령로68길 9-2  서초현대아파트,서초현대아파트 20동
서초구,lamp_battery,서초1동 효령로68길 33 서초아이파크 아파트,서초아이파크 아파트 101동 102동
서초구,lamp_battery,서초1동 효령로68길 81 서초자이 아파트,서초자이 아파트
서초구,lamp_battery,서초1동 서초중앙로2길 41 서초리젠아파트,서초리젠아파트
서초구,lamp_battery,서초1동 서초중앙로 14 더 샾 서초아파트,서초아파트
서초구,lamp_battery,서초1동 서초중앙로 26 서초래미안 서초유니빌,서초래미안 서초유니빌
서초구,lamp_battery,서초1동 서리풀4길 43 서초극동스타클래스, 서초극동스타클래스 101동
서초구,lamp_battery,서초1동 사임당로10길 39 롯데캐슬리버티 아파트,롯데캐슬리버티 아파트 101동
서초구,lamp_battery,서초1동 사임당로17길 116 서초 삼성래미안아파트,삼성래미안아파트
서초구,lamp_battery,서초1동 사임당로23길 53 서초아남아파트,서초아남아파트 2동
서초구,lamp_battery,서초1동 서초대로64길 36 대성유니드 아파트,
서초구,lamp_battery,서초1동 사임당로17길 90 롯데캐슬84아파트,롯데캐슬84아파트 102동
서초구,lamp_battery,서초1동 사임당로17길 80 서초래미안7차아파트,서초래미안7차아파트 101동
서초구,lamp_battery,서초1동 사임당로23길 58 서초현대3차아파트,서초현대3차아파트 301동
서초구,lamp_battery,서초1동 사임당로 105 롯데캐슬 SPA,롯데캐슬 SPA
서초구,lamp_battery,서초1동 사임당로19길 10 서초현대아파트,서초현대아파트 102동
서초구,lamp_battery,서초1동 사임당로 89,서초1동 주민센터新 청사
서초구,lamp_battery,서초1동 서초대로58길 10 대우아이빌아파트,대우아이빌아파트
서초구,lamp_battery,서초1동 서초중앙로 18 쌍용플래티넘,쌍용플래티넘
서초구,lamp_battery,서초1동 서초중앙로22길 25 대림리시온,대림리시온
서초구,lamp_battery,서초1동 서초중앙로 110 롯데캐슬메디치,롯데캐슬메디치
서초구,lamp_battery,서초2동 서초대로70길 51,서초2동 주민센터 지하
서초구,lamp_battery,서초2동 서초대로74길 30 서초우성5차아파트,서초우성5차아파트 502동 뒤
서초구,lamp_battery,서초2동 강남대로53길 11 서초동삼성쉐르빌2,서초동삼성쉐르빌2 앞
서초구,lamp_battery,서초2동 사임당로 151,무지개종합상가 앞,
서초구,lamp_battery,서초2동 사임당로 137 서초신동아아파트,서초신동아아파트 2동 앞
서초구,lamp_battery,서초2동 사임당로 130 신동아아파트,신동아아파트 5동 앞
서초구,lamp_battery,서초2동 효령로 391 무지개아파트,무지개아파트 3동~5동사이
서초구,lamp_battery,서초2동 효령로77길 20 현대ESA아파트,현대ESA아파트 지하
서초구,lamp_battery,서초2동 효령로72길 57 삼성서초트라팰리스,삼성서초트라팰리스
서초구,lamp_battery,서초2동 효령로74길 56 벽산블루밍아파트,벽산블루밍아파트 101동
서초구,lamp_battery,서초2동 효령로74길 57 동원베네스트,동원베네스트 102동
서초구,lamp_battery,서초2동 서운로6길, 서초구 서초2동 1359-12,사도감 어린이공원 
서초구,lamp_battery,서초2동 서초동 1343-8 마산말어린이공원,마산말어린이공원
서초구,lamp_battery,서초2동 남부순환로 347길 69,서초문화예술정보학교 담장 옆
서초구,lamp_battery,서초2동 서초대로74길 23 서초타운트라팰리스,서초타운트라팰리스
서초구,lamp_battery,서초2동 서운로 122 서초가든스위트,서초가든스위트 2동지하
서초구,lamp_battery,서초2동 서운로 138 서초동아타워아파트,서초동아타워아파트 지하5층
서초구,lamp_battery,서초3동 명달로 10 서초금호어울림,서초금호어울림
서초구,lamp_battery,서초3동 명달로 112 서초두산위브2,서초두산위브2
서초구,lamp_battery,서초3동 명달로 33 삼환나뜨리빌,삼환나뜨리빌
서초구,lamp_battery,서초3동 명달로6길 31 서초1차 e-편한세상,서초1차 e-편한세상
서초구,lamp_battery,서초3동 효령로49길 57 서초2차 e-편한세상,서초2차 e-편한세상
서초구,lamp_battery,서초3동 명달로4길 30 서초5차 e-편한세상,서초5차 e-편한세상
서초구,lamp_battery,서초3동 명달로 20 대우엘로즈카운티아파트,대우엘로즈카운티아파트
서초구,lamp_battery,서초3동 반포대로21길67 서초레미안5차아파트,서초레미안5차아파트
서초구,lamp_battery,서초3동 반포대로21길 74 서초레미안6차아파트,서초레미안6차아파트
서초구,lamp_battery,서초3동 반포대로5길 65 서초아이파크빌 아파트,서초아이파크빌
서초구,lamp_battery,서초3동 효령로 237 한신서초주상복합아파트,한신서초주상복합아파트
서초구,lamp_battery,서초3동 서초대로46길 62 서초우방유쉘,서초우방유쉘
서초구,lamp_battery,서초3동 반포대로5길 43 더샾오데움 아파트,더샾오데움
서초구,lamp_battery,서초3동 서초대로40길 72 한빛삼성아파트,한빛삼성아파트 101동 102동
서초구,lamp_battery,서초3동 남부순환로323길 38-15 서초동 한신플러스타운,한신플러스타운 101동 102동
서초구,lamp_battery,서초3동 반포대로 122 서초동현대ESA2차아파트,서초동현대ESA2차아파트
서초구,lamp_battery,서초3동 반포대로4길 75 현대슈퍼빌,현대슈퍼빌
서초구,lamp_battery,서초3동 반포대로4길 24 월드메르디앙오페라하우스,월드메르디앙오페라하우스
서초구,lamp_battery,서초3동 반포대로10길 10,서초3동 주민센터
서초구,lamp_battery,서초3동 명달로 97-14 트라움하우스,트라움하우스 3차
서초구,lamp_battery,서초3동 반포대로 58 아트자이아파트,아트자이아파트
서초구,lamp_battery,서초3동 명달로 91 더미켈란 아파트,더미켈란 아파트
서초구,lamp_battery,서초3동 효령로53길 45 서초이오빌,서초이오빌
서초구,lamp_battery,서초3동 반포대로14길 71 엘지서초에클라트,엘지서초에클라트
서초구,lamp_battery,서초3동 남부순환로 2343-10 서초3차 e-편한세상,서초3차 e-편한세상
서초구,lamp_battery,서초3동 서초대로 240 동일하이빌,동일하이빌
서초구,lamp_battery,서초3동 효령로 197 서울고등학교,
서초구,lamp_battery,서초3동 명달로 38 대성유니드,대성유니드
서초구,lamp_battery,서초3동 남부순환로323길 56-18 경남아너스빌,경남아너스빌 101동
서초구,lamp_battery,서초3동 반포대로23길 71 서초현대홈타운,서초현대홈타운
서초구,lamp_battery,서초3동 명달로6길24 래미안3차아파트,래미안3차아파트
서초구,lamp_battery,서초4동 서운로21길2 서일중학교, 서일중학교 정문앞 서초4동 임시창고
서초구,lamp_battery,서초4동 서초대로55길 13,서초4동 주민센터 민원분소
서초구,lamp_battery,서초4동 서초중앙로 200 삼풍아파트,삼풍아파트 3동 11동 16동 17동 18동 21동 및 관리소
서초구,lamp_battery,서초4동 서초중앙로24길 65 서초삼익아파트,서초삼익아파트 1동 2동 3동 4동 
서초구,lamp_battery,서초4동 서초중앙로24길 43 유원아파트,유원아파트 102동 103동
서초구,lamp_battery,서초4동 사평대로56길 7 서초유앤아이,서초유앤아이
서초구,lamp_battery,서초4동 고무래로 102 서초삼성래미안,서초삼성래미안 101동 103동 106동 110동
서초구,lamp_battery,서초4동 고무래로 94 서초현대4차,서초현대4차
서초구,lamp_battery,서초4동 서초중앙로 188 서초아크로비스타,서초아크로비스타
서초구,lamp_battery,서초4동 서운로 200 롯데캐슬아파트,롯데캐슬아파트 104동 105동 111동
서초구,lamp_battery,서초4동 서초대로 385 진흥아파트,진흥아파트 1동
서초구,lamp_battery,서초4동 서초중앙로 157,서울고등법원 지하주차장
서초구,lamp_battery,서초4동 서운로 221 래미안서초스위트아파트,래미안서초스위트아파트
서초구,lamp_battery,서초4동 강남대로61길 23 현대성우주상복합,현대성우주상복합
서초구,lamp_battery,서초4동 서운로 194 두산위브아파트,두산위브아파트
서초구,lamp_battery,잠원동 잠원로 213-10,잠원한강아파트,잠원한강아파트 3동
서초구,lamp_battery,잠원동 잠원로 157,한신16차아파트,한신16차아파트 109동
서초구,lamp_battery,잠원동 신반포로33길 71 잠원그린아파트,잠원그린아파트
서초구,lamp_battery,잠원동 신반포로33길 66 신반포청구아파트,신반포청구아파트 102동
서초구,lamp_battery,잠원동 신반포로33길 64 로양한신휴플러스아파트,로양한신휴플러스아파트 2동
서초구,lamp_battery,잠원동 잠원로4길 33-9 한신신반포26차아파트,한신신반포26차아파트 347동
서초구,lamp_battery,잠원동 나루터로 38,잠원동주민센터 지하1층
서초구,lamp_battery,잠원동 잠원로14길 3,잠원롯데캐슬아파트 공원
서초구,lamp_battery,잠원동 잠원로14길 23 잠원롯데캐슬2차아파트,잠원롯데캐슬2차아파트 204동
서초구,lamp_battery,잠원동 잠원로12길 4 잠원현대아파트,잠원현대아파트 101동
서초구,lamp_battery,잠원동 잠원로 204 잠원한신훼미리아파트,잠원한신훼미리아파트 2동
서초구,lamp_battery,잠원동 잠원로14길 42 한신 13차아파트,한신 13차아파트 328동 329동
서초구,lamp_battery,잠원동 잠원로14길 41 한신 13차아파트,한신 13차아파트 326동
서초구,lamp_battery,잠원동 잠원로 166-4 미주파스텔아파트,미주파스텔아파트
서초구,lamp_battery,잠원동 잠원로 166-17 강변아파트,강변아파트 2동
서초구,lamp_battery,잠원동 잠원로 150 잠원한신아파트,잠원한신아파트 관리실
서초구,lamp_battery,잠원동 잠원로8길 3 신반포27차 화랑아파트,신반포27차 화랑아파트 351동
서초구,lamp_battery,잠원동 잠원로 136 뉴코아신반포 한신25차아파트,뉴코아신반포 한신25차아파트 345동
서초구,lamp_battery,잠원동 잠원로8길 20 한신19차아파트,한신19차아파트 330동 331동
