district,type,location,etc
강남구,lamp_battery,서울특별시 강남구 강남대로158길 21,
강남구,lamp_battery,서울특별시 강남구 강남대로152길 29,
강남구,lamp_battery,서울특별시 강남구 강남대로156길 28-1,
강남구,lamp_battery,서울특별시 강남구 도산대로17길 27,
강남구,lamp_battery,서울특별시 강남구 압구정로10길 32,
강남구,lamp_battery,서울특별시 강남구 도산대로19길 39,
강남구,lamp_battery,서울특별시 강남구 도산대로19길 16,
강남구,lamp_battery,서울특별시 강남구 압구정로36길22(신구중건너편),
강남구,lamp_battery,서울특별시 강남구 압구정로36길55(소망교회앞),
강남구,lamp_battery,서울특별시 강남구 압구정로50길28(로데오현대앞),
강남구,lamp_battery,서울특별시 강남구 논현로154길12(아인빌앞),
강남구,lamp_battery,서울특별시 강남구 도산대로49길11앞,
강남구,lamp_battery,서울특별시 강남구 도산대로87길 33, 대우유로카운티 빌라
강남구,lamp_battery,서울특별시 강남구 도산대로101길 29 현대3차(아) ,
강남구,lamp_battery,서울특별시 강남구 삼성로135길 42 언북초등학교 교무실,
강남구,lamp_battery,서울특별시 강남구 압구정로71길 9 청담초등학교 교무실,
강남구,lamp_battery,서울특별시 강남구 선릉로 742 영동고등학교 교무실,
강남구,lamp_battery,서울특별시 강남구 학동로20길 25, 3층 논현1동주민센터 민원실
강남구,lamp_battery,서울특별시 강남구 학동로20길 25, 4층 논현1문화센터
강남구,lamp_battery,서울특별시 강남구 학동로25길 27, 메리힐 주차장 음식물 쓰레기통 옆
강남구,lamp_battery,서울특별시 강남구 논현로115길, 18-6 주차장
강남구,lamp_battery,서울특별시 강남구 강남대로118길 52, 주차장 입구
강남구,lamp_battery,서울특별시 강남구 논현로115길 28, 삼풍빌라 경비실 앞
강남구,lamp_battery,서울특별시 강남구 강남대로122길 52, 건물 현관 안쪽
강남구,lamp_battery,서울특별시 강남구 학동로12길 43, 모아세탁소 앞
강남구,lamp_battery,서울특별시 강남구 강남대로112길 41, 경비실 앞(거평프리젠)
강남구,lamp_battery,서울특별시 강남구 논현로113길 4, 쓰레기 수거통 옆(논현프라임)
강남구,lamp_battery,서울특별시 강남구 논현로111길 3, 꿈에그린1차
강남구,lamp_battery,서울특별시 강남구 논현로119길 16, 우성빌리지
강남구,lamp_battery,서울특별시 강남구 논현로115길 20, 현대타운빌라
강남구,lamp_battery,서울특별시 강남구 논현로113길 7, 리더스 빌라
강남구,lamp_battery,서울특별시 강남구 학동로43길 17, 논현2동주민센터
강남구,lamp_battery,서울특별시 강남구 선릉로121길 15, LH공사 앞
