district,type,location,etc
금천구,lamp_battery,가산동-3,대동 아파트
금천구,lamp_battery,가산동-4,덕산 아파트
금천구,lamp_battery,가산동-5,두산위브 아파트 101동
금천구,lamp_battery,가산동-6,두산위브 아파트 105동 뒷편
금천구,lamp_battery,가산동-7,두산위브 아파트 104동
금천구,lamp_battery,가산동-8,두산위브 아파트 107동
금천구,lamp_battery,가산동-9,두산위브 아파트 108동
금천구,lamp_battery,가산동-10,두산위브 아파트 109동
금천구,lamp_battery,가산동-11,두산위브 아파트 112동 뒷편
금천구,lamp_battery,가산동-12,두산위브 아파트 113동
금천구,lamp_battery,가산동-13,두산위브 아파트 116동 맞은편
금천구,lamp_battery,가산동-14,두산 주상복합
금천구,lamp_battery,가산동-15,우창연립
금천구,lamp_battery,가산동-16,가산동 주민센터 맞은편
금천구,lamp_battery,가산동-17,모아래 공원
금천구,lamp_battery,가산동-19,무아래 어린이공원
금천구,lamp_battery,가산동-20,오토스 옆
금천구,lamp_battery,가산동-21,영화빌라
금천구,lamp_battery,가산동-22,두산위브 아파트 105동 앞편
금천구,lamp_battery,가산동-23,대륭포스트타워 6차
금천구,lamp_battery,가산동-24,갑을그레이트밸리
금천구,lamp_battery,가산동-25,IT프리미어 타워
금천구,lamp_battery,가산동-26,디지털 엠파이어
금천구,lamp_battery,가산동-27,이랜드 월드
금천구,lamp_battery,가산동-28,노동자생활체험관 맞은편
금천구,lamp_battery,가산동-29,주택가
금천구,lamp_battery,가산동-30,두산위브 아파트 118동
금천구,lamp_battery,가산동-32,주택가
금천구,lamp_battery,가산동-33,가산드림타워오피스텔
금천구,lamp_battery,독산1동-1,각산 아파트
금천구,lamp_battery,독산1동-2,계룡아파트
금천구,lamp_battery,독산1동-4,독산현대아파트
금천구,lamp_battery,독산1동-5,라이프아파트
금천구,lamp_battery,독산1동-6,백운아파트
금천구,lamp_battery,독산1동-7,삼환아파트
금천구,lamp_battery,독산1동-8,태영아파트
금천구,lamp_battery,독산1동-9,진도1차 아파트
금천구,lamp_battery,독산1동-10,진도2차 아파트
금천구,lamp_battery,독산1동-11,진도3차 아파트
금천구,lamp_battery,독산1동-12,청광플러스원 아파트
금천구,lamp_battery,독산1동-13,독산1동 주민센터
금천구,lamp_battery,독산1동-14,포러스빌딩(NH농협 독산북지점)
금천구,lamp_battery,독산1동-15,중앙하이츠 아파트 101동
금천구,lamp_battery,독산1동-16,중앙하이츠 아파트 103동
금천구,lamp_battery,독산1동-17,중앙하이츠 아파트 105동
금천구,lamp_battery,독산1동-18,중앙하이츠 아파트 107동
금천구,lamp_battery,독산1동-19,금천현대 아파트 후문 입구
금천구,lamp_battery,독산1동-20,금천현대 아파트 105동
금천구,lamp_battery,독산1동-21,금천현대 아파트 지하주차장 입구 맞은편
금천구,lamp_battery,독산1동-22,금천현대 아파트 107동
금천구,lamp_battery,독산1동-23,금천현대 아파트 110동
금천구,lamp_battery,독산1동-24,주택가
금천구,lamp_battery,독산1동-25,주택가
