district,type,location,etc
서대문구,lamp_battery,충현동 충정로6길 27,미동초교 뒤 주택가
서대문구,lamp_battery,충현동 통일로 97,서대문경찰서 공공시설
서대문구,lamp_battery,충현동 충정로7길 9,미동아파트 입구 공동주택
서대문구,lamp_battery,충현동 경기대로 26-7,유앤미아파트 입구 공동주택
서대문구,lamp_battery,충현동 충정로 53,유원골드타워 뒤  주택가
서대문구,lamp_battery,충현동 경기대로 40,충현동 자치회관 공공시설
서대문구,lamp_battery,충현동 충정로7길 30,충정로현대아파트 공동주택
서대문구,lamp_battery,충현동 북아현로22길 38,충현동주민센터 공공시설
서대문구,lamp_battery,천연동 독립문로14길 64-6,동부센트레빌아파트(204동) 공동주택
서대문구,lamp_battery,천연동 독립문로14길 74,동부센트레빌아파트(103동) 공동주택
서대문구,lamp_battery,천연동 독립문공원길 13,극동아파트 상가 앞 공동주택
서대문구,lamp_battery,천연동 통일로 279-75,독립문파크빌아파트(101동) 공동주택
서대문구,lamp_battery,천연동 독립문공원길 17,독립문극동아파트(총8개) 공동주택
서대문구,lamp_battery,천연동 독립문로 10,독립문삼호아파트((총4개) 공동주택
서대문구,lamp_battery,천연동 통일로 251,독립공원 내 공원
서대문구,lamp_battery,천연동 독립문로8길 107,신일교회 옆 주택가
서대문구,lamp_battery,천연동 성산로 694,천연동주민센터 공공시설
서대문구,lamp_battery,천연동 독립문로12나길 2,형제슈퍼 옆 주택가
서대문구,lamp_battery,천연동 독립문로8길 27,광하빌라 앞 주택가
서대문구,lamp_battery,북아현동 이화여대8길 62,두산아파트 공동주택
서대문구,lamp_battery,북아현동 북아현로3길 24,한성중.고등학교 학교
서대문구,lamp_battery,북아현동 북아현로4길 8,장애인복지관 앞 주택가
서대문구,lamp_battery,북아현동 신촌로37길 58,우아미가구 앞 주택가
서대문구,lamp_battery,북아현동 북아현로4자길 15,그린빌라 앞 공동주택
서대문구,lamp_battery,북아현동 북아현로6길 78,북아현빌라 가동 공동주택
서대문구,lamp_battery,북아현동 신촌로35길 10,e편한세상신촌아파트(총15개) 공동주택
서대문구,lamp_battery,북아현동 북아현로 40,경남아파트 (2개) 공동주택
서대문구,lamp_battery,북아현동 북아현로 24,북아현동주민센터 공공시설
서대문구,lamp_battery,신촌동 신촌로3나길 7-11,율도국인아파트 공동주택
서대문구,lamp_battery,신촌동 성산로 570,대신교회 주택가
서대문구,lamp_battery,신촌동 성산로 560,이대금란고교 학교
