district,type,location,etc
성북구,lamp_battery,서울특별시 성북구 성북로 37 성북동 주민센터 후문 주차장,관공서
성북구,lamp_battery,서울특별시 성북구 성북로 37 성북동 주민센터 후문 주차장 앞 도로,주택가
성북구,lamp_battery,서울특별시 성북구 동소문로3길 69(삼선중학교),학교
성북구,lamp_battery,서울특별시 성북구 성북로 102-10(성북초등학교),학교
성북구,lamp_battery,서울특별시 성북구 성북로 14가길 23(홍익사대부고),학교
성북구,lamp_battery,서울특별시 성북구 성북로 31길 5-15(서울다원학교),학교
성북구,lamp_battery,서울특별시 성북구 성북로 8다길 17,주택가
성북구,lamp_battery,서울특별시 성북구 성북로 29길 26-21,주택가
성북구,lamp_battery,서울특별시 성북구 동소문로3길 101(송산아파트 101동 앞),아파트 단지
성북구,lamp_battery,서울특별시 성북구 동소문로3길 101(송산아파트 103동 앞),아파트 단지
성북구,lamp_battery,서울특별시 성북구 보문로 190,주민센터
성북구,lamp_battery,서울특별시 성북구 삼선교로4길 47-1,성북구 정보화센터
성북구,lamp_battery,서울특별시 성북구 정릉로 404 현대아파트 경로당 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 정릉로 402-16 범양아파트 관리사무소 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 정릉로 52길 46 성일우리미아파트 101동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 정릉로 388 동부센트레빌아파트 104동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 동소문로31길 6-1 대성유니드아파트 지하주차장,아파트 
성북구,lamp_battery,서울특별시 성북구 북악산로 913 풍림아파트 101동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 북악산로 913  풍림아파트 106동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 108동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 107동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 관리사무소 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 102동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 101동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 103동 옆,아파트 
성북구,lamp_battery,서울특별시 성북구 동소문로 34길 73 금호어울림아파트 105동 옆,아파트 
성북구,lamp_battery,서울특별시 성북구 동소문로 34길 73 금호어울림아파트 104동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 동소문로 34길 73 금호어울림아파트 103동 관리사무소 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 북악산로 844 돈암브라운스톤아파트 101동과 102동 사이,아파트 
성북구,lamp_battery,서울특별시 성북구 북악산로 844 돈암브라운스톤아파트 관리사무소 옆,아파트 
성북구,lamp_battery,서울특별시 성북구 북악산로 844 돈암브라운스톤아파트 115동과 116동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 북악산로 844 돈암브라운스톤아파트 104동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로5길 85 돈암동더샾아파트 107동 후문 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로5길 85 돈암동더샾아파트 101동 쓰레기장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 68 돈암힐스테이트아파트 101동 재활용쓰레기장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 68 돈암힐스테이트아파트 103동 재활용쓰레기장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 68 돈암힐스테이트아파트 105동 재활용쓰레기장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로5길 50-8 동소문현대아파트 101동 관리실 옆,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로5길 92 신일해피트리아파트 105동 분리수거장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 75 돈암코오롱하늘채아파트 102동 재활용수거장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 75 돈암코오롱하늘채아파트 103동 재활용수거장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 75 돈암코오롱하늘채아파트 104동 재활용수거장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 75 돈암코오롱하늘채아파트 105동 재활용수거장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 75 돈암코오롱하늘채아파트 107동 재활용수거장(1),아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 75 돈암코오롱하늘채아파트 107동 재활용수거장(2),아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 75 돈암코오롱하늘채아파트 108동 재활용수거장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 89 일신건영휴먼빌아파트 101동 옆,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 89 일신건영휴먼빌아파트 109동 뒤,아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 205동 1-2라인 초소 앞",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 204동 3-4라인 분리수거장 옆",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 202동 쓰레기장 옆",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 112동 앞",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 206동 1-2라인 앞",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 208동 관리사무실 뒤",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 202동 앞",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 209동 승강기 4호기 앞",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 102동 경비실 뒤",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 104동 전화박스 뒤",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 105동 분리수거장 옆",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 106동 음식물수거통 옆",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 212동 3-4라인 앞",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 213동 경비실 앞",아파트 
성북구,lamp_battery,"서울특별시 성북구 성북로4길 52 한신,한진아파트 215동 경비실 뒤",아파트 
성북구,lamp_battery,서울특별시 성북구 인촌로17가길 46,용문고등학교
성북구,lamp_battery,서울특별시 성북구 인촌로14길 28,대광빌라
성북구,lamp_battery,서울특별시 성북구 안암로9길 30,삼익아파트
성북구,lamp_battery,서울특별시 성북구 안암로9나길 14,대광아파트
성북구,lamp_battery,서울특별시 성북구 안암로9가길 9-16,안암아파트
성북구,lamp_battery,서울특별시 성북구 인촌로17가길 64,삼성래미안아파트
성북구,lamp_battery,서울특별시 성북구 지봉로21길 19 보문 아이파크 아파트,아파트 
성북구,lamp_battery,서울특별시 성북구 인촌로2길 37 보문 하우스토리,아파트 
성북구,lamp_battery,서울특별시 성북구 보문사길 112 아남아파트,아파트 
성북구,lamp_battery,서울특별시 성북구 낙산길 255 e편한세상,아파트 
성북구,lamp_battery,서울특별시 성북구 인촌로5길 53 성암교회,교회 주차장
성북구,lamp_battery,서울특별시 성북구 안암로3길 35 보문동주민센터,주민센터
성북구,lamp_battery,서울특별시 성북구 동소문로35길 47 앞,주택가
성북구,lamp_battery,서울특별시 성북구 북악산로 809 정릉1동 주민센터 옆,주택가
성북구,lamp_battery,서울특별시 성북구 북악산로 809  우성아파트 105 동 앞,아파트
성북구,lamp_battery,서울특별시 성북구 북악산로 825-24 정릉힐스테이트1차 아파트,아파트
성북구,lamp_battery,서울특별시 성북구  북악산로 828 정릉스카이쌍용아파트,아파트
성북구,lamp_battery,서울특별시 성북구 북악산로 845 정릉쌍용아파트,아파트
성북구,lamp_battery,서울특별시 성북구 북악산로 851 정릉2차e-편한세상아파트,아파트
성북구,lamp_battery,서울특별시 성북구 정릉로 292 정릉힐스테이트아파트,아파트
성북구,lamp_battery,서울특별시 성북구 정릉로 307 길음뉴타운10단지라온유아파트,아파트
성북구,lamp_battery,서울특별시 성북구 정릉로 305 경남아파트,아파트
성북구,lamp_battery,서울특별시 성북구 서경로 28 태영아파트,아파트
성북구,lamp_battery,서울특별시 성북구 보국문로 19 정릉푸르지오아파트 관리사무소 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 보국문로 19 정릉푸르지오아파트 106동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 서경로 91 청구아파트 내,아파트 
성북구,lamp_battery,서울특별시 성북구 서경로 31 푸른마을동아아파트 103동 옆,아파트 
성북구,lamp_battery,서울특별시 성북구 정릉로26길 8 중앙하이츠2단지아파트 205동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 정릉로26길 8 중앙하이츠2단지아파트 207동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 정릉로26길 8 중앙하이츠2단지아파트 209동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 정릉로24길 85 정수빌라 관리사무소 앞,빌라 
성북구,lamp_battery,서울특별시 성북구 아리랑로19길 60 중앙하이츠1단지아파트 입구,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 19길 86 대주피오레아파트 202동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 19길 86 대주피오레아파트 204동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 북악산로3길 37-1 장수경로당 앞,주택가
성북구,lamp_battery,서울특별시 성북구 북악산로 713 산장빌라 관리사무실 앞,빌라 
성북구,lamp_battery,서울특별시 성북구 북악산로1길 16 상신하이츠빌리지 앞,주택가
성북구,lamp_battery,서울특별시 성북구 북악산로 746 우방아파트 101동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 북악산로 742-12 우정에쉐르아파트 정문 입구,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로19가길 21 꿈에그린2단지아파트 202동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로19가길 20 꿈에그린1단지아파트 정문 입구,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로19가길 21 꿈에그린2단지아파트 201동 지하주차장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로19가길 20 꿈에그린1단지아파트 102동 지하주차장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로19가길 20 꿈에그린1단지아파트 103동 지하주차장,아파트 
성북구,lamp_battery,서울특별시 성북구 정릉로26길 1 정릉2동주민센터 앞,주민센터
성북구,lamp_battery,서울특별시 성북구 정릉로24길 58 정수초교 내,학교
성북구,lamp_battery,서울특별시 성북구 정릉로 279 숭덕초교 내,학교
성북구,lamp_battery,서울특별시 성북구 솔샘로1길6-3 ,정릉3동주민센터
성북구,lamp_battery,서울특별시 성북구 정릉로10다길49,주택가
성북구,lamp_battery,서울특별시 성북구 솔샘로17길25,주택가
성북구,lamp_battery,서울특별시 성북구 보국문로29길98-1,빌라 
성북구,lamp_battery,서울특별시 성북구 정릉로12길22 ,복지아파트
성북구,lamp_battery,서울특별시 성북구 정릉로21길21,성원아파트
성북구,lamp_battery,서울특별시 성북구 정릉로185-4,대동아파트
성북구,lamp_battery,서울특별시 성북구 정릉로161,고려대사범대학부속중
성북구,lamp_battery,서울특별시 성북구 정릉로12길41,북악 중학교
성북구,lamp_battery,서울특별시 성북구 보국문로 106-1 정릉4동주민센터내,보국문로106-1
성북구,lamp_battery,서울특별시 성북구 솔샘로25길 20 풍림아이원관리사무소,솔샘로25길28
성북구,lamp_battery,서울특별시 성북구 보국문로 116 정릉힐스테이트관리사무소,보국문로116
성북구,lamp_battery,서울특별시 성북구 솔샘로24길 15 정릉e편한세상관리사무소,솔샘로24길15
성북구,lamp_battery,서울특별시 성북구 보국문로 167 산장아파트관리사무소,보국문로167
성북구,lamp_battery,서울특별시 성북구 보국문로 183 정릉피오레아파트관리사무소,보국문로183
성북구,lamp_battery,서울특별시 성북구 보국문로37길 14-5정릉한일유앤아이관리사무소,보국문로37길14-5
성북구,lamp_battery,서울특별시 성북구 보국문로36길 26 풍산쉐르빌 경비실,보국문로36길26
성북구,lamp_battery,서울특별시 성북구 동소문로248 삼부A 재활용장,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로141 신안A 입구,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로13길11 경로당앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로 135 동앞,빌라 
성북구,lamp_battery,서울특별시 성북구 길음로9길40 래미안1단지 1경비초소,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로9길40 래미안1단지 2경비초소,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로9길40 래미안1단지 3경비초소,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로 119 211동앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로 119 222동앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로119 227동앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로13길39 308동앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로13길39 304동 경로당앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로118 417동앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로118 401동앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로118 426동앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로74 래미안505동1초소앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로74 래미안508동3초소앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로74 래미안512동 관리실옆,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로16 604동앞,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로16 관리소옆,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로16 후문경비실옆,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로13길22 관리사무소옆,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로33 813동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로33 817동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로33 821동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로33 806동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로33 811동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로9길50 903동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로9길50 908동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로9길50 909동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로9길50 906동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로9길50 907동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로9길50 914동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로9길50 909동,아파트 
성북구,lamp_battery,서울특별시 성북구 길음로9길50 952동,아파트 
성북구,lamp_battery,서울특별시 성북구 숭인로2길61,동부센트레빌
성북구,lamp_battery,서울특별시 성북구 동소문로284,길음서희스타힐스
성북구,lamp_battery,서울특별시 성북구 동소문로44길17,현대힐스테이트
성북구,lamp_battery,서울특별시 성북구 종암로167,동일하이빌
성북구,lamp_battery,서울특별시 성북구 삼양로2길70,길음2동주민센터
성북구,lamp_battery,서울특별시 성북구 동소문로42나길24-3,주택.상가 혼합
성북구,lamp_battery,서울특별시 성북구 종암로 98-8,주민센터
성북구,lamp_battery,서울특별시 성북구 종암로19다길 42-12 고려아파트 앞 ,주택가
성북구,lamp_battery,서울특별시 성북구 종암로 56 고려상가 앞,상가
성북구,lamp_battery,서울특별시 성북구 회기로 11-9,주택가
성북구,lamp_battery,서울특별시 성북구 오패산로 90 월곡3SH빌 ,아파트
성북구,lamp_battery,서울특별시 성북구 오패산로16가길 40 꿈의숲푸르지오아파트,아파트
성북구,lamp_battery,서울특별시 성북구 오패산로16가길 40 꿈의숲푸르지오아파트,아파트
성북구,lamp_battery,서울특별시 성북구 오패산로16가길 40 꿈의숲푸르지오아파트,아파트
성북구,lamp_battery,서울특별시 성북구 오패산로16가길 40 꿈의숲푸르지오아파트,아파트
성북구,lamp_battery,서울특별시 성북구 오패산로 90 래미안아파트 ,아파트
성북구,lamp_battery,서울특별시 성북구 오패산로 90 두산임대아파트,아파트
성북구,lamp_battery,서울특별시 성북구 오패산로 90 두산위브아파트,아파트
성북구,lamp_battery,서울특별시 성북구 오패산로 47 구동신아파트,아파트
성북구,lamp_battery,서울특별시 성북구 오패산로3길 17 동신아파트 ,103동 앞
성북구,lamp_battery,서울특별시 성북구 종암로36길 52 아남아파트,102동 앞
성북구,lamp_battery,서울특별시 성북구 화랑로 152 주민센터 후문,주민센터
성북구,lamp_battery,서울특별시 성북구 화랑로15길 4 우남아파트 102동 경비실 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 장월로1길 28 관리사무소 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 장월로1길 28 115동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 장월로1길 28 201동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 월곡로14길 26 월곡루나밸리 103동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 회기로5길 142 관리사무소 옆 집하장,아파트 
성북구,lamp_battery,서울특별시 성북구 회기로5길 100 주차장 입구 안쪽,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로 76 코업스타클래스 3층 주차장,주상복합
성북구,lamp_battery,서울특별시 성북구 장위로 61 장위1동주민센터 주차장 옆,주민센터
성북구,lamp_battery,서울특별시 성북구 장월로 101 장위중앙교회 옆,주택가
성북구,lamp_battery,서울특별시 성북구 성북구 화랑로271,아파트
성북구,lamp_battery,서울특별시 성북구 성북구 화랑로235,아파트
성북구,lamp_battery,서울특별시 성북구 성북구 장위로 122-3,아파트
성북구,lamp_battery,서울특별시 성북구 한천로657 장위3동주민센터,장위3동주민센터
성북구,lamp_battery,서울특별시 성북구 한천로95길 28,남대문중학교
성북구,lamp_battery,서울특별시 성북구 화랑로37길 42,삼익아파트
성북구,lamp_battery,서울특별시 성북구 한천로101길54,장월 sh아파트
성북구,lamp_battery,서울특별시 성북구 한천로101길 18,참누리아파트
성북구,lamp_battery,서울특별시 성북구 월계로36길27,꿈의숲대명루첸아파트
성북구,lamp_battery,서울특별시 성북구 한천로 509,코오롱아파트
성북구,lamp_battery,서울특별시 성북구 화랑로48-16   두산아파트 110동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로48-16   두산아파트 114동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로48-16  두산아파트 124동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 한천로76길 73 중앙파이츠아파트 1동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 한천로76길 73 중앙파이츠아파트 3동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 한천로68길 51 삼성아파트 101동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 한천로 509 코오롱아파트 104동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 한천로 509 코오롱아파트 106동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로210-26 신동아파밀리에아파트 101동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로210-26 신동아파밀리에아파트 104동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로 214 삼성래미안아파트 102동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로 214 삼성래미안아파트 107동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로 214 삼성래미안아파트 110동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로 214 삼성래미안아파트 113동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로 214 삼성래미안아파트 108동 앞,아파트 
성북구,lamp_battery,서울특별시 성북구 화랑로 248 장위뉴타워 주차장,다중이용시설
성북구,lamp_battery,서울특별시 성북구 화랑로 32길 88  석관실버센터,주민편의시설
성북구,lamp_battery,서울특별시 성북구 화랑로 296 석관동주민센터,관공서
성북구,lamp_battery,서울특별시 성북구 동소문로26길 27 주민센터 주차장,주민센터
성북구,lamp_battery,서울특별시 성북구 동소문로15길 99 한신휴아파트 주차장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로5길 25 브라운스톤동선아파트 주차장,아파트 
성북구,lamp_battery,서울특별시 성북구 아리랑로 63 정덕초등학교,초등학교
성북구,lamp_battery,서울특별시 성북구 북악산로 918 성신초등학교,초등학교
성북구,lamp_battery,서울특별시 성북구 북악산로 918 성신여자중학교,중학교
성북구,lamp_battery,서울특별시 성북구 동소문로26가길 80 성신여자고등학교,고등학교
성북구,lamp_battery,서울특별시 성북구 삼선교로10길 46 삼선1동노인정,주택가
성북구,lamp_battery,서울특별시 성북구 보문로 168 성북구청 ,관공서
성북구,lamp_battery,서울특별시 성북구 삼선교로16길 35 삼선SK뷰아파트,아파트
성북구,lamp_battery,서울특별시 성북구 보문로29다길 31 삼선푸르지오아파트,아파트
성북구,lamp_battery,서울특별시 성북구 삼선교로23길 23 코오롱아파트,아파트
성북구,lamp_battery,서울특별시 성북구 낙산길 243-15 삼선현대힐스테이트,아파트
성북구,lamp_battery,서울특별시 성북구 보문로38길 11 돈암동일하이빌,아파트
