district,type,location,etc
송파구,lamp_battery,서울특별시 송파구 천호대로152길 7,
송파구,lamp_battery,서울특별시 송파구 한가람로 446 동아한가람아파트,
송파구,lamp_battery,서울특별시 송파구 한가람로 478 풍납시티극동아파트,
송파구,lamp_battery,서울특별시 송파구 한가람로 468 신성노바빌아파트,
송파구,lamp_battery,서울특별시 송파구 풍성로15길 10,
송파구,lamp_battery,서울특별시 송파구 풍성로25나길 16-1,
송파구,lamp_battery,서울특별시 송파구 토성로 64,
송파구,lamp_battery,서울특별시 송파구 토성로 38-6 ,
송파구,lamp_battery,서울특별시 송파구 올림픽로 525,
송파구,lamp_battery,서울특별시 송파구 풍성로24길 26,
송파구,lamp_battery,서울특별시 송파구 풍성로24길 38,
송파구,lamp_battery,서울특별시 송파구 풍성로6가길 7,
송파구,lamp_battery,서울특별시 송파구 올림픽로47길 9,
송파구,lamp_battery,서울특별시 송파구 강동대로9길 8,
송파구,lamp_battery,서울특별시 송파구 풍성로6길 10,
송파구,lamp_battery,서울특별시 송파구 풍성로26길 31,
송파구,lamp_battery,서울특별시 송파구 한가람로 414,
송파구,lamp_battery,서울특별시 송파구 풍성로22길 35,
송파구,lamp_battery,서울특별시 송파구 풍성로26길 22,
송파구,lamp_battery,서울특별시 송파구 풍성로14길 19,
송파구,lamp_battery,서울특별시 송파구 오금로53길 32,
송파구,lamp_battery,서울특별시 송파구 오금로54길 10,
송파구,lamp_battery,서울특별시 송파구 거마로 41,
송파구,lamp_battery,서울특별시 송파구 오금로56길 16,
송파구,lamp_battery,서울특별시 송파구 오금로56길 28,
송파구,lamp_battery,서울특별시 송파구 양산로 15,
송파구,lamp_battery,서울특별시 송파구 거마로9길 19,
송파구,lamp_battery,서울특별시 송파구 거마로2길 19,
송파구,lamp_battery,서울특별시 송파구 양산로8길 8 ,
송파구,lamp_battery,서울특별시 송파구 양산로8길 24,
송파구,lamp_battery,서울특별시 송파구 양산로2길 44,
송파구,lamp_battery,서울특별시 송파구 양산로4길 8,
송파구,lamp_battery,서울특별시 송파구 양산로4길 16,
송파구,lamp_battery,서울특별시 송파구 양산로2길 38,
송파구,lamp_battery,서울특별시 송파구 오금로61길 20,
송파구,lamp_battery,서울특별시 송파구 오금로62길 10,
송파구,lamp_battery,서울특별시 송파구 마천로 303,
송파구,lamp_battery,서울특별시 송파구 마천로57길 16,
송파구,lamp_battery,서울특별시 송파구 성내천로37길 37,
송파구,lamp_battery,서울특별시 송파구 성내천로47길 38,
송파구,lamp_battery,서울특별시 송파구 마천로65길 12,
송파구,lamp_battery,서울특별시 송파구 성내천로 264-1,
송파구,lamp_battery,서울특별시 송파구 성내천로43길 6,
송파구,lamp_battery,서울특별시 송파구 마천동 277-52,
송파구,lamp_battery,서울특별시 송파구 성내천로 314,
송파구,lamp_battery,서울특별시 송파구 마천로 287,
송파구,lamp_battery,서울특별시 송파구 성내천로33가길 2,
송파구,lamp_battery,서울특별시 송파구 성내천로23길 12,
송파구,lamp_battery,서울특별시 송파구 성내천로 236,
송파구,lamp_battery,서울특별시 송파구 성내천로 245 ,
송파구,lamp_battery,서울특별시 송파구 마천로 237,
송파구,lamp_battery,서울특별시 송파구 성내천로 211,
송파구,lamp_battery,서울특별시 송파구 마천로35길 18,
송파구,lamp_battery,서울특별시 송파구 위례성대로16길 22,
송파구,lamp_battery,서울특별시 송파구 양재대로 1109,
송파구,lamp_battery,서울특별시 송파구 양재대로 1089,
송파구,lamp_battery,서울특별시 송파구 위례성대로12길 25,
송파구,lamp_battery,서울특별시 송파구 백제고분로 495,
송파구,lamp_battery,서울특별시 송파구 위례성대로8길 28,
송파구,lamp_battery,서울특별시 송파구 양재대로 1218,
송파구,lamp_battery,서울특별시 송파구 중대로25길 5,
송파구,lamp_battery,서울특별시 송파구 오금로35길 17,
송파구,lamp_battery,서울특별시 송파구 오금로 407,
송파구,lamp_battery,서울특별시 송파구 마천로7길 4,
송파구,lamp_battery,서울특별시 송파구 양재대로72길 15,
송파구,lamp_battery,서울특별시 송파구 성내천로6길 1,
송파구,lamp_battery,서울특별시 송파구 동남로 272,
송파구,lamp_battery,서울특별시 송파구 양재대로72길 42,
송파구,lamp_battery,서울특별시 송파구 문정로 197,
송파구,lamp_battery,서울특별시 송파구 오금로 405,
송파구,lamp_battery,서울특별시 송파구 중대로 293,
송파구,lamp_battery,서울특별시 송파구 동남로24길 6,
송파구,lamp_battery,서울특별시 송파구 백제고분로 392,
송파구,lamp_battery,서울특별시 송파구 송파대로48길 29,
송파구,lamp_battery,서울특별시 송파구 가락로 187,
송파구,lamp_battery,서울특별시 송파구 석촌호수로 298,
송파구,lamp_battery,서울특별시 송파구 석촌호수로 268,
송파구,lamp_battery,서울특별시 송파구 석촌호수로 284,
송파구,lamp_battery,서울특별시 송파구 송파대로48길 28,
송파구,lamp_battery,서울특별시 송파구 송이로 32,
송파구,lamp_battery,서울특별시 송파구 오금로 252,
송파구,lamp_battery,서울특별시 송파구 오금로32길 31,
송파구,lamp_battery,서울특별시 송파구 가락로 192,
송파구,lamp_battery,서울특별시 송파구 오금로32길 14,
송파구,lamp_battery,서울특별시 송파구 오금로32길 14,
송파구,lamp_battery,서울특별시 송파구 오금로32길 10,
송파구,lamp_battery,서울특별시 송파구 송이로12길 11,
송파구,lamp_battery,서울특별시 송파구 송이로 27-1,
송파구,lamp_battery,서울특별시 송파구 오금로32길 42,
