district,type,location,etc
양천구,lamp_battery,서울특별시 양천구 목1동 404 푸르지오아파트,
양천구,lamp_battery,서울특별시 양천구 목1동 404-3 힘찬병원,
양천구,lamp_battery,서울특별시 양천구 목1동 405-208,
양천구,lamp_battery,서울특별시 양천구 목1동 405 대림아파트 관리동,
양천구,lamp_battery,서울특별시 양천구 목1동 405-472 삼거리(대림아파트 담장 옆),
양천구,lamp_battery,서울특별시 양천구 목1동 927-4 횃불교회 앞,
양천구,lamp_battery,서울특별시 양천구 목1동 808-5 대원칸타빌(아) 관리동,
양천구,lamp_battery,서울특별시 양천구 목1동 808-6 우당아파트 관리동,
양천구,lamp_battery,서울특별시 양천구 목1동 916 현대하이페리온 101동 102동 103동
양천구,lamp_battery,서울특별시 양천구 목1동 917 목동파라곤 지하2층,
양천구,lamp_battery,서울특별시 양천구 목1동 919-3 목1동 주민센터,
양천구,lamp_battery,서울특별시 양천구 목1동 923-15 목동굿모닝탑(아),
양천구,lamp_battery,서울특별시 양천구 목1동 926 목동아파트 7단지,709동 721동 733동 관리동 상가
양천구,lamp_battery,서울특별시 양천구 목1동 926-7 벽산아파트 관리동,
양천구,lamp_battery,서울특별시 양천구 목1동 926-8 성원아파트 관리사무소,
양천구,lamp_battery,서울특별시 양천구 목1동 927-6 진명여고,
양천구,lamp_battery,서울특별시 양천구 목1동 930 현대아파트 101동,
양천구,lamp_battery,서울특별시 양천구 목1동 931 현대아파트 107동,
양천구,lamp_battery,서울특별시 양천구 목1동 931 현대아파트 108동 경비실,
양천구,lamp_battery,서울특별시 양천구 목1동 932 현대1차아파트 관리동,
양천구,lamp_battery,서울특별시 양천구 목1동 933 삼익아파트,
양천구,lamp_battery,서울특별시 양천구 목1동 934 금호아파트 경비실,
양천구,lamp_battery,서울특별시 양천구 목1동 935 진도1차아파트 관리동,
양천구,lamp_battery,서울특별시 양천구 목1동 936 진도2차아파트 관리동,
양천구,lamp_battery,서울특별시 양천구 목1동 940 현대아이파크,
