district,type,location,etc
은평구,lamp_battery,서울특별시 은평구 은평로 195,
은평구,lamp_battery,서울특별시 은평구 진흥로15길 10,
은평구,lamp_battery,서울특별시 은평구 연서로41길 16,
은평구,lamp_battery,서울특별시 은평구 갈현로 301,
은평구,lamp_battery,서울특별시 은평구 연서로27길 31-6,
은평구,lamp_battery,서울특별시 은평구 갈현로17길 10,
은평구,lamp_battery,서울특별시 은평구 연서로20길 24-3,
은평구,lamp_battery,서울특별시 은평구 백련산로 179,
은평구,lamp_battery,서울특별시 은평구 백련산로 100,
은평구,lamp_battery,서울특별시 은평구 불광천길 410-17,
은평구,lamp_battery,서울특별시 은평구 연서로 59,
은평구,lamp_battery,서울특별시 은평구 은평로2길 2,
은평구,lamp_battery,서울특별시 은평구 증산로15길 47,
은평구,lamp_battery,서울특별시 은평구 증산서길 89,
은평구,lamp_battery,서울특별시 은평구 은평터널로 27,
은평구,lamp_battery,서울특별시 은평구 진관2로 31,
은평구,lamp_battery,서울특별시 은평구 연서로29길 31,갈현초등학교 (갈현동)
은평구,lamp_battery,서울특별시 은평구 서오릉로15길 16,서울구산초등학교 (구산동)
은평구,lamp_battery,서울특별시 은평구 갈현로15길 51,
은평구,lamp_battery,서울특별시 은평구 녹번로1길 1,서울녹번초등학교 (녹번동)
은평구,lamp_battery,서울특별시 은평구 통일로69길 12-15,서울대은초등학교 (대조동)
은평구,lamp_battery,서울특별시 은평구 연서로18길 17 (대조동),
은평구,lamp_battery,서울특별시 은평구 대서문길 42-3 (진관동),
은평구,lamp_battery,서울특별시 은평구 불광로 51,서울불광초등학교 (불광동,불광초등학교)
은평구,lamp_battery,서울특별시 은평구 가좌로 361 (신사동),
은평구,lamp_battery,서울특별시 은평구 은평터널로 150 (신사동),
은평구,lamp_battery,서울특별시 은평구 불광로14길 10-10,서울수리초등학교 (불광동)
은평구,lamp_battery,서울특별시 은평구 수색로16길 21 (수색동),
은평구,lamp_battery,서울특별시 은평구 진관1로 77-23,서울신도초등학교 (진관동)
은평구,lamp_battery,서울특별시 은평구 가좌로 275-2,서울신사초등학교 (신사동)
