district,type,location,etc
종로구,lamp_battery,자하문로 92 동주민센터,
종로구,lamp_battery,자하문로36길 16-14 벽산빌리지 5동,
종로구,lamp_battery,자하문로36길 16-14 벽산빌리지 10동,
종로구,lamp_battery,자하문로33길 43 청운현대(아),
종로구,lamp_battery,자하문로19길 36 자치회관,
종로구,lamp_battery,필운대로 68 군인(아),
종로구,lamp_battery,자하문로24길 51 성주빌라,
종로구,lamp_battery,사직로9길 1 동주민센터,
종로구,lamp_battery,경희궁1길 15 세종로자치회관,
종로구,lamp_battery,사직로8길 34 경희궁의 아침 3단지,
종로구,lamp_battery,삼청로 107 동주민센터,
종로구,lamp_battery,창의문로 145 동주민센터,
종로구,lamp_battery,백석동길 266 승림힐스빌리지,
종로구,lamp_battery,세검정로 259 진안빌라,
종로구,lamp_battery,자하문로42길 21 스카이빌라,
종로구,lamp_battery,세검정로6길 76-24 힐탑빌라,
종로구,lamp_battery,자하문로42길 50 삼성중앙빌라,
종로구,lamp_battery,홍지문길 56 완성빌라 1차,
종로구,lamp_battery,홍지문길 56 완성빌라 2차,
종로구,lamp_battery,세검정로6길 104 CU편의점 앞,
종로구,lamp_battery,자하문로 312-11 세검정교회 담장,
종로구,lamp_battery,진흥로 480 대아파크빌,
종로구,lamp_battery,평창24길18 금강하이츠,
종로구,lamp_battery,평창11길9-1 럭키평창빌라,
종로구,lamp_battery,평창11길 21-28 현대 단독,
종로구,lamp_battery,평창14길2 신한빌라,
종로구,lamp_battery,평창문화로102-19 귀빈빌라,
종로구,lamp_battery,평창14길6 현대평창빌라,
종로구,lamp_battery,평창14길16 현대하이츠빌라,
종로구,lamp_battery,평창문화로119 일성빌라트,
종로구,lamp_battery,평창문화로 42 평창아파트,
종로구,lamp_battery,평창12길8-22 금강파크,
종로구,lamp_battery,비봉1길22-4 삼진파크1차,
종로구,lamp_battery,비봉5길39 건덕빌라 5동,
종로구,lamp_battery,비봉2길32 동성빌라,
종로구,lamp_battery,비봉길15 구기현대빌라,
종로구,lamp_battery,진흥로438-5 동진빌라,
종로구,lamp_battery,진흥로22가길34 삼성운정빌라,
종로구,lamp_battery,평창문화로172 삼성아파트,
종로구,lamp_battery,평창문화로140 롯데아파트,
종로구,lamp_battery,홍지문길64 동익빌라1동,
종로구,lamp_battery,홍지문길64 동익빌라9동,
종로구,lamp_battery,홍지문길69 청구빌라 경비실,
종로구,lamp_battery,평창문화로118 평창힐스,
종로구,lamp_battery,평창문화로19 갑을씨티텔,
종로구,lamp_battery,평창12길16-6 삼호빌라,
종로구,lamp_battery,비봉4길39 영빈빌라 ,
종로구,lamp_battery,평창문화로 65 동주민센터,
종로구,lamp_battery,비봉길 14 현대구기빌라,
종로구,lamp_battery,평창문화로 156 롯데캐슬 로잔,
종로구,lamp_battery,통일로14길 36 동주민센터,
종로구,lamp_battery,통일로 246-20 무악현대 관리소(104동),
종로구,lamp_battery,통일로 246-20 무악현대 101동,
종로구,lamp_battery,통일로 246-20 무악현대 102동,
종로구,lamp_battery,통일로 246-20 무악현대 107동,
종로구,lamp_battery,통일로 246-20 무악현대 108동,
종로구,lamp_battery,통일로 246-20 무악현대 109동,
종로구,lamp_battery,통일로 246-20 무악현대 111동,
종로구,lamp_battery,통일로 246-10 무악현대 112동,
종로구,lamp_battery,통일로 246-10 무악현대 113동,
종로구,lamp_battery,통일로 246-10 무악현대 114동,
종로구,lamp_battery,통일로 246-20 무악현대프라자,
종로구,lamp_battery,통일로18길 9 인왕산아이파크 101동 앞,
종로구,lamp_battery,통일로18길 9 인왕산아이파크 103동 앞,
종로구,lamp_battery,통일로18길 9 인왕산아이파크 105동 앞,
종로구,lamp_battery,통일로18길 9 인왕산아이파크 107동 앞,
종로구,lamp_battery,통일로18길 9 인왕산아이파크 108동 앞,
종로구,lamp_battery,통일로18길 9 인왕산아이파크 113동 앞,
종로구,lamp_battery,통일로18길 9 인왕산아이파크 117동 앞,
종로구,lamp_battery,통일로18길 34 인왕산아이파크 203동 앞,
종로구,lamp_battery,송월길 154 동주민센터,
종로구,lamp_battery,송월1길 44-11 구세군 영천교회 앞,
종로구,lamp_battery,사직로1길 28-2 방범초소 옆,
종로구,lamp_battery,사직로1가길 16 할머니슈퍼 건너편,
종로구,lamp_battery,인왕산로1길 58 행촌동 공영주차장 인근,
종로구,lamp_battery,통일로8길 16 서대문장로교회 지하주차장,
종로구,lamp_battery,북촌로 35 동주민센터,
종로구,lamp_battery,삼일대로30길 47 동주민센터,
종로구,lamp_battery,인사동길 7-1 승동교회,
종로구,lamp_battery,종로 183 효성주얼리,
종로구,lamp_battery,율곡로6길 36 월드오피스텔,
종로구,lamp_battery,종로35길 19 동주민센터,
종로구,lamp_battery,율곡로22나길 21 충신경로당,
종로구,lamp_battery,충신길 27 중앙성결교회 앞,
종로구,lamp_battery,김상옥로 37 연동교회(주차장),
종로구,lamp_battery,이화장길33 동주민센터,
종로구,lamp_battery, ,
종로구,lamp_battery,혜화로 12 동주민센터,
종로구,lamp_battery,창경궁로 288 혜화동성당,
종로구,lamp_battery,창경궁로 265 아남(아) 101동(103방향),
종로구,lamp_battery,창경궁로 265 아남(아)  101동(102방향),
종로구,lamp_battery,혜화로3길 33 아남(아)  201동,
종로구,lamp_battery,창경궁로 265 아남(아)  102~103동 사이,
종로구,lamp_battery,혜화로3길 5 아남(아) 301동 뒤편,
종로구,lamp_battery,성균관로5길 25-13 유림경로당,
종로구,lamp_battery,혜화로 32 혜화초등학교 경비실 뒤,
종로구,lamp_battery,창경궁로26길 40 ,
종로구,lamp_battery,혜화로9길 24-9 해명경로당,
종로구,lamp_battery,성균관로13길 30 명륜국제주차장,
종로구,lamp_battery,지봉로 8-6 동주민센터,
종로구,lamp_battery,지봉로5길 7 두산아파트 101동,
종로구,lamp_battery,지봉로5길 7 두산아파트 102동,
